987706,LeXXington,2016-12-02 17:03:00,1928,Really Nice fish..  Congrats on your catch.
987712,aplumma,2016-12-02 19:06:00,6896,Nice catch of fish thanks for the report and picture and sorry for some of our C&R people are not thrilled with your report. I will ask people to please read reports in the spirit that they are written and reply accordingly. Winternet is coming lets keep it to a minimum.   Thanks  Art
987715,dave524,2016-12-02 19:43:00,4508," Used to keep a few when ice fishing too. It was fantastic...you'd never know you were eating pike if you'd only eaten pike caught in July/August.  As a teen in the 60's one of the first rituals of spring was going pike spearing, they tasted pretty good in March too."
987720,jimmer,2016-12-02 21:04:00,2730,I am a support of C&R but also a supporter of filling my belly YUMMY. Pike are the perfect fish for doing that and are prolific enough in those sizes.  We can be our own worst enemies sometimes. Those pet@ people must just love it when they see outdoorsmen arguing about harvested fish.
987721,Joeytier,2016-12-02 21:33:00,3990,"People like controversy  In my opinion, if you have to justify legally harvesting non-trophy fish (on a fishing forum no less) based on nothing more than a picture, then there's something wrong with this picture.  I'm just jealous that he has a freezer full of pike and I don't"
987723,GBW,2016-12-02 21:37:00,8460,thanks for posting and an even better follow up reply!
987724,GBW,2016-12-02 21:40:00,8460,"7? Isn't it 6 in most zones. Yes, FMZ16 is 6 and that is how many are in the pic. he caught 7 that day and from the looks of it kept 6 of said 7.  That's how I see it is all"
987764,huzzsaba,2016-12-03 16:06:00,884,Nice Catch ReelingMachine!  Still looking for my first one.  Would love to catch my limit someday of pike!  Thanks for sharing!
987767,Old Ironmaker,2016-12-03 16:32:00,8243,"OK another convoluted possession/limit question. If I catch a limit of fish, go to shore and eat 1 can I go back out and catch another to fill my possession limit? Even though I will keep some fish rarely do we limit out on Walleye here. Not needed really because 4 nice fish in a morning of trolling or drifting would be close to or over 40 pounds. 4 or 5 fish between 2 of us is plenty. I don't want to be on the water at Noon anyway, too hot and that's when the winds on Erie pick up most days. Fish Farmer and Wormdunker can have the entire lake to themselves when it's 30C and you are covered in Mayflies. Even when we get into a good school of Jumbo Perch I don't relish cleaning 200 Perch. We have a lady at the Marina that will clean them but 200 fish might cost well over $100.00 at 3 bucks a pound."
987772,manitoubass2,2016-12-03 17:02:00,11391,No you cannot eat one fish then replace it later.  Its daily limit. If you got your limit thats all you can keep. Ie you cant go drop em off at home and catch another limit later that day.  You can switch species however.  I started off keeping pike because my family is huge and obviously 4 walleye isnt gonna feed us. So Id keep 2 or so northerns to add to the amount.  But now I actually prefer the northern and c&r most walleyes. The wife and kids dont mind one bit either.
987774,Old Ironmaker,2016-12-03 18:48:00,8243,"Nothing wrong with eating Pike as many here agree. They are a solid fish. I make a tomato pasta sauce with pike and Brandy. Simple toasted garlic on EVO, in go the fillets and sear on each side, a splash of Brandy, some in the pan too, chopped plum tomatoes, not pureed, finish with Parm cheese, lots of it, fresh Basil and Parsley. Of course the Pike will break up, you want that. Pour on any pasta, more cheese and drizzle with EVO. Best with a tube pasta so all the goodies get in the pasta. A new fave of ours is Pennoni lishe (no lines), 1/2 way between Penne and Rigatoni.  M2B2 bring up the cooking thread so I don't hi jack anymore threads."
987838,reelingMachine,2016-12-04 19:39:00,29,Tried the same spot yesterday. Caught 1.  It might be the new moon and few warm days that turned them on the first time.
