820849,fishdawg,2013-11-28 02:50:00,912, And that's why I wasn't smiling Brian  most enjoyable icefishing Skunk ive had was that day...
820858,Skud,2013-11-28 03:32:00,739,Those Aeroheads look like a good early season boot.
819935,Skud,2013-11-24 04:42:00,739,"I would like to purchase a knee high, waterproof boot that is for cold weather and preferably in camo. Needs to be good for sitting in the deer blind and humping it through the woods. I sweat a lot so they also have to be very breathable to keep down the stinky feet so neoprene will not work. Who has a boot that they love and performs well. I know some people that have spent $200 on a pair of boots and they end up leaking the first season. I will spend what I must to have a boot that will last me many seasons. I have a couple of pairs of 8"" to 10"" boots that I am happy with already(Sportschief and Rocky). Please let me know your recommendations."
819939,danc,2013-11-24 05:02:00,4677,I'm not gonna look for you but I'll bet that you can find what you're looking for at Cabelas. Every product has user reviews as well.
819947,Skud,2013-11-24 10:47:00,739,"Yes, I have looked at Cabelas and there are a couple of highly reviewed boots. Just looking for some local confirmation because of our colder temps."
819949,RJackson,2013-11-24 11:07:00,113,Go Irish Setter and never look back.  These are the ones I have.  No pair of boots kept my feet warm until these.  http://hunt.irishsetterboots.com/irishsetter-shoe/4888-irish-setter/4888-irish-setter-hunt-mens-15-inch-side-zip-mossy-oak-break-up-camouflage  RJ
819951,DropShot'r,2013-11-24 12:15:00,62,"In my opinion you should be looking for two pair of boots, not one. As a person that has sat in deer stands, been on lots of deer drives, grouse and woodcock hunts you are asking for something that really doesn't exist. Get a good pair of normally insulated (200-300 grams of Thinsulate) waterproof breathable leather boots from Cabelas for all your humping in the bush. Get a good pair of max insulated pac boots for the deer stand. I have a pair of Sorel Alaska pac boots. When you get to the deer stand change your socks. I always wore a pair of thin wool socks into the stand then took them off an put on a pair of heavy wool socks."
819952,solopaddler,2013-11-24 12:34:00,8605,"Doug, consider these for sitting in a tree stand. They're amazing.  http://thermosoles.com/?gclid=CP2JyZ23_boCFbBAMgodbE4A_A"
819968,mitch seguin,2013-11-24 14:38:00,98,Has any one used these thermosoles in wading boots?
819970,Sinker,2013-11-24 15:09:00,8692,Baffin Titans.  S.
819980,Moosebunk,2013-11-24 16:21:00,3970,"Unsure if those good ole Sorels are still made as well as they once were, but duct tape aside on one of two pairs of these boots owned, at 19 & 20 years old now, original liners and laces (on one pair) these boots are still as warm as ever. Incredible longevity and 10 years of nearly double winter use in the north."
819984,lew,2013-11-24 16:39:00,12766,"Unsure if those good ole Sorels are still made as well as they once were,  I've been wearing the same Sorel hiking boots for 15 years now and other than the soles wearing smooth their darned near as good as day one.  Used to be an excellent boot, hope the quality hasn't slipped like on so many other products."
819987,bassjnkie,2013-11-24 16:43:00,1101,I have the Irish Setter's and love them.. 4 year with no issues..
820021,Skud,2013-11-24 18:53:00,739,"I have a great pair of Sorel Glacier's that have served me well for 20 years. I don't believe you can buy these kick-ass boots anymore. Good for the extreme cold put only waterproof up to 4"" of water and a bit to bulky for hiking through the bush. My pants need to be tucked in to them to since they are big up top so also not good for deep snow. The Irish Setters review really well on Cabelas and so do the Muck's. I may have to get two pair of boots as suggested. One pair for temps down to 0c and another pair for the winter cold. Leaning towards the Irish Setter's right now.  My Sorel's only go on for ice fishing. Remember this Lew?   "
820023,misfish,2013-11-24 19:01:00,29133,LMAO  He aint smiling in that pic.LOL
820024,lew,2013-11-24 19:04:00,12766,"Remember this Lew?   Yup, I remember that for sure Doug, definitely fun times.  Thanks for the memories."
820025,Skud,2013-11-24 19:04:00,739,It was -40 that morning. We got skunked chasing perch too.
