1266741,Paul H,2011-01-31 14:29:00,1232,Actually they do - but it's Mexican pot farms and meth. labs. - and this is really no joke -
1266992,Manitou,2011-02-01 09:19:00,125,"The facts:Quote: If you are a non-resident of Canada, 18 years of age or older and wish to camp on Crown land north of the French and Mattawa rivers, a Crown Land Camping Permit is required, unless:You are a non-resident that is 18 years of age or older and are renting a camping unit (a camping unit can include a tent, trailer, tent-trailer, recreational vehicle or camperback) from a commercial outfitter in Ontario.You are a non-resident that is staying on a watercraft equipped for overnight accommodation, anchored on a Crown land water bed and not located within a regulated (green) zone or other signed prohibited area.You or your spouse owns property in Ontario - NOTE: access to regulated (green) zones remains prohibited.http://www.mnr.gov.on.ca/en/Business...02_170045.html"
534730,Guest,2003-08-31 20:44:00,0,"Have been going to different areas on Ontario for many years, and do not consider the question ""dumb"". It depends on what you define as a permanant structure. I can't count the number of times we've seen pole frames that people have put up & thrown a tarp over during their stay. When they leave they usually (not always) take the tarp down, but the pole frame remains. I've seen these from north of Pickle Lake to Wawa to Atikokan. It occurs to me that these frames, being made from wood cut right on site (also illegal if you want to split hairs), aren't obvious to flying MNR guys checking for such things, so they remain there year after year. And yes, I'm certain that some, if not most, were erected by non residents."
534731,Guest,2003-08-31 20:50:00,0,"Here in the U.P. of Michigan, it's not uncommon for for whoever feels like it to throw up a shack or park a dilapidated trailer camper on US Forest land and just leave it there to use during hunting season year after year. What difference does it make if it's U S citizens or not - and what difference does it make for Canadians if it's Canadian citizens or not? An eyesore is an eyesore. And, I hate to sound racist, but look at how the First Nations people trash the bush."
534732,Guest,2003-08-31 21:25:00,0,"The trashing in the bush is done by Americans, Canadians, Natives. I guess they think their mother is coming along behind them to pick up. It personally makes me sick. It takes no effort to pick up your trash and put it in a bag and take it to a dumpster."
1265124,Mike Borger,2011-01-26 16:24:00,1554,You dredged up an 8 year old post to say that?I apologize on behalf of all Canadians for this halfwit.Just unreal.
1265133,Freytown,2011-01-26 16:34:00,770,"No need to apologize as ""halfwits"" reside on both sides of the border. It's the internet...maybe just the sad feature of the internet."
1265140,dutchboy,2011-01-26 16:54:00,5717,"Hey, we got 'em down here to. Difference is we elect them to congress so we can keep an eye on them."
1265205,Yellow Fever,2011-01-26 19:17:00,1809,"I would like to know who the Nipigon Kid is as I lived there for 7 years, did a heck of a lot of fishing on the river and South bay. And I still have a lot of real good freinds there as well. I worked for Bell Canada. Just an awesome place to live"
1265314,fishman10,2011-01-27 07:45:00,226,"man are you funny. do you have a bottle in front of you, or are you going for a frontal labotamy?"
1265320,tv4fish,2011-01-27 08:02:00,2694,"This thread reminds me ---- Any of you know the history of a green-roofed shelter that is up close to Picnic Bay (on Lac Seul)? Years ago, that shelter was used by my buddy and I as we were caught in a nasty thunder storm. We were sure glad it was there. We were told that it might have been used/constructed by Boy Scouts or a similar organization? It's almost hidden now, but we still check to see if it's there on every trip - in case we get caught again."
1266730,bobbylfishermon,2011-01-31 13:42:00,241,"By the way, you can't even camp on Crown land without a permit, and the fine is for everyone in the PARTY , five guys, five fines !!!! To the tune of you could have stayed at a resort, expensive fines, and that is just for camping my friend!!!"
534646,Thumper,2003-08-26 13:31:00,133,I hear that they build cabins in the Ohio state forests all the time... to run their 'stills in! :)
534648,Guest,2003-08-26 14:43:00,0,"All of your points are well taken. I too thought this was probably a bad idea, but I just wanted some reasoning to show my buddies. Where I'm from there is little state land to even consider such things."
534653,Guest,2003-08-26 18:53:00,0,"No Harm Tex, They don't let us build them either!"
534654,hoosiercanadian,2003-08-26 21:47:00,104,"Another good site to find property is www.norealtyfee.com , I have a cabin listed on there in the Lynn Lake area of Manitoba, fully furnished,road access, only cottage on the lake, the lake it is on has excellent walleye, it is surrounded by numerous other good fishing lakes, for the price of an s.u.v.. There are 20 pictures of it to veiw. Didn't really want to use this board to advertise, but it seems alot of people want to buy, but don't know where to look. Another good place to look is in the classifieds of local newspapers, you can pull up many right here on the internet. Go to www.justfishontario and you can pull up the Kenora, Dryden, Fort Francis, and Sioux Lookout papers. Search on yahoo and you can pull up many more."
