672946,nofish4me,2012-03-04 14:38:00,404," All I'll say is, last time I answered a question like that, I was put on ModQ. Hahaha"
672949,bubbles,2012-03-04 14:54:00,591,Lots of whining around here lately. You caught a fish you wernt supposed to! You said something that hurt my feelings! You posted a link to something I don't like!  Stop crying and go fishing!
672950,SirCranksalot,2012-03-04 15:01:00,3291," Oh, yeah? Well I'll see your lol and raise you a LMAO!!"
672981,kickingfrog,2012-03-04 16:46:00,8333, Some would suggest there is a fine line between whining and complaining.  I can't figure out which you're doing?
673054,Old Man,2012-03-04 21:22:00,822, 
673057,mercman,2012-03-04 21:33:00,7054, I just LOVE your avatar. Speaks volumes
673068,misfish,2012-03-04 21:58:00,29133," Dat because,,,,,,,,,,,,,,,,,,,,   <object style=""height: 390px; width: 640px""><param name=""movie"" value=""http://www.youtube.com/watch?v=41ooFFwzNzI?version=3&feature=player_detailpage""><param'>http://www.youtube.com/watch?v=41ooFFwzNzI?version=3&feature=player_detailpage""><param name=""allowFullScreen"" value=""true""><param name=""allowScriptAccess"" value=""always""><embed src=""http://www.youtube.com/watch?v=41ooFFwzNzI?version=3&feature=player_detailpage"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" allowScriptAccess=""always"" width=""640"" height=""360""></object>"
673070,lew,2012-03-04 22:03:00,12766,Outstanding Brian
673085,Sinker,2012-03-04 23:01:00,8692,Ha..good ole Roy Payne. I've had him in my living room many times for a jam session. Quite the character he is!!  S.
672817,livinisfishin,2012-03-04 00:04:00,661,Just curious when somebody is on this can they still be seen online? Can you send pm's while banned?
672819,mercman,2012-03-04 00:10:00,7054,nope
672823,livinisfishin,2012-03-04 00:14:00,661,the pm question is kinda obvious...the other one im not quite sure of.
672824,GBW,2012-03-04 00:16:00,8460,who knows best?
672827,John,2012-03-04 00:18:00,2956,Here's a novel idea PM a mod.............
672828,livinisfishin,2012-03-04 00:20:00,661,
672829,Twocoda,2012-03-04 00:21:00,4130," why ? are you planning on surfin the net in the Raw  you might want to ask Mercman to publish his latest ""how to get off Mod Q"" book...i think he will give 50% off if its your first time..."
672831,livinisfishin,2012-03-04 00:23:00,661, no jabs at anyone justan honest question
672834,mercman,2012-03-04 00:26:00,7054,"  Be nice you. I""m not looking to get into trouble over here."
672837,spincast,2012-03-04 00:29:00,3279,  I'm glad I didnt have that sip of beer before I read that one Mod-q for dummies by Mercman
672845,mercman,2012-03-04 00:35:00,7054,And i thought you guys were friends.................
672846,livinisfishin,2012-03-04 00:38:00,661,yeah whats with these low blows.....no answers to my actual questions just a pile of horse  dung
672847,livinisfishin,2012-03-04 00:39:00,661,ban em
672848,Twocoda,2012-03-04 00:39:00,4130,nudge nudge...wink wink...
672850,mercman,2012-03-04 00:40:00,7054,say no more...say no more
672853,Twocoda,2012-03-04 00:43:00,4130, John gave you the most intelligent answer available....you surely dont expect an intelligent one from me do you???
672855,mercman,2012-03-04 00:52:00,7054,"  ModQ, means that anything you post, must be approved by a moderator before being sent to the public forum. It can happen for may reasons, Banned means you can no longer use the forum or any of its sections.You no longer are a member. As far as i know, the member can plead his case and ask for reinstatement, but thats hard to do if you cant use the PM system"
