523228,Spiel,2010-11-27 13:38:00,9065,"Brrrrr, feels like winternet......"
522555,Guest Johnny Bass,2010-11-23 18:46:00,0,"Were Nuked!! Ontario pumping billions into 10 reactors! Which will create 25,000 good paying jobs and 3,500 permanent jobs!!!  Greenpeace is complaining but because of the advancements in technology? They should not be worried.  The bad news? They are worried about the Province making too much energy.  We will always find people to sell it to, whether it is neighboring provinces or the USA. They cant keep burning coal for the rest of their lives!"
522559,mercman,2010-11-23 19:01:00,7054,"  Here we go again !!! If they produced more, then there would be a surpluss, then they would have to reduce rates. Can you see that happening anytime soon ????(wonder how long before they lock this one )"
522560,Rod Caster,2010-11-23 19:19:00,5784,I don't imagine they'll be putting a new one in Port Hope..well the old Port Hope... Have they relocated the town yet?
522561,Guest Johnny Bass,2010-11-23 19:21:00,0," Canada is a country of endless opportunity for economic expansion. Yes, I can see that happening, but not under privatization."
522566,lookinforwalleye,2010-11-23 19:41:00,4399,"How do you get a Liberal`s attention? You tell him he`s behind in the polls and he is going to lose the election. So after seven years of fraud,scandals,lies and the raping of the middle class Dalton and his gang of left wing   are leaping into action to save us,too little to late Dalton.  Hudak should have a field day defeating this clown the next election should not even be close, I predict Dalton will end up in third place and will step down as leader of the Liberals."
522567,lookinforwalleye,2010-11-23 19:43:00,4399,  This thread should be good as long as Mr.Bass lays off our Americam brudders!!!
522616,Guest Johnny Bass,2010-11-24 21:36:00,0," I'm not so sure. Harris wasn't very popular and Hudak's wife was one of Harris's people.  Form wikipedia.  Political views  Hudak is a Blue Tory on the right-wing of the PC Party of Ontario, but was still able to secure the endorsement of moderates in his run for party leader. During the leadership race, he ran on fiscally conservative principles, such as income splitting for young couples and families. Hudak is seen by many as the new standard-bearer for the Mike Harris Common Sense Revolution. Indeed, Hudak's wife, Deb Hutton, was one of the architects of Harris's political platform.  As much as McGuinty sucks, the majority of Toronto's establishments are pro liberal."
522618,misfish,2010-11-24 21:54:00,29133,"We dont need nukes,we have wind mills that will produce more then we need.  Pic yer posion."
522630,irishfield,2010-11-24 23:42:00,26272,Those windmills are pretty inefficient on them perfect fishing days Brian ( no wind!). They're also a health issue both for those on the ground around them and for me trying to time my flight between the blades when scud running in bad weather!! Them buggers are over 400 feet high...
522644,Guest gbfisher,2010-11-25 03:30:00,0,  Watch out for the test towers all over Parry Island. Some how I doubt there will ever be mills out there but those towers are never coming down unless someone is paid to take them down eh...
