1410669,Skidoo600homxz,2012-03-23 14:35:00,37,I have extensive knowledge of rainy lake. I could set you up with some awesome fishing.
526856,Guest,2003-01-27 16:57:00,0,"Hey River_eye,Nice of you to question my motives on this website. Actually I'm not affiliated with this camp at all. I experienced the trip of a lifetime there and I know that if other people go there they will have a blast. There are many camps in the area and none compare to that of campfire island. If you want to discuss any other issues you can email me at [email protected], instead of discussing it on a webpage."
526859,Guest,2003-01-28 06:10:00,0,Correction: the name of the waterfalls at the north end of the north arm of Rainy Lake is Devil's Cascade.
526861,Guest,2003-01-28 10:23:00,0,the phone # above on cascade is a fly in outfitterwhats the deal? they dont even fish rainy or have a camp on it
526862,Guest,2003-01-28 10:55:00,0,"In my earlier post I used the phone number listed on the web site for Cascade Camps. Jo Becker may have retired-she was about that age. When I fished the camp 3 years ago, it was either a boat-in ($90 each way, up to 5 people) or fly-in. We boated in. The phone numbers and addresses listed on the brochure at that time were:Winter Oct. 31-May 1)Jo Becker525 So. Sixth StreetStillwater, MN 55082(651)439-5430Summer May 1- Oct. 31)Cascade Camps LtdBox 657Fort Frances, OntarioCanada P9A 3M9(807) 274-9030"
526863,Guest,2003-01-28 11:50:00,0,Our group heads for Cascade Camp the end of May every year. Didn't look to me as if Jo was planning to retire anytime soon as she had some new camp boats last year.
526864,fishinnut,2003-01-28 17:36:00,642,"How far, by water is Cascade Camp from Fort Frances? Where do you leave your vehicles/trailers?"
526865,Stealth,2003-01-28 18:17:00,93,I've never fished Rainy. Is it mostly a walleye amd smallmouth fishery?? How are the muskies and northerns?
526867,Guest,2003-01-28 18:20:00,0,"We put in at the Five Mile Dock and either leave our vehicles/trailers there or at a parking area Jo uses. I don't have a GPS, but I'm guessing it's about 20 miles to camp."
526853,daveaz,2003-01-28 18:27:00,16,"Harvey please e-mail me so we can talkThanks,Dave[email protected]"
526866,Guest,2003-01-29 06:26:00,0,"Regarding Rainy Lake and Cascade Camps:I don't know about muskies. I don't think Rainy has Lake Trout but there are rumors to the contrary. There is a nice population of good sized crappies. We didn't target crappies while we were there but the group in the neighboring cabin caught some arround dusk in the wild rice near camp. The man who boated us in said the Walleyes were more predominant in the southern part of Rainy while the smallmouth were more predominant in the northern part. We caught a couple Walleye that were in the protected slot range and a few nice northern, a couple that were in the protected slot range-estimated 9 to 10 pounds, and a few about 4+ pounds.Smallmouth Bass were our primary target when we were there. We fish for the most active species.As in many Canadian Lakes there are many rocks to be aware of. Take it easy. I understand a few lower units were ripped off during the Bass Championship that year. Ou boat ride from the Government Docks to the resort and return was pleasant because the weather was nice and the boat operator knew the lake. I don't think I would enjoy a boat ride in high winds in a lake I was unfamiliar with.The Information Centre in Fort Frances will give you directions to the government docks and to a good bait store. Three years ago Cascade Camp had minnows but did not have nightcrawlers orleeches.As I recall we set a time in advance with the camp owner for the boat operator to pick us up. We called the camp again after we crossed into Fort Frances to finalize. You bring your own food and gear and beer to Cascade Camps."
526848,Guest,2003-01-23 20:22:00,0,"Does anyone out there know of a website that lists the resorts on the Canadian side of Rainy Lake. Iv'e been searching the net trying everything I can think of for a search and only come up with a few resorts. There must be a lot more than I'm finding. Have tried the website for Fort Francis Chamber of Commerce, Sunset Country and several others without much luck. Iv'e had no problem finding lots of resorts on the U.S. side but would rather fish from the Canadian side. Can anyone help?"
526849,David/MN,2003-01-23 21:10:00,249,"I know of most of the places on Rainy, both sides. Send me some mail and I will try to help you out....[email protected]dw"
526850,Guest,2003-01-24 05:56:00,0,"A few years ago I obtained a ""1999 Fishing & Vacation Guide Map"". It shows parts of Lake of the Woods, Rainy Lake & Quetico Park, known as the ""Rendezvous Trail Area"" Call 1-800-663-2599"
