728325,spincast,2012-09-08 11:57:00,3279,that is just shameful and such a waste. too bad they didnt get a shot of the  responsible
728355,esoxansteel,2012-09-08 15:04:00,1307,"    Nottawasaga has better skein then Port Hope,"
728368,BillM,2012-09-08 16:15:00,17367," Sorry man, I don't take skein or eggs from any fish in the Notty.  That's blasphemy."
728374,Dave Jones,2012-09-08 16:59:00,50,That is absolutely pathetic!!! Time for a roe ban ?
728376,misfish,2012-09-08 17:08:00,29133, Interesting
728379,BillM,2012-09-08 17:13:00,17367," Well it's not like these fish are stocked.  If you want roe, head down to lake O and grab a big mutant, or go stateside.  Taking roe from a wild fish out of GBay is pretty bad.  I'm sure you might get some immature skein out of smaller eaters, but a big roe wagon?  You've gotta let those girls do their thing."
728380,misfish,2012-09-08 17:16:00,29133,"I,m heading down there next weekend Bill. Going to hit the cleaning station at the credit."
728384,Snidley,2012-09-08 17:27:00,620,"I'm with Dave J Ban roe period. Virtually all the worst behavior comes from the search for fresh roe. The hackers all suggest alternatives such as raiding other jurisdictions for their roe as acceptable. That's ok  but spare the females on their turf or you are a disgusting pig  . Really it is about as lame an approach to angling that there is short of trot lining and it is only legal here in Ontario (and not the rest of Canada)because our leadership, at the MNR and private organizations, is so suspect. Clearly allowing anglers to target females of any species of fish, to get bait eggs, is just ridiculous and it astounds me when otherwise decent anglers suggest it is anything but."
728387,misfish,2012-09-08 17:42:00,29133," So the eggs I will take from a cleaning station, is ok with you? Do you not think those that throw away eggs is not disgusting as well?  It,s kinda like an oxy moron don,t ya think?  Another question I have is (as an example),I catch a nice clean fish in the river,the meat is eatable,but yet a hen.I know no diference. I keep the fish,and the eggs are left behind for waste,as I am not there for the eggs,but the meat only.  Just yakking here."
728388,12footspringbok,2012-09-08 17:47:00,459,"I agree with most of Snidleys targetting fish for eggs rants over the years. All my eggs come from fish that are being taken for meat. I spend alot of time scraping and cleaning up skeins that would be otherwise going in the garbage. I'm sure thats not good enough for Snidley though because great lakes salmon are contaminated and not fit for human consumption...   I also don't agree with targeting fish for eggs just because they are ""mutant"" stockers. Just my 2 cents..."
728392,BillM,2012-09-08 18:00:00,17367,"I now no longer use eggs, but marshmellows and big treble hooks.  I've been saved!  LOL"
