574258,T Mac,2008-05-23 15:47:00,10084,"Me too. I canned a lot of them. Smoked a bunch, too. Great!"
574274,fishncamp,2008-05-24 16:25:00,49,Labatt Genuine Draft is my choice usually in Ontario.
574367,labsrus,2008-05-28 10:42:00,557,"Back in the 1980's there was a Molson ""Diamond"" beer that we really liked a lot. We went to the Beer Store the first day and picked up a 6 pack of almost everything they had in 6 packs and bought cases of other beers. Some of it was regulated to beer batter not real tasty I would like to see Diamond come back again. it has been a few years since it was not offered for sale anymore. i still have a bottle cap or two in my tackle box as a reminder of those early trips to Canada. This year will be my 31st year going started before i got out of high school"
574377,Sutsgold,2008-05-28 12:22:00,219,"This is how I see it. Labatts is 36.50 per ""weekender"" (28) Because of the alcohol content being much stronger than american, 2 canadian beers equals 3 american beers. So 28 canadian actually is about 37 american. This works out to be roughly 20 dollars per case American. That is how I justified buying 8 cases last week when I was there. Maybe someone else can comment on this, but I have never had a hangover drinking labatts. Lite or bud lite, yes, canadian yes, but never with labats. Anyone else have that experience?"
574381,Guest,2008-05-28 13:41:00,0,Can't remember. LOL I like it too. My buddy like the Maximum Ice. 7% makes it cheaper yet.
574385,lassh,2008-05-28 17:18:00,553,"Back in the old days I did incur a few hangovers from LaBatts. But I certainly deserved it. I don't drink mass quantities of blue consumables anymore, just a few each day. LaBatts Blue is better than American Beers. And I like Kokanee beer even better than LaBatts. I remember feeling pretty shaky some mornings from drinking too many Blues, smoking too many stogies and sleeping only about 40 winks at night due to the walls shaking from all the snoring and flatulant eruptions disturbing the drone of the 3 mosquitos circling from bunk to bunk. Isn't Canada great? What was amazing was how quickly the queaziness would disappear after getting a good fish on!"
574143,fishman10,2008-05-21 14:23:00,226,"your are talking to a canadian who loves beer. there are several so called cheap beers now. they are not too bad. for a buck a bottle you cant complain. they are carling,lucky,lakeport,and several others. they are best served cold, enjoy."
574151,straydog,2008-05-21 16:36:00,11,"Bring beer from home and pay the duty. Much cheaper than ""The Beer Store"". Save your duty free for the hard liquor."
574156,Guest,2008-05-21 20:50:00,0,I just called Dutchies to confirm the prices and she told me that it was actually $50/ 24pck of Kokanee and $40.00/24pck of Labat Blue. If the beer prices are regulated by the government how come I have been quoted three different prices by 3 different places? Any other comments on Lakeport or Lucky as that seems to be the way to go as we are already being charged $1.25/lb for our weight overage. And I will not travel that far and not have enough beer for a week but at $50/24pk and $23.00 in freight charges thats getting a little steep.
574158,Guest,2008-05-21 21:41:00,0,My beer drinking guests just informed me that the 40 dollar price is for canned beer. Why easily recycled and unbreakable cans cost way more than harder to recycle and nasty-when-broken glass bottles is just one more question we Ontarions have for our 'premier'.
574165,jigman 2003,2008-05-22 06:57:00,981,"Your outfitter doesn't offer a pre-flight option for your beer? Most places will get it for you (have it in stock) and fly it in ahead of time during a check flight. That way you only pay for the beer, not the $1.25 overage. I'd say if your outfitter doesn't offer this, they are only in the ""beer business"" for the money rather than for the benefit of their customers. They're flying in anyway, a couple cases of beer doesn't drastically affect the fuel consumption."
