1048147,grimsbylander,2019-08-06 21:39:00,3016,Hmm maybe he’s speaking from experience...my money’s on meth. ?
1048151,ehg,2019-08-06 23:04:00,2666,"Alcohol is by far most addictive and dangerous drug. Its legal Surely most will learn to manage. I have MS as well. Pot does help me, but alcohol  is intolerable for my condition. "
1048161,smitty55,2019-08-07 00:58:00,928,"Wow, you really haven't a clue of what your talking about. The fact that you don't even know anyone who partakes just proves the point. I've seen enough people ruin their life and even die from excessive boozing, not one from toking pot."
1048166,GregF2,2019-08-07 01:32:00,46,"I guess it is all the type of people you hang out with then.   Also - you have no clue and sorry that you have seen so many people ruin their life.  That is very sad.  Can't believe so many people are not against pot and can't see what it can lead too.  Seems very strange.    Not sure how I don't know anyone that smokes it, proves a point.  You are right though, it proves the point that the people I hang out with and family don't do drugs, as they know better.  They are all against pot, as it is a drug! I guess if people like to get high, that is their option, but definitely is not the right choice going through life living that way."
1048168,Freshtrax,2019-08-07 01:42:00,2215,lock this up before i say something that will get me banned please.
1048175,cisco,2019-08-07 03:09:00,597,"QUOTES GregF2 ""Not sure how I don't know anyone that smokes it, proves a point.  You are right though, it proves the point that the people I hang out with and family don't do drugs, as they know better.  They are all against pot, as it is a drug! "" Reminds me of doing a move for a moving company many years ago having to listen to an older lady preaching about the evils of alcohol and how her son never would touch a drop. He shows up and he is almost stumbling drunk and smells of it. I clearly remember this and him there quietly listening to her and when she wasn't watching slyly putting his finger to his lip while giving me and my co-worker a wink.  Shhhhhh. haha! Greg I bet you have people around you doing pot and other stuff but they aren't about to come clean knowing you are such a vigilanty. Neighbor with arthritis, postperson, boss, employees, doctor, ........"
1048182,nlpaintballer,2019-08-07 10:26:00,122,"I am pretty sure gregf2 has eaten chocolate? Or maybe had a beverage with caffeine? Both are strong drugs. What about high fructose corn syrup/processed sugar? Last I checked there was a large percentage of Americans claiming obesity is an epidemic caused by people not being able to control their food addiction. So food is a drug also. How do you survive? You never take any pharmaceutical's? Even over the counter products? Natual remedies? Not just pills either. Topical products contains drugs too. Also take your music collection and destroy it, because chances are those people you listen too, who have enriched your life with their art, were using drugs of some kind. "
1048188,aplumma,2019-08-07 12:06:00,6896,We all have had our say this is reached its useful life here. Thank you  for all of the views expressed.  Art
1047888,BassMan11,2019-07-31 14:13:00,583,"So here's what I take away from this. - Have fun in highschool until grade 12 and buckle down a bit. - Only attend collage or university if you really know what you want to do.. i.e. no general business degree. - When life gives you an opportunity... jump on it quickly / no matter what the job - Try and pick a profession where you have the opportunity to make good money. - You usually have to pay your dues working jobs you don't enjoy until you get a break. Basically these are just the facts of life. Some people will be given ample opportunities who don't earn it... and some people will spend their whole life working hard to only getting that 1 shot. The sooner you realize life isn't ever going to be fair the better. Work hard, apply yourself, be polite, be positive, take every opportunity, be approachable, and always be looking to improve. Do that and most of the time things will work themselves out. The housing thing is insane. I do feel bad for the next generation and how they will be able to afford a decent place. The drug thing is a complicated issue. So many different reasons why people turn to them or are put onto them. Some self inflicted.. some not. The ones I feel for the most are the young kids who really are not given a chance growing up and the people who get hooked on them as a painkiller from being at the hospital. "
1047894,pics,2019-07-31 17:05:00,1268,We need trades at Stelco more than ever. We stopped hiring production workers a little while back but the ones we hired are starting to make their mark and establish themselves..The days of being hired just for having a strong back are gone and you need to be clean cut and drug free with at least a high school diploma and even some college or university. Sometimes when I leave work I stop at the closest Walmart which happens to be in the poorest part of the city and I can't believe how many look as if they are drugged up. The security at the front doors don't give me a second look which I can't say for most of the clientele..Myself and many of my cousins grew up in public housing but most of us have pulled ourselves out of that life just by working hard. It was a tough time but hard drugs were not something we would ever see..When I started at Stelco 20 years ago you could buy a house within a year or two as they started at double our yearly wage.. now they are starting at 4 times what we make in a year .. the younger generation is going to have a tougher time for sure. Many are growing up with different social  and environmental expectations than we did.. I really don't think that is what is making many of them turn to hard drugs..
1047925,Old Ironmaker,2019-08-01 02:34:00,8243,"Pics, in 1998 we (Stelco Hilton Works) were looking to hire 200 hourly rated production workers. We received no less than 25,000 resumes on line. As far away as India and The Ukraine. I got pulled off of my job to help H.R. try to go through the mountain of them. It was obvious that the 6 of us were not going to be able to that and do our jobs as well. We talked about us hiring an H.R. firm to help. During the 1st meeting with one group they talked about using an auto reader to look at the cover page and if it didn't have the key words, post secondary, College, or University they would automatically deep sixed. Thrown away, trashed. I said to our guys and gal that would mean I would never be sitting with you right now if that was the prerequisite 26 years ago. We came to a compromise that I fought hard to get. Hey Pics your resume might have been thrown out if not for this Old Ironmaker, your welcomed. I drove a Larry Car and the Quench Car during the strike of 90' so maybe your not so lucky after all. Stay safe. Something many don't know. It was difficult to keep good workers up to 81'. The 1st thing we told them during their orientation was to go to the Stelco Credit Union on Barton St. and they would qualify for a 100% loan for a new car after 90 days. Many were still paying it off 20 years or more later."
1047944,jimmer,2019-08-01 14:54:00,2730,"I like that you stood up for your principles about the screening of the education.  It is the way it's going though, which can result in missing some very good candidates."
1048017,GregF2,2019-08-04 12:43:00,46,"Legalizing marijiuna every where certainly does not help.  I don't care what anyone says, it is a drug and will lead to harder drugs.   So stupid and can't see how people can't see that.  Drugs are a choice, you either do it or don't."
1048023,dave524,2019-08-04 13:33:00,4508,More hard drug addicts are a result of MD's scripts than any Marijuana use.
1048025,lew,2019-08-04 14:11:00,12766,5 years ago my wife underwent major surgery and the surgeon prescribed 100 Oxycodone for pain relief. I picked up the drugs at the local pharmacy we dealt with at the time and when I got home my wife said it looked like some were missing so she counted them and sure enough there were only 84 pills. She counted them again and then I also counted them and  there were definitely 16 pills missing. I can see someone miss-counting 1 or 2 pills but 16 makes no sense. We contacted the pharmacist who said we were 100% wrong and we did indeed get 100 pills. My guess...naturally...is that someone in the pharmacy was stealing the pills for themselves or to sell on the street but there was nothing we could do about it as it was our word against a well established pharmacy. We left that pharmacy for a new one that had recently opened and gave them all our business. I had a long talk with both our family doctor and the new pharmacist and they both said theft in the business was not uncommon but proving it was a totally different story.
1048029,Sinker,2019-08-04 15:30:00,8692,"I know people in thier 60's, 70's and 80's who have been smoking weed their whole lives. All good, hard-working, productive members of society. Its the most harmless drug there is. More beneficial than harmful. And no, I'm not a pot head, chronic stoner at all. I have tried it many times, and enjoyed it socially, but I am by no means a regular user. I have, however, seen it do many good things for other people,and support its use. S."
1048030,Sinker,2019-08-04 15:31:00,8692,100% FACT! S.
1048032,GregF2,2019-08-04 15:54:00,46,"Feel sorry for the part of society that thinks marijuana is not bad.  It most definitely could lead to harder drugs, kills brain cells and fact proven to be addictive.  After two weeks it offers no health benefits, except addiction.   That part of society is what is causing the decay of our worlds morals.   Amazing that people can't see that and the only reason it is becoming legal now is desperate liberals gaining more tax revenue.   Very, very sad....  What will these same people that wanted to legalize marijuana want to legalize next? Amazing how the minority now in days affects the majority, as I know no one that smokes pot or even wants it legalized....  They understand the harm it does to those that smoke it and what addiction can do....."
1048033,GregF2,2019-08-04 15:55:00,46,Talk about Fake news!
1048035,Sinker,2019-08-04 16:17:00,8692,Do you have any proof otherwise? I'd be my paycheck on that!  S.
1048038,cisco,2019-08-04 16:22:00,597,So what about booze and cigarettes? I never heard of an equivalent to Alcoholics Anonymous or smoking cessation programs for marijuana.  How many DUI fatalities are from pot? My guess is next to zero. I bet more fatal accidents are dropped-cigarette or lighter search related.
