540026,fishinnut,2004-05-27 14:48:00,642,Spinnerbait with a firetiger skirt works well.
540052,Guest,2004-05-28 07:50:00,0,"1. Perch Rapala trolling along the weed line. 2. Chartreuse bass style spinner through the weeds 3. Johnson Silver minnow in thick weeds, or in light weeds the ole Red Eye Wiggler"
540056,Cash,2004-05-28 08:50:00,73,"#3- 5 of Diamonds spoon #2- Jointed Husky Jerk Rapala in firetiger #1- My all-time favorite Northern lure is a vintage lure called ""the Cisco Kid"", white w/red head."
539811,chrism,2004-05-21 23:14:00,429,"Well, up where I fish the best success for big pike has been suicks (large) in sucker or the yellow black, large canoe spoons in silver or white, and a johnson silver minnow tipped with a grub. Never tried the Cleo's but it looks like I will have to this summer! cm"
539830,chrism,2004-05-21 23:14:00,429,"Well, up where I fish the best success for big pike has been suicks (large) in sucker or the yellow black, large canoe spoons in silver or white, and a johnson silver minnow tipped with a grub. Never tried the Cleo's but it looks like I will have to this summer! cm"
539820,winkdink,2004-05-22 10:24:00,13,"Make no mistake you need a 3/4 oz. Chartruese spinnerbait, a 3/4 oz. white spinnerbait and a 6 inch long black and silver Rapala. These three will be all you need. I hope the besty and ""knock em dead"". Good Luck and Godspeed Vince W. New Jersey"
539839,winkdink,2004-05-22 10:24:00,13,"Make no mistake you need a 3/4 oz. Chartruese spinnerbait, a 3/4 oz. white spinnerbait and a 6 inch long black and silver Rapala. These three will be all you need. I hope the besty and ""knock em dead"". Good Luck and Godspeed Vince W. New Jersey"
539850,Guest,2004-05-23 10:36:00,0,"Spoons are my #1 productive lure for Pike! Always have some in my Northern tackle box. I like the Cleo's but use the Cabela's Canadian Spoons as well as many others. Truth is I haven't found a really terrible spoon yet! Heavy spoons do not always perform in deeper water, especially at slow retrieve speeds so keep that in mind. I wish a single color worked but its dependent on water clarity and light, for example a bright silver usually performs well on overcast days but gold & brass can do the trick in sun light. Crank baits are my #2 productive lure for Pike. Usually variants of Rapala jointed DB-13, Shad Rap's, Walleye Divers, Hellbenders, Thundersticks, you should get the idea. Just cast them into the weed beds and slow your retrieve to where the lure is just bumping along the tops of the weeds. The same color phenomena applies here as bright colors for overcast days or stained water. Top water Floating Minnow's are my #3 productive lure but #1 for fun in catching fish. If I'm not trying to put fish in the box such as to take home or eat, you can count on a top water minnow tied on the end of my line. I love to watch big aggressive Pike explode on top water lures. Once in a while even a big walleye will rise and take a bite out of these too. Hope this helps."
539851,Guest,2004-05-23 11:12:00,0,I second the use of spoons. We fish a week every June for Pike and Trout and the Pike love spoons. 1oz dare devils and len thompson in red and white and 5 of diamonds are the best on the lake we fish. All need to have either brass or copper backs normally . We also use top raiders at times and black bunny jigs when they are on the bottom. Atlanta Dave
539852,Guest,2004-05-23 11:16:00,0,"suicks, bulldawgs, and some large bucktails or spinner baits. Use lures with high quality hooks and use high quality leaders if your going after the pigs or they will tear your gear up and send you home crying when you hook a fish of a lifetime and loose it from equipment failure. Don't forget about your line. Super braid type line in 65 to 80 is best. I use to think 20 pound mono was good enough, and it is if your fishing for 3 to 5 pounders. It sounds like you will be looking at bigger fish"
540006,Guest,2004-05-26 22:16:00,0,"MY BEST PIKE BAITS.DEAD SMELT,CLOWN HUSKEY JERK,JOHNSON SILVER MINNOW.AND MANY OTHERS."
