1000366,irishfield,2017-04-14 17:08:00,26272,"Still a good 40"" on Kesagami as of yesterday!!"
1000371,Locnar,2017-04-14 18:14:00,645,Best time for ice fishing up that a ways eh?
1000427,singingdog,2017-04-15 11:09:00,1047,"Going fast here in Haiburton. I have been out on Horseshoe, Minden and Mountain Lakes: some ice in sheltered bays, but the main lakes are open. Head, and Grass are opening up, Canning and Kash look to be a couple of days away from being open."
1000429,Musky or Specks,2017-04-15 12:37:00,2710,Was fishing from the boat for crappie @ Mactier Ice is 99.5 percent of the lakes there.
1000451,fishboy,2017-04-15 15:10:00,550,"Going fast here in Haiburton. I have been out on Horseshoe, Minden and Mountain Lakes: some ice in sheltered bays, but the main lakes are open. Head, and Grass are opening up, Canning and Kash look to be a couple of days away from being open. boat is ready to go for next weekend"
1000653,turtle,2017-04-17 10:27:00,274,Yesterday north end of Haliburton ice still on lake and bay but looked like 1-2 days left max.  All the hwy 35 lakes were open south of Carnarvon.  Still snow and ice on some back roads and in the bush.   First time I've put the dock in with ice on the bay.
1000776,limeyangler,2017-04-18 01:23:00,5204,"We are going to be a couple weeks earlier than normal for most lakes in my area (Dryden), drove past many small highway lakes today, all shore to shore open and the big lakes won't be far behind now.  Wabigoon Lake which my house is on is gonna be by the end of the week, probably sooner if we get some wind.    Lake Wabigoon this evening.  "
1000982,SirCranksalot,2017-04-19 12:15:00,3291,"Yesterday's sat pic   https://worldview.earthdata.nasa.gov/?p=geographic&l=VIIRS_SNPP_CorrectedReflectance_TrueColor(hidden),MODIS_Aqua_CorrectedReflectance_TrueColor(hidden),MODIS_Terra_CorrectedReflectance_TrueColor,Reference_Labels(hidden),Reference_Features(hidden),Coastlines&t=2017-04-18&z=3&v=-81.04508858860976,44.28384648433211,-78.23258858860976,45.75601445308211"
1001000,ccmtcanada,2017-04-19 14:44:00,7971,Thanks for posting SirCranksaLot!  Looks like Nipissing is about to break up....  Get your boats ready!
1001453,Joeytier,2017-04-22 13:40:00,3990,Lots of open water in Hali.  
1001457,limeyangler,2017-04-22 14:11:00,5204,"Lots of open water in Hali.    AWESOME BUDDY!  I went yesterday for splake, first lake we went to the landing was still froze in, so we headed for brookies 20 minutes up the road, same deal. Such a tease as both lakes were completely open apart from the landings....beautiful day though!"
