6489122,walleyecheek,2020-10-04 13:14:00,2231,would they be rutting now ?
6489134,Eckohlt,2020-10-04 13:54:00,3685,"Wish I could go in with john,I'll run the boat and you start blasting away after the motors off,can you shoot out of boat?"
6489144,prov1800,2020-10-04 14:33:00,5010,We are not allowed to shoot from a boat.Canoe would be ok.Not sure aboùt other provinces.Have seen hunting shows in tge yukon and NWT and most moose shot in those shows has been from a boat.In my book shooting from a boat is not really hunting.Just hope they are still rutting. If not have to find areas where they are browsing.
6489156,Eckohlt,2020-10-04 15:27:00,3685,I think bullwinkle will be browsing where all the lady's have coffee in the early morn
6489214,prov1800,2020-10-05 07:32:00,5010,Coffee and danties
6489902,prov1800,2020-10-07 18:23:00,5010,Tomorrow will be a week since i went fishing.Cant beleive i never went.Weather kinda sucked and had home projects to do.Didnt get back up north either.Nobody to watch the house and pets.But got some stuff done.Still hoping to go north for moose.Was hoping to go tomorow but thats not going to happen.Hoping to go fishing Saturday with my wife.I need a fix.
6489908,7 Mag,2020-10-07 18:32:00,1887,It's been quiet around here people must be out fishing/hunting. Good luck Saturday!
6489912,Eckohlt,2020-10-07 18:38:00,3685,"I don't feel sry for you john not being able to go fishing for a week,you can imagine how us fish junkies feel lol"
6490014,Bill Krejca,2020-10-08 06:34:00,6107,"Yeah, life is heck, for sure!!! Keep the reports coming!! Bill"
6490016,prov1800,2020-10-08 06:42:00,5010,Yes i can imagine.its been gloomy and really windy here to.Deer hunting opens this weekend in one zone so will snoop around and see what that brings.Only have buck tag for there.Doe tags in another area that opens end of the month. Have plenty of things to do.going to put blinds in on weekend.
6488942,prov1800,2020-10-03 14:09:00,5010,Its fall and its cooling of.beautifull sceney now.Water temps yesterday at 55 f and a morning temp of 0c.Not much wind so it was a good day to head out.Did cast for muskies and didnt even see one so changed up to a spinning rod.Didnt go far from Clarks and didnt have to.Fished 4 reefs and had a fantastic bite on all of them plus had some great action on smallmouths to.All eating size but fun to catch.Jig and a minnow and caught some on a lindy rig to.Very fast action.i recast some muskie spots after and still didnt see one.Time to load up and head home.
6488946,7 Mag,2020-10-03 14:22:00,1887,"Thanks for the pictures, It looks cold I suppose ice will be forming before long."
6488960,prov1800,2020-10-03 16:06:00,5010,Cool morning.0c your 32f.I have a tiller so got to cover up a bit more.Usually mid Nov ice starts
6488964,Bill Krejca,2020-10-03 16:20:00,6107,"Thanks, John!! Bill"
6488970,prov1800,2020-10-03 17:08:00,5010,Did you see the walleye my sons gf caught.its posted on travell post.She got it across from CPR
6489032,Bill Krejca,2020-10-04 06:46:00,6107,"Yeah, heck of a fish, 32"" if I remember, dandy. Bill"
6489034,Eckohlt,2020-10-04 07:25:00,3685,"My kind of fishing weather the colder the better,lake all to yourself"
6489046,prov1800,2020-10-04 08:15:00,5010,Fall is a great time for sure Rod.The cooler weather is allright and there is no other choice.But looking at 7 months or so of wearing more clothing.That gets old.But there's ice fishing.
6489056,Eckohlt,2020-10-04 08:32:00,3685,"Well as far as I'm concerned your in great part of Ontario to put up with those 7 months of torture,but I hear ya it would get alittle old for that long of time.Just spend your 7 months of prison time in Clarks ice shack,from what I saw your minnow supply is endless lol,rod"
6489116,prov1800,2020-10-04 12:17:00,5010,Looking forward to the shack for sure and getting back to Anishinabi.Still have a number of weeks of fishing left here.Probably headed back up to Gull Lake for moose this week.One of the planes going north can drop me off.
