970896,Tom McCutcheon,2016-05-24 17:51:00,627,Gone from noisy boats to cleaning up Smokey's Toilet Tissues......LOL
970914,Old Ironmaker,2016-05-24 19:18:00,8243,"My brother-in-law that has a fairly large landscape company in Halifax came out for a visit one Fall. Never having been to Ontario he asked what those people were doing cleaning up the leaves? He said the best thing for your lawn in the winter and spring is leave the leaves on the grass. Think about it, if you rake up fallen leaves in the spring there is always fresh chutes of healthy grass under those pesky leafs. I have not raked leaves for 16 years and now my neighbours are following suit.  I got him good that trip. We went to Turkey Point for lunch after golf one afternoon then. 75F during an Indian Summer. There is a guy that has a place there and he brings up a few tall mature Palm Tree from Florida every year. Dave went back to Nova Scotia and told everyone that in southern Ontario they have Palm Trees. That isn't a lie really, we do."
970939,jimmer,2016-05-24 20:23:00,2730,Have  you  ever notice the new people moving in never have a super hot wife that likes to sun bath topless......damn new neighbors.........LOL Now that you mention it. :-(  People are way too anal about their lawns. Maybe the same ones with the loud boats!
970951,John Bacon,2016-05-24 20:55:00,3277,"I got him good that trip. We went to Turkey Point for lunch after golf one afternoon then. 75F during an Indian Summer. There is a guy that has a place there and he brings up a few tall mature Palm Tree from Florida every year. Dave went back to Nova Scotia and told everyone that in southern Ontario they have Palm Trees. That isn't a lie really, we do.  A friend of mine grows a banana tree on his place on Simcoe each year."
970954,dave524,2016-05-24 21:05:00,4508,"Where do you blow them? In the neighbors yard? Or into the bush where the wind picks up and blows them right back?  Now if it had a bag attaent and sucked leaves up I could see some use at least(for disabled folk etc)  Come on man'  Grab a freakin rake. Or just mow over it lol  As a kid we just raked them all to the center of the gravel drive, where the weeds grow between the tire ruts, lit them and out came the weenies, foil wrapped potatoes and marshmallows."
970955,manitoubass2,2016-05-24 21:09:00,11391," Guy down the street is weird. Mowes his lawn 3-4 times a week and complains about it being brown.  Id like to tell him why but its funner to watch him repeat this over and over.  Let your gross grow dude! It choke out most weeds, and let it get to 5 or 6"" before cutting it. And its not a golf green, dont cut it so darn low???"
971006,Steelheadphycho,2016-05-25 03:24:00,470,Where did that emoji come from?!?!  HILARIOUS!!
971046,DRIFTER_016,2016-05-25 14:57:00,10439,Where did that emoji come from?!?!  HILARIOUS!!  Can't remember where I got it. Have had it in my emoticons album on Photo Bucket for years. There are two others I fond at the same time there too.  Enjoy!!!!     
971047,Dara,2016-05-25 15:38:00,3052,"When I first saw the thread title I thought it was going to be about those old fibreglass tri hull boats. The waves slapping under the hull while fishing was sooo annoying.  On another note, we are having a poker run here this summer that those big a$$ boats will be here for. Everybody is quite excited about it as we never see them. I'm wondering how many will hit the rock piles"
971049,Old Ironmaker,2016-05-25 16:12:00,8243,And they say Global Warming is a Myth!
971082,BillM,2016-05-25 19:17:00,17367,"My neighbours (or my lawn for that matter) wouldn't be impressed if I didn't touch a leaf from Sept until May, lol!"
970752,glen,2016-05-23 17:04:00,2641,Some of them boats are way too loud.  Is it the Hey look at me I got a boat. I guess they would lose a few HP to make it quite.  Can you get some kind of big dish that will put the noise right back in their boat.  Darn boat people.
970753,misfish,2016-05-23 17:25:00,29133,"No diffrent then hearing that boom box car/truck, coming up the street a mile away.  Who cares. They go by and gone.  Nieghbour is smoking a joint. Cant stand the smell (unless it,s the good stuff) After about 5 minutes, the smell is gone.  I dont get your point Rob. No disrespect."
970757,manitoubass2,2016-05-23 17:46:00,11391,Bong on!  And living waterfront your pretty much asking for it. Unless of course you bought the house in 1939 or something(draft dodgers lol)  I live next to a railway and I chose to live here so no point in complaining about the noise.
970765,aplumma,2016-05-23 20:05:00,6896,Nothing like firing up my twin 318's on a 28ft Marrinette with a water bath exhaust. The noise and the smell are the greatest sound in the world. If you can't afford to run the big boys at 1 gallon per 1.5 miles then stay with your little boats and enjoy the sound of my pleasure. lol My Ranger with a GTX 150 racing motor burns 9/10 gallon per minute at 60 mph. Don't let them dinosaurs die for no reason. (tongue in cheek). It is all in the way we have fun some love a kayak some want the big motors. The size of a motor has nothing to do with your junk it is the size of your wallet that does.   Art
970781,Old Ironmaker,2016-05-24 00:10:00,8243,That's the sound of money you hear. The best sound there is would be the sound of a Fighter Jet screaming by when they use the lakeshore here as a road map. It doesn't bother me at all hearing all the boys with their toys. It is much quitter in the past 15 years though as gas prices rose to the point no one is skiing or tubing around here anymore. I miss hearing people enjoying life. Even the sound of hundreds of bikes go by on the way to Port Dover on Friday the 13th is good in my books. Enjoy life or stay indoors is all I can say.
970837,DanD,2016-05-24 11:56:00,2223,"Bong on!  And living waterfront your pretty much asking for it. Unless of course you bought the house in 1939 or something(draft dodgers lol)  I live next to a railway and I chose to live here so no point in complaining about the noise.  X2  The dragstrip in Sparta or now known as the St. Thomas Raceway opened in 1962. Sparta was a very small little village and the dragstrip was more then welcome; due to the money it would bring into the community. Now 50+ years later and after a bunch of non racers have moved into the village; there is a non stop fight with the ""new"" residents trying to have the dragstrip shut down. Come on people, you must have known that a dragstrip means noise; why in the hell did you buy a house there?    Dan."
970855,AKRISONER,2016-05-24 14:35:00,5558,"noise doesnt bother me, but when seeing a guy driving a cigarette boat back and forth with a huge rooster tail on Lower buckhorn, i dont get upset, I just laugh at the poor guy's lack of package."
970857,jimmer,2016-05-24 15:37:00,2730,The leaf blower showed up in my lakefront neighbourhood this weekend. New people moved in a week ago and low and behold. I'm more interested to see how my noisy next door neighbours are going to deal with some competition. LOL
970862,Mister G,2016-05-24 15:48:00,1429,The leaf blower showed up in my lakefront neighbourhood this weekend. New people moved in a week ago and low and behold. I'm more interested to see how my noisy next door neighbours are going to deal with some competition. LOL Have  you  ever notice the new people moving in never have a super hot wife that likes to sun bath topless......damn new neighbors.........LOL
