529236,old fisherman,2003-04-22 19:01:00,545,We aren't ugly Americans we're to drunk.
529237,Hammerhead Herb,2003-04-08 08:50:00,259,"While we are on the subject, go tohttp://www.tobp.com/humor/beerfem.shtmlto find out why beer is better than a women."
529229,Guest,2003-04-19 17:06:00,0,"Suggestion.. Why don,t most of you guys stay home and drink.It would be alot cheaper and you could drink even more."
529239,Reels,2003-04-19 19:55:00,2876,What to do with all those emptys though??<{{}}><
529238,Guest,2003-04-19 20:50:00,0,We sink the bottles so that next year we have new structure to fish
529230,Guest,2003-04-19 20:51:00,0,Why do you care what we do?
529231,Ivy,2003-04-21 11:41:00,556,"Dear Da, Da, ( If that's your real name! )Ummmm cause I would rather come to Canada and make a pest out of my-self.See ya soon.Ivy"
529232,Guest,2003-04-21 22:00:00,0,"Ok, I can live with that"
529240,Guest,2003-04-22 08:31:00,0,Bring whatever it takes to not feel any black-flys or mosqitoe bites!!!!!!
529241,bucktail,2003-04-22 12:40:00,3,Me and my group take 1 case per guy for the drinkers and 1/2 case for the social drinkers plus 2 large jacks daniels and 1 large baileys. Works out to 18 cases of beer for a group of 4.You do the math. drinkers3 beers before lunch.3 beer at lunch.1 beer just before the nap.6 beers on the lake before dinner.2 beer while cleaning fish or preparing dinner.4 beers with dinner.3 beers on the lake after dinner.2 beers around the campfire after evening fishing.social drinkers1/2 of above.
529242,Guest,2003-04-22 14:56:00,0,Sounds about right. We always throw in a gallon of wine as well. A glass of wine with a good dinner is perfect.
529223,Guest,2003-04-01 20:12:00,0,"24 beers in a case 24 hours n a day, wierd huh i would bring a case a day"
529225,Guest,2003-04-01 20:59:00,0,What about the case of beer for the camp owner so he puts you on the good!!fishing spot.PS remember guys I drink Kokanee
529226,Guest,2003-04-01 22:13:00,0,"A general idea:6 guys7 days(not counting the first night at the Alluett in The Pas)26 cases Blue and Blue light9 Gibson's 1.75The Creighton liquor store loved us.Oh, and that doesn't count the 4 cases and 2 bottles we brought accross the border.Best ##### trip in 8 years. And the fishing was great too."
529227,Guest,2003-04-02 08:09:00,0,I think that you can only bring across 1 case of beer or 1 bottle of booze. 1 carton of cigs... Probably best to just buy it in Canada. check out this Customs site to make sure. You don't want them taking away your supply!!! It's probably a good idea to check into this site anyway just to make sure we are up to snuff on the latest reg.'shttp://www.ccra-adrc.gc.ca/customs/i...isitors-e.htmlCan't wait to go fishing!
529228,Guest,2003-04-02 10:40:00,0,"The amount would depend on the age too...younger guys you need more.We have a group of 6 guys...5 between 33-40; 1 over 60. We takea case and a half to two cases per guy for a Sat-Wed....plus a coupleof us bring vodka for tonics when we come off the lake. Usually runs pretty close....and now that you can't have any in the boat...itactually is less.I figure 3 or 4 at lunch, 3 or 4 later....plus a couple of tonics."
529233,Ivy,2003-04-02 13:18:00,556,Drunk guy talking Scene 1 Act II:Firsht of all I wantsh shto know whatsh you people are doing my boat?Getsh the Heck outof thers. I'm trying to talk tooth the boysh on W.C..The rule of thumb is. You're gonna run out. Don't take any chances. Tis better to have it and need it than need it and not have it.And one other thing. You can't drink in the boat umless you buy a Beer in the boat badge. Ivy
529217,alan ex pup,2003-04-03 10:55:00,126,"been going up there amny years and many times have seen the DNRgoing from boat to boat and watched as liquid was being poured into the lake, this went on for over an hour. But the dummies with the beer never got the idea to leave before it was their turn. hahaha. Dont know if they also got a fine or not but up there drinking in a boat is the same as driving and drinking big big wampum. How lucky do you feel?"
