353260,ketchenany,2009-06-18 17:44:00,3229,  Tell that to the TTC  streetcar drivers on King street!
353261,camillj,2009-06-18 17:52:00,1988,"Yep .. my first car was was a souped up '69 Camaro Z28 ... I used to get a huge fist pump from anyone driving anything remotely sporty with a chevy logo on it ... and the one finger salute from the Pontiac - Firebird folks (when they got left in the dust)  There was definitely a ""we"" - ""they"" thing going on back then ... too many different teams now since the expansion"
353263,EC1,2009-06-18 17:56:00,930," I drive a subaru myself, but nothing modded..and yes, the winter is amazingly fun!!!"
353265,Dara,2009-06-18 18:02:00,3052,  Do you get some good riding there?
353295,Tybo,2009-06-18 20:17:00,1373,Waving on a boat was not a gesture. I was too tell the other craft what side you where going to pass.
353296,Tybo,2009-06-18 20:19:00,1373,Billy Bob. you do realize that trailer is not attached to the truck.
353311,ecmilley,2009-06-18 21:02:00,2163," i rode from mid november to the end of march this past winter, we have about 200 km trails we make  ourselves, the lake and ofsc trails on the otherside of the lake, so we get lots of good riding"
353351,Great Lake Steel,2009-06-18 23:06:00,41," Mine's not really modded, not yet anyways it's still under warranty. What are you driving?"
353357,Greencoachdog,2009-06-18 23:23:00,8163,"Don't stop for the ""wavers"", unless you're a ""waver"" too...   .. not that there's anything wrong with that..."
353429,Dara,2009-06-19 02:32:00,3052,  don't tell me....GM
353464,Raf,2009-06-19 04:27:00,3495," so that was you waving...    ps, luv the church st. camo."
353467,holdfast,2009-06-19 04:54:00,1813,Caught you. You must be Danbos Twin Brother.
353505,Billy Bob,2009-06-19 12:11:00,5865," YES, COFFEE is over with and everyone was to go to LUNCH..."
353034,JohnF,2009-06-17 22:35:00,3494," Well, that explains how my Subaru driving single buddy scores all the women he does. I guess I should tell him they're all lesbians, d'ya think? That might spoil his day.  JF"
353037,Fishnwire,2009-06-17 22:40:00,983,"  The YJ is a direct descendant of the original and still the greatest off-road vehicle ever made...hands down.  All others are mere pretenders.  All bragging and kidding aside...when it comes to off-roading, tires are probably more important than what spins 'em.  Driver know-how is right up there too."
353039,Billy Bob,2009-06-17 22:47:00,5865," Hey, I'm a Tundra hugger, like in Toyota Tundra.................but before Tundra I was in a GM club and I would do a lot of waving to tow trucks to stop....."
353042,Great Lake Steel,2009-06-17 22:58:00,41," Yes, we're out there and have our own club.  And sinker, I think I stole the first redneck in a scooby title. The guys that fish eastern tribs have likely seen me around.  Usually, you only get waves from modified scoobys to other modified scoobys, there's just too many 'normal' ones around. If you think you love it when you first get it... wait until the winter!  check out the toronto subaru club (really all of ontario) for some meets, parts hookups etc."
353051,Sinker,2009-06-17 23:11:00,8692," I'm not even going to ask why your on a gay wheels site........  If you knew the deal I got on it, you'd snatch it up too.  I know nothing about subaru's at all.......I'm a dodge ram kinda guy myself. This thing is gonna get a work out  S."
353068,Raf,2009-06-18 00:16:00,3495," I was just uhh.. confirming the rumours.    Could be worse, it could be a Miata.  I'm teasing, I've owned a AWD/Turbo before and even if yours is non-turbo, you will love it.  It will go places in conditions you'd never expect."
353070,Sinker,2009-06-18 00:19:00,8692,"If it wasn't turbo, I wouldn't have it  Seems like all the people who have never had one are the ones knocking them..........jealousy makes people do crazy stuff  S."
353077,JohnF,2009-06-18 00:28:00,3494," Back in the day I had some pretty nifty (read fast) sleds, but I haven't even been on one in close to 30 years. It would be fun to try some of the new stuff.  JF"
353078,Pigeontroller,2009-06-18 00:35:00,2793,Waving at another driver cause they are driving the same brand/model is dumb.
353082,JohnF,2009-06-18 00:41:00,3494, Why do boaters wave as they pass on the waterways?  JF
