268554,tibbs,2008-11-17 21:22:00,650,mmmmmmmm...  That looks fantastic!   :worthy:
268677,Leecher,2008-11-18 00:18:00,7832," Great tip Dan    and thanks for the reminder    I too do that and forgotten to mention to heat up the plate before serving.  It just slip my mind     Must be old age  I would certaintly try it on the BBQ to..... doesn't matter what the heat source.... for me, like the old cast iron pan with a little butter    mmmmm  Jacques"
268685,Leecher,2008-11-18 00:26:00,7832, On froot Loops    Hope you don't get a breatherlizer test     Just joking  I hear ya.... the more garlic the better and the wine will take the taste to the next level for sure     Soya is already in the recipe but the orange juice is real interesting  Thanks for your input HH     Now have different options for my next marinade Thanks again Jacques
268687,Leecher,2008-11-18 00:27:00,7832, Thanks tibbs     Sure was tasty and tender Jacques
268165,Leecher,2008-11-16 22:16:00,7832,"Well guys guess what I'm having for supper tonight??  You guessed it..... Deer steak    If you're wondering what the horns are doing in the sinc.... just soaking it into peroxyde to blanche the bones    Got that tip from an taxidermist.... will not harm it and will get rid of the remaining flesh on the bones  Got this recipe from my good hunting partner and is one of my favorite times of the year until I ran out meat The recipe is quite simple, first you must get a tupperware container for marinating.... you'll see in the pics what I'm taking about.  It's got dimples on both top and bottom.  Ingredients: You will need a finely chopped oignon, two garlic cloves, a branch of celeri, vegetalble oil just enough to cover the dimple in the tupperware container, salt, pepper and garlic salt to your likings, soya sauce and worcestershire.  First of, chop finely the oignons, cerely and garlic.  Add the vegetable oil so that it does not exceed the dimples in the container and the garlic,  see pic below:    Then add the worcestershire and soya sauce, not too much, see pic below:    Then add the oignon and celeri, see pic below:    Then add the deer steaks, see pic below:    Cover the container with the top and flip it once so that all of the flavour of the ingredients gets on top of the steak.  It should look like the following:    Place the container in the fridge and keep on flipping the container for as long as you want.  For me just about an hour but for animals that are older then 2 1/2 years old, keep marinating for 48 hours.  It is that simple and will taste great  Hope you give it a try Leechman"
268167,misfish,2008-11-16 22:20:00,29133,You just keep rubbing it in . Im starting to dislike you.LOL  Looks mighty fine.  two garlic cloves??????? I like the whole bulb myself.
268173,crappieperchhunter,2008-11-16 22:41:00,2582,Looks mighty fine!!!  2 garlic cloves  ...lol...I'm with Misfish. Start with a bushel of cloves    and work backwards from that if you have too.
268174,Leecher,2008-11-16 22:44:00,7832," If that's the way your going to be..... then..... J/K Did you notice on the first pic, the zip lock bag on the right hand side?   it contains all of my garlic that i have harvested this summer.... half of a cube will equal a whole bulb but i just used 1/3 of it Leechman"
268179,bigugli,2008-11-16 22:53:00,6138,Drooooooooooooooool !
268181,tjsa,2008-11-16 22:57:00,1578,"|nteresting recipe, but after all that prep, just how do you cook it????? or is this deer sushi????"
268185,Leecher,2008-11-16 23:05:00,7832," tjsa the meat will not be sushi, cook it in a pan with butter and it will be tender and more and more tender the longer you marinade it.  Remember wild meat is always is dry.... you will not have that with this recipe.  Give it a try and let me know how you find it Leechman"
268197,buckster,2008-11-16 23:24:00,530,Might just have to give that a try........... but i have to agree with misfish and cph.  I like a triaxle load of garlic lol
268199,tjsa,2008-11-16 23:28:00,1578,"Oh I know very well how dry it is, actually prefer it that way, but may not get the chance to try this as I have not gotten out yet this year.  The marinade recipe is saved though."
268200,Leecher,2008-11-16 23:33:00,7832," Since you just got a very nice buck, might be a time to try this recipe If you like more garlic then I think it will be just fine What I just posted was the base of what any of you might want to try..... This one had to modify it to my likings  Again great job buckster on a very fine buck Leechman"
268201,Leecher,2008-11-16 23:38:00,7832," COOL my friend.... if you ever get out, please post a report on your results     will be waiting"
268202,Greencoachdog,2008-11-16 23:42:00,8163,That's real close to the way I do my beef steaks Jacques!  ... except I use a Honey Teriyaki marinade and slap them on a 400*F grill and turn them one time only!
268204,tjsa,2008-11-16 23:48:00,1578,"That sounds very ""RARE"" Glen, and juicy."
268206,Greencoachdog,2008-11-16 23:50:00,8163," yeah, I edited it... a 400*F grill, I do like my steaks medium rare and juicy!!!"
