1052985,John,2019-11-24 16:22:00,2956,Pretty sure this thread ran its course some time ago.
1052997,aplumma,2019-11-24 18:50:00,6896,Bed time for this one it seems to be  a few people who do not know how to accept other opinions are just as valid as theirs. Art
1052933,BillM,2019-11-23 15:41:00,17367,"How does the word racist even fit into this sentence?   Immigrants aren't a specific race, they come in all colours...white, black brown, yellow, purple, blue, whatever.    People REALLY gotta stop using the word racism here because it does not fit.   Wanna call him a bigot?  Fine, but a racist?  lol no. "
1052935,Toronto_Angler,2019-11-23 16:14:00,698,You do realize that Gay guys are more likely to be strong muscleheads than regular 25 year old males right? The gay community is known for keeping themselves in really good shape.
1052937,BillM,2019-11-23 16:23:00,17367,I think it's pretty obvious Chris wants the best person for the job.
1052938,aplumma,2019-11-23 17:15:00,6896,This is going from a discussion to an argument. Discuss things without attacking others opinions  is the only way this thread will stay open. Art
1052939,Toronto_Angler,2019-11-23 19:24:00,698,"That's not what he wrote. His exact quote ""If my house goes on fire tonight when my family is asleep, I want an army of 6'6'' muscle head male, 25 year old guys to haul our asses out, I don't want females or LGBQ people, call me sexist or or whatever, if it offends somebody, so be it,"" He doesn't want a female or LGBQ person saving him"
1052940,Toronto_Angler,2019-11-23 19:34:00,698,"Seriously Art its been a discussion? Half of this thread is a bunch of racism and bashing of ""Leftys"" in a political post which is not supposed to be allowed anyways because it always turns into a bash fest on both (Guilty of it myself thats what political posts do to ppl). Come on now"
1052941,Terry,2019-11-23 19:37:00,14456,Just because you are offended doesn’t mean you are right
1052942,aplumma,2019-11-23 19:47:00,6896,"Easy solution do not open it, do not read it, do not comment.  I get bitched at for letting them run or for shutting them down. Lets see if we can be adults here. Art"
1052943,Toronto_Angler,2019-11-23 19:49:00,698,Thats like saying drive past a car wreck and not rubberneck. Human nature is a hell of a thing
1052944,BillM,2019-11-23 20:16:00,17367,We're going to use the assumption that the female or LGBQ candidate isn't as fit for the job as the 6'6 muscle head and only got that job because of their sexual orientation. But you knew this already.   So I really don't know what to tell ya.
1052946,Pigeontroller,2019-11-23 22:11:00,2793,'You people' all need a hobby. Ever heard of fishing?
1052947,chris.brock,2019-11-23 22:31:00,4053,"send in the gay guys then, I don't care, I just want to best person for the job, not hiring based on filling quotas which is what's happening in this silly era you're twisting what's been written and consistently missing the point intentionally to stir the pot, it's tiresome, you're counterproductive to your argument too   "
