999602,wkimwes,2017-04-07 19:18:00,76,"My SAIL in Cambridge had a bunch of the glide baits in the clearance bin, I mean lots on Monday."
999603,manitoubass2,2017-04-07 19:20:00,11391, My lures are no secret lol.
999606,kickingfrog,2017-04-07 19:34:00,8333,To avoid accidents.  My lures are no secret lol.   The secret to not getting hooked by a thrashing fish is dull hooks.
999609,manitoubass2,2017-04-07 19:40:00,11391,Lol. I wish that were true. I don't sharpen hooks at all and I've still got a few piercings
999627,PUMP KNOWS,2017-04-07 21:44:00,937,Thanks Kickinfrog for the pics.  I can't believe those eyes were smashing those big baits.
999629,manitoubass2,2017-04-07 21:55:00,11391,If their hungry they'll smash whatever.  Small pike are you worst for that. Trying to a bait larger than they are lol
999045,PUMP KNOWS,2017-04-04 00:53:00,937,"Anyone here use these lures for pike and musky? If so, how well did they work for you?   Rapala Jointed Clackin Rap 14cm 1-1/2 oz       Rapala Glidin Rap 15cm 2-1/12 oz       Rapala Subwalk 15 15cm 2-1/8 oz   "
999047,Weeds,2017-04-04 01:02:00,782,I've had some success with the Rapala super shad rap. Not one of the choices above but looks pretty similar to the Rapala gliding rap you've got pictured there.
999049,Rizzo,2017-04-04 01:17:00,4754,ditto for the supershadrap...bet I have caught 40-50 muskies on those alone. Haven't used any of the ones you are showing
999053,OhioFisherman,2017-04-04 01:29:00,6623,The first two seem to have been discontinued? Can't find much info at all on #3.
999054,kickingfrog,2017-04-04 01:30:00,8333,"Haven't seen the jointed clackin rap. The sub walk will be tested this year. The gliding rap is great for pike. The gliding rap also caught loads of walleye on a fly-in, but I didn't find a lure that I couldn't catch them on.  The gliding rap is very different from the super shad rap."
999055,Weeds,2017-04-04 01:40:00,782,I imagine the action on the lure would be quite different. I just meant similar more on the basis of length and profile.
999059,captpierre,2017-04-04 01:55:00,2521,Should work great. Muskie are not fussy IMO. Hooks likely a little small
999060,captpierre,2017-04-04 01:57:00,2521,You too. Nicest part near Severn. Rail at Big Chute.
