348412,otter649,2009-06-04 21:00:00,118,I wonder what the laid off workers in the forestry industries out west think of this......not much.
348514,holdfast,2009-06-04 23:38:00,1813,"  They are Pissed.  They Blame Central Canada, (Ontario), The Opposition Parties, and Basically feel they're nothing but second rate Canadian citizens and the Prime Minister is being forced to do this as a Minority Government thanks to you know who.  Its just not the Forestry workers either.  Its 95 percent Westerners except Vancouver.  Pretend your a Westerner and turn on CBC.  You might see what I mean."
348587,ch312,2009-06-05 03:12:00,1590," why should MY tax dollars be given to those who were promised a pension from GM? i do not have any association with GM, so why should my money go to its workers or previous employees? they should be getting a normal government pension like other seniors who do not get a pension from their employer or those who's previous employers went under.  our money could be used for much better things than spoiled ex union workers"
348589,Fishnwire,2009-06-05 03:25:00,983," Yes the members get to vote on the executive.  Do you think they were given a choice of a lot of candidates running on the ""We're too greedy and lazy"" platform?  Maybe you think they should have demanded to go out on strike unless they had their pay cut?  Like most working people, they probably felt they had worked for, and deserved every penny they earned.  Isn't that how you feel about your paycheck?   They made an excellent working class wage.  What's so wrong with that?  They made enough to pay their mortgages, for their family vehicles, to raise their kids and maybe had a little left over to buy a couple of toys.  None of these guys ever got rich doing their job, so in that way they definately are not lawyers.  You're right that they made more than other assembly line workers, which made it easier for other assembly line workers to justify asking for raises of their own.  More people with good paying jobs is good for the economy, right?...As a matter of fact, more people with good paying jobs is the very definition of a good economy, as far as I'm concerned.   The collective agreemnts between the company and union (which you feel the workers were ""greedy"" by accepting) were ratified when GM was one of the biggest and most profitable corporations in the world.  I thought that was obvious.   I didn't put words in your mouth, dude.  I'm attempting to illustrate how both ways of thinking are equally illogical.   This has been fun but I'm off to camp for 4 days.  I can only hope this thread will be buried by the time I get back.  Cheers and tight lines, all."
348613,Chris,2009-06-05 10:44:00,405," Not if it helps bankrupt the company they work for. You surely must understand supply and demand.....that consumers are not a bottomless pit. If a good chunk of the price of their new car goes to paying for higher than average wages, over-the-top benefits, pensions and legacy costs for the employees, something else has to suffer....quality of the auto maybe. Mine surely is a piece of crap.  GM had rear brake problems on mid-sized sedans for most of the late 80's and 90's. Why was this engineering problem never fixed in almost 15 years? Guess it's easier to screw the customer....let him put new rear brakes on every year. Or what about the paint problem GM still has with their vehicles. How many GM's have you seen with paint peeling off? They have had this problem for years yet....not only do they turn their back on their customers who have this problem, they have made no attempt to fix the problem on cars still coming off the assembly line.  I don't think GM gets it even now. I keep seeing their ceo's and reps on tv saying that the ""new"" GM has to start looking at new features and styles that customers want. How about forget the blinking lights, on-star, self-locking doors, keyless entry and other gizmo crap and start manufacturing quality products that stay on the road?  Besides, if their employees are still trying to justify their compensation package, I guess that GM is still in big trouble."
348635,holdfast,2009-06-05 12:57:00,1813,Agreed
348652,Jonny,2009-06-05 14:10:00,1380,"I'm in agreement with Fishnwire in just about everything he says.  As far as GM is concerned (and Ford and Chrysler too), I think that what they should do is start offering a manufacturer's warranty for their vehicles the same as Toyota and some of the other foreign makes --- a three-year bumper-to-bumper warranty. Never mind just the power train (with exceptions).  Offer the bumper-to-bumper, and build to that quality. That would do more IMO than other fancy gimmicks to gain them sales."
348654,POLLIWOGG,2009-06-05 14:25:00,835,"Once the $3K car from India gets here you won't have to worry about expensive repairs, you just replace the car."
348655,Jonny,2009-06-05 14:30:00,1380," Once the $3K car from India gets here and is upgraded for Canadian conditions and certified for Canadian roads, it'll cost $12K."
348659,Stoty,2009-06-05 14:35:00,2910, AMEN brother. It's too bad the Prime Minister doesnt think like that too.
348697,Jonny,2009-06-05 16:51:00,1380," Probably a number of reasons, two of which might be:  1. The money is not likely being paid specifically to the pensions; it's being paid to cover the GM shortfall, of which the pensions are a part. Would it sound better if that money was earmarked for other areas (though still part of the same pot)?  2. GM screwed up bigtime, no question. Part of the screw-up, if I recall correctly, was raiding the pension plan so there was an unfunded shortfall. That's the company's fault, not the workers'.  The GM workers are lucky that their pensions are bound up in the much bigger issue of the failure of the company and the loss of a large chunk of our industrial base, or else the gov't probably would have done the same as it has done when other companies used pension funds greedily or unwisely --- nothing. In Northern Ontario I've seen too many workers in the mines and resource industries lose pensions, or part of them, because of shady, unethical dealings by the companies they worked for.  ""Spoiled union workers"" sounds a little harsh. It sounds a little like clawing at someone who has managed to gain a good living and drag them down to that oh-so-desirable subsistence level. Can't there be some good-paying jobs in this country, even if we ourselves don't have them, without calling the workers undeserving?"
