662242,NAW,2012-01-31 17:31:00,4022,Congrets on the new project man!
767850,Larry D,2013-02-14 19:33:00,3,Was just reading all the comments and we have a piece of land on Lorimer Lake.  Just bought it actually and have found that the staff at the town hall....whitestone.  They are helpful with what you can build and will guide you thru the process.  I drove up there to chat with them and its pretty easy.  I am allowed to build a couple shacks (bunkies for later) that we will use for storage untill we build the cottage.  We are supposed to sleep in a tent and there is no limit as to how long it can be there(in the case of a trailer I am sure its the same).  Its a great are and the fishing on Lorimer is great.  My only question would be if  the ice fishing is any good on Lorimer?  My wife and I are going up to have a look at our land and I thought it might be nice to do some fishing on the ice as I have never don that before....any thoughts?  
767953,bassassin,2013-02-15 03:23:00,152,"I hear the lake trout fishing is great on Lorimer, congrats on the purchase. i read the bylaws and it says there is a 30 day limit on trailers. The staff at the Whitestone office including the building official are phenominal and go out of their way to help you. They even put me intouch with whitestone resort who were giving away their 2,3 and 4 bedroom cottages for free! the only catch was you had to bring them to your site which costs 20k+...  Im hoping to clear the lot and install a driveway this year spring/summer theres a guy on my street there with a gravel quarry and equipment that most people go to, but if Skip is still willing to help and the price is right then he's my man and he should be yours too!"
768029,Larry D,2013-02-15 15:25:00,3,"Thanks for the reply.  I hope you get the people together to put your dream cottage up for as little cost as possible.  Its a nice area and our kids love it up there.  So do you know how the snow is this time of year?  There must be a ton of it now.  We are hoping to head up soon to do a bit of snowmobile fun and spend a night in a hotel sso we can go see our land.  When building, its important to see the land in all 4 seasons so you build it in the right spot.  Any one have any builders or tradesmen that they recommend?  We have a septic guy all set already but thats all."
768042,Rod Caster,2013-02-15 16:02:00,5784,"Those pics you posted, that's Igor a local guide. That guy catches big fish like nobody else. Met him this summer in Dunchurch. Nice guy. Best of luck with your new property"
768207,Larry D,2013-02-16 14:45:00,3,"This is all new to me, so how do I get in touch with the guy you guys mentioned?  I didnt see any pics either, so maybe you guys can enlighten me as to how you move around this site to see more?  Thanks and we are heading up today to seee how the snow and Ice is on Lorimer lake."
768212,4x4bassin,2013-02-16 14:58:00,1025,"I have a trailer on Lorimer and a couple friends as well , they were up there last week snowmobiling and said there was lots of snow and ice . Actually they went all the way up to Loring on the trails and lakes with no problems. I know a couple contractors  that work on that lake but I can't get a hold of them till spring , thats when we start to see them around the park . If you need any info on the area let me know and I will help you out when I can !"
768249,bassassin,2013-02-16 16:47:00,152, PM sent!
660448,bassassin,2012-01-26 03:04:00,152,"Several months back I posed a question as to whether or not i can find a lakefront property for appx. 100k?  It turns out after a year of searching I purchased 2 acres of lakefront property with 290' of shoreline on Shawanaga lake. What i'm trying to say is perseverance pays of! I went above my budget by a whopping 10k LOL! the lake is 9km long and pretty beautiful i must say.  Has any one fished this lake? its right above Lorimer lake just north of parry sound, off of hwy 124. Now the fun begins, i have to figure out how to put in a driveway clear the lot and build a cottage on a budget of 5k. This hurdle may prove to be impossible to clear! LOL..."
660454,danbouck,2012-01-26 03:15:00,4380,lots here http://www.recreationland.net/
660459,irishfield,2012-01-26 03:25:00,26272,"Last I heard it was fished out and why land was cheap!  The real question will be can you build on it, etc?  I bought 26 acres and 4000 feet of shoreline for not much more.. but the fight to build isn't worth the lost sleep.  Shawanaga is supposed to have Lake Herring in it.... and looks like Pike as well.  Go here and type the lake in search and start reading.  http://www.web2.mnr.gov.on.ca/fish_online/fishing/fishingExplorer_en.html"
660462,Pigeontroller,2012-01-26 03:28:00,2793,"Start with an older trailer, should be able to find many for under 5K."
660480,bassassin,2012-01-26 03:50:00,152,"the only issue with building lies in the docking, must use a floating dock other than that im good to build when i can afford to !  Apparently you can only have a trailer on the site for no more than 30 days.  I figure i'll be able to afford to build on it just in time for my kids to be too old to want to hang out with their old man."
660486,bassassin,2012-01-26 03:52:00,152," lake herring large mouth small mouth lake sucker pike and it was stocked with walleye which apparently didnt take, but i plan to find them..."
660488,irishfield,2012-01-26 03:54:00,26272,"Although I suspect.. with the ""no trailer for more than 30 days"" Bull.. that their planning act says no ""accessory"" buildings prior to a main dwelling/residence. As long as you've done nothing to be under planning control they can't stop you from building less than 10 square metres... as it doesn't fall under the building act, as long as there is no plumbing inside said structure. Outhouse and camp kitchen under a tent awning."
