511224,aniceguy,2010-10-12 12:11:00,1094,thanks Wayne those were enjoyable
511230,Carp,2010-10-12 13:00:00,1488,Some great viewing Wayne. Thanks for taking the time to upload the videos.
511274,tb4me,2010-10-12 16:17:00,3295,Cool stuff there wayne! I always wanted to get into flying. You just made me want to even more
511346,kickingfrog,2010-10-12 20:27:00,8333,"  If that's the criteria, are there any walleye anywhere?"
511372,Terry,2010-10-12 21:36:00,14456,I was fishing the kawarthas on sunday I was by myself so pictures are bad  but they are walleye LOL           so just maybe it's thaqt one evil lake that has no walleye
511419,Fisherman,2010-10-13 00:44:00,7201,"I'm putting a seatbelt on my computer chair..now I know why someone else said they were ""leaning"" on those turns, I almost fell out, super nice videos."
511528,ehg,2010-10-13 14:22:00,2666,Thanks for taking us along for that perspective of the landscape. Amazing videos!
511695,fishnsled,2010-10-14 02:30:00,3520,That camera looks good in HD Wayne. Very cool footage. I've noticed that camera is getting a lot of use with the pros. Saw it being used on the Mercer Report this week as well as the Chilean miner rescue.
510789,glen,2010-10-10 13:50:00,2641,The ground looks like a golf course with all the green trees and blue water.
510810,Slop,2010-10-10 15:09:00,151,Cool vids! Is that Wilson Lake that you flew over before landing?
510837,TennesseeGuy,2010-10-10 17:14:00,957,"Wayne, thanks for taking us on some nice rides.  I especially appreciate your post since I'm sitting out October this year.  Hope you don't have to buy too many cases of beer.  That's an awfully pretty airplane.  Don't want it to have scars."
510873,irishfield,2010-10-10 19:58:00,26272," If you are refering to the 2nd video.. approaching Temagami from the South.. it starts at Herridge Lake, and you can see the angled laneway down into Papa Johns Lodge at the 40 second mark.  Video 5 is now up, departing Temagami to the East and I will soon have up #6 that shows the beautiful sandbar of Obabika Lake before I circle and land on Clearwater Lake."
510899,tomO,2010-10-10 22:49:00,363,Nice vids Wayne. I've never seen a prop like that before on a plane.
510900,irishfield,2010-10-10 22:55:00,26272,"It's just a two blade prop riverrat... it's just the way digital video inputs a line at a time, side to side, that it picks it up as curved. Wish there was a way around it.. I've tried all the settings. Next try is a new software upload for the camera that loads at 50 frames per second instead of 60. Might make a difference.. I'll find out next year as I'm grounded for now. Have a bad cylinder on my engine.  Mods please tell me why Riverrat without a space is filtered to come up as Dumb Ass !!!"
510902,Terry,2010-10-10 23:00:00,14456,? keeps coming up mud butt when I try
510903,Roy,2010-10-10 23:01:00,13728," I have no idea, Wayne. I just fixed it until someone tells me otherwise."
510904,irishfield,2010-10-10 23:02:00,26272,"Yes, contestant # 2 has a question! lol"
510908,tomO,2010-10-10 23:09:00,363,Dumb Ass! thats what my wife calls me.
510920,kickingfrog,2010-10-10 23:38:00,8333, I must be related to you.
510922,irishfield,2010-10-10 23:47:00,26272,At least we know whom bribed the mods now to add your name to the filter!!!  Video #6 is up ! Some beautiful scenery in this one.
510925,tomO,2010-10-10 23:56:00,363,I didn't even I was being filtered. I'm goin to shower now.
510971,irishfield,2010-10-11 03:01:00,26272,Video #7 is added... last two I'll get up and posted tomorrow.
510985,Moosebunk,2010-10-11 05:42:00,3970,"Enjoyed these Wayne.  Had to wait to get to work to open them, but it's been a couple good nightshifts sharing the skies with ya.  Thanks bud.  Looking forward to more summer stuff from ya."
510993,Handlebarz,2010-10-11 10:13:00,3790,great videos wayne thanks for sharing them that sure does look like a lot of fun and would be nice to have one of my own to do some of that lake to lake fishing with less portage.
511024,Whopper,2010-10-11 14:15:00,2174,Thanks Wayne Now I'm really missing my annual float plane ride
511028,Fish Farmer,2010-10-11 14:33:00,2234,"Thanks for sharing Wayne. 1 more video and I'll have it down pat, flying lessons. Now to figure out how to get wings on my boat. Man, Lac Seul or Nipigon would be my next landing Gezz it can stand up, I got fly legs"
511069,irishfield,2010-10-11 18:04:00,26272,Eight is up.. final one to come in a bit.
511070,Guest gbfisher,2010-10-11 18:12:00,0,  I love the landing vids....ALMOST makes me wanna fly again......almost...  Seeing where yer landing now. I fished just south??? of your cottage a couple years back with Hyatt and a few other friends. I forget the name of the guy who had us to his place though. Caught a few lakers and a couple pickerel. It was just off the main ice road on the right side. I'd say only a mile from your place.
