770943,irishfield,2013-02-28 23:19:00,26272,Yah.. because the beer store isn't that far down the road!
770949,Dan668,2013-02-28 23:30:00,1120,"I might be booking in Georgian bay somewhere, is their a section that doesn't have a ton of boat traffic? Taking my parents, they would rather not hear and constantly see boats."
770950,Rich Clemens,2013-02-28 23:38:00,3131,Didn't have one last year and haven't of any chatter for this year.  Not yet anyway.
770951,Rich Clemens,2013-02-28 23:39:00,3131,Didn't have one last year and haven't of any chatter for this year.  Not yet anyway.
770959,Andrew Grant,2013-03-01 00:17:00,201,.
771112,Lunatic,2013-03-01 19:59:00,536, cool thanks for the suggestion
770379,Lunatic,2013-02-26 20:45:00,536,"I'm looking at a short get away this spring or early summer for me and the wife for 3 days. of course the fishing has to be good,she gets bored quickly while fishing so the better the action the longer i get to fish lol i dont want to go too far, maybe about 4 hours north of hamilton. probably not further than north bay, would love a lake with big pike and some bass. all suggestions welcome thanks"
770381,Lunatic,2013-02-26 20:48:00,536,I should add that ive been looking at wolseley lodge. anyone been?
770389,BucktownAngler,2013-02-26 21:40:00,582,"ive been to wolseley lodge.  id recommend memquisit or lakair in west arm of nippissing. great bass & pike fishing there, she will not be bored"
770423,Lunatic,2013-02-27 00:18:00,536,Cool thanks ill check them out
770425,Rich Clemens,2013-02-27 00:25:00,3131,I've done better with pike at Lakair vs Wolseley.  The Wolseley area can get busy with 4 lodges in the bay itself.  I'm skipping Wolseley this year.
770448,Lunatic,2013-02-27 01:35:00,536,thanks for the heads up. i dont want too much of a crowd
770449,Nipfisher,2013-02-27 01:39:00,2449,Are you bringing your own boat or looking to rent?
770456,Lunatic,2013-02-27 02:04:00,536,bringing mine
770472,Nipfisher,2013-02-27 03:19:00,2449,"   Reason I ask is.....Nipissing can be NASTY at times. How big is your boat/motor? I have a trailer at a park that rents cottages. Close to the Sturgeon River and you can boat into the French River, or West Arm. Lots of good pike and bass options.  Lake Nosbonsing or Talon Lake (both near North Bay) are also good options."
770523,fisher,2013-02-27 14:36:00,451,"A fun tactic we came across about 7 years ago when last on the French was to drive into the many bays pretty fast that were chocked full of weeds and cut the engine and throw out our spinner baits right in the prop wash....hit a pike every time.  Mind you the water was 10 feet deep and the weeds were just as tall so there was little risk of hitting any rocks.  Pke are not shy of the motor and in fact, we were surprised to see one strike the prop two times (as it came to a stop from spinning) before it figured out it was not food.  That was how we stumbled onto that pattern."
770533,Lunatic,2013-02-27 15:28:00,536,
770534,Lunatic,2013-02-27 15:30:00,536,
770590,Andrew Grant,2013-02-27 18:42:00,201,.
770634,Nipfisher,2013-02-27 22:10:00,2449," o.k. 16 footer is o.k. but 20hp will take you a long time to get around on Nipissing. Check out Tallon Lake, and Lake Nosbonsing. If you stayed at Lakair in the west arm you would be o.k."
770639,Angler management,2013-02-27 22:20:00,280,"I have been to wolseley lodge last 3 years, and i am definetly not going back... Its overcrowded and overfished. Dont get me wrong there is lots of fish, but u definetly need to work harder to get them then most surrounding areas. First two times i went we had bad weather, so i figured i would try again last year, and nothing spectacular. Ive had more action in the kawarthas many, many times. Hopefully somebody who is more familiar with the area can point u in the right direction... And i will follow as well. Lol!"
770641,Angler management,2013-02-27 22:27:00,280,"Also wanted to add, dont fish the areas they tell u to fish at french. I made friends with some locals the last night i was there and they all told me the same thing... They advise you to fish certain areas that are ""very good"" but their guides stay very clear of those spots for a reason, and boat an hour out of the lodge area. Only people catching good fish while i was there were out with the guides, while the rest of us were skunked with bass and pickerel and only caught small pike."
770648,Lunatic,2013-02-27 22:57:00,536,"I'm glad I asked. I hate crowds, although sometimes unavoidable. Lakair looks like a winner, which is surprising since most people I talk to scoff and lake nip because of the elephant in the room up there. But they like fishing for walleye"
770683,Rich Clemens,2013-02-28 00:51:00,3131,"I'll be at Lakair for the musky opener in June.  Even on the West Arm, there are weed beds around that hold Pike - even close by the lodge.  I've caught some right off the dock.  If ya go, be sure to tell Kevin and Leslie I also recommended their lodge.  Maybe I'll get a discount for referrals :-)"
770684,Rich Clemens,2013-02-28 00:55:00,3131,"I'd have to agree here.  Definitely fish there, no question, but I just don't seem to have any luck on Muskies.  I fish areas I know that hold them.  Skunked here for years.  Went last September and skunked.   Moved down the road to Rainbow Camp and had one in the boat in less than an hour of hitting the water.   Spending two weeks at Rainbow this September."
