6558978,warefisher,2021-05-08 11:47:00,5,I caught five nice trouts last evening!
6558998,Wallychowder,2021-05-08 12:43:00,1567,I caught 5 nice walleyes yesterday !
6558760,v-bay gord,2021-05-07 15:54:00,3168,"Ah, Stumfar, you are a wise man...and I stand corrected. Apparently I was looking at a Labatt's bottle pre 1995. What's the world coming to when you can't hold onto tradition.?"
6558778,Wawajake,2021-05-07 16:45:00,413,"Last summer after flipping back and forth between various Canadian Beer, I stumbled on Sleeman 2.0 beer. It is a Ontario company , brewed in Guelph Ont. It is ok price and found in Beer Store and Licensed Grocery stores . I never was a Labatt drinker, preferred Molson from young age, anyone remember Molson Golden ? Excellent obviously I did not drink enough they discontinued it's many decades run awhile back ! I tried the Coors Light (Canadian version ) but around her it is called Girls Light. &#x1f642; so dropped that one . On the topic of beer, why has it become more common for people to puralize Beer to "" Beers"" . It just sounds weird "" beers"" . When I go hunting for Deer ,I don't hunt for Deers. ......oops might of started a debate !"
6558794,Wallychowder,2021-05-07 17:02:00,1567,you sure do hunt for Deers ! Are you singling out 1 particular Deer ?
6558800,pjshorthorn,2021-05-07 17:06:00,5654,You must have been in a Kokanee fog.... PjShorthorn
6558802,Wallychowder,2021-05-07 17:06:00,1567,2.0 beer ? You might as well drink N/A beer
6558806,Wawajake,2021-05-07 17:14:00,413,"no it is 4 % beer , the 2.0 is low calorie count. I need that for the paunch control . &#x1f642;"
6558826,Wawajake,2021-05-07 17:57:00,413,![/QUOTE] you sure do hunt for Deers ! Are you singling out 1 particular Deer ?[/QUOTE]......nope Deer is like Sheep you don't hunt for Sheeps..........but I do hunt for Beer . &#x1f609;
6558830,Eckohlt,2021-05-07 18:24:00,3685,you sure do hunt for Deers ! Are you singling out 1 particular Deer ?[/QUOTE]......nope Deer is like Sheep you don't hunt for Sheeps..........but I do hunt for Beer . &#x1f609;[/QUOTE] Be hunting for eyes sept n oct
6558868,RichA$1970,2021-05-07 20:51:00,1159,......nope Deer is like Sheep you don't hunt for Sheeps..........but I do hunt for Beer . &#x1f609;[/QUOTE]Be hunting for eyes sept n oct[/QUOTE]I’ll be riding shotgun with you bud and we’ll laugh our asses off while we’re catching ‘em even if we are in snowmobile suits.
6558892,Eckohlt,2021-05-08 04:10:00,3685,"Be hunting for eyes sept n oct[/QUOTE] I'll be riding shotgun with you bud and we'll laugh our asses off while we're catching em even if we are in snowmobile suits.[/QUOTE] We will have the lake to ourselves and the fish will be very hungry,don't forget to bring a swim suit"
6558664,RichA$1970,2021-05-07 10:56:00,1159,"Eck, we’re hitting it Sept or Oct or maybe both"
6558682,Eckohlt,2021-05-07 11:36:00,3685,"Your the smartest guy I know,you think like me,Positive"
6558688,v-bay gord,2021-05-07 12:01:00,3168,"Interesting point of fact but it appears that the imported version of ""Labatt Blue"" is dumbed down for your average American beer drinker. Up here it's labelled ""Labatt's Blue"". I don't believe it's the same beer either."
6558690,Eckohlt,2021-05-07 12:08:00,3685,When I use to drink your beer made me fall down more
6558704,Wallychowder,2021-05-07 13:01:00,1567,So i was right ! Labatt's
6558710,Wallychowder,2021-05-07 13:18:00,1567,It's not the same beer !
6558712,stumcfar,2021-05-07 13:29:00,451,"Labatt BluePilsener-style Lager, 5.0% alc./vol.(4.9% ABV for Bleue in Quebec)Labatt Blue is the best-selling Canadian beer in the world. Introduced in 1951 as Labatt Pilsener, it was named for the colour of its label by fans of the Winnipeg Blue Bombers football team. Blue was the first brand in Canada with a twist-off cap and won the silver medal in the International Lager category at the 1998 Brewing Industry International Awards. Labatt Blue, brewed using specially selected aromatic hops, is a well-balanced, fully matured, full-flavoured beer with a fruity character and a slightly sweet aftertaste.Not sure V-bay? You may have insulted Americans incorrectly???From my understanding it is the same beer recipe but processed differently between the states and Canada. I believe Labatt's became Labatt in 1995 when the company was sold."
6558716,Wallychowder,2021-05-07 13:37:00,1567,"And by the way it's not the same beer. Different breweries, different Alcohol content, one has no preservatives, the other one doe's"
6558722,stumcfar,2021-05-07 13:49:00,451,"Both labeled Labatt Blue though. So, the Labatt Blue in Canada is brewed by us (AB), and the Labatt Blue in the U.S. is brewed by an entirely different operation. Ostensibly, they're the same recipe, but in practice that is never true."
6558728,Eckohlt,2021-05-07 14:07:00,3685,"No matter what country your drinking it in if you drink enough of it,you can become a mess"
6558584,v-bay gord,2021-05-07 09:10:00,3168,"Maybe this topic should be changed from ""Canada Eh"" to ""Canadian Wine""......"
6558594,RichA$1970,2021-05-07 09:17:00,1159,"When the borders both open, I wonder how much more time it will take to clear customs based on the probability of extra criteria the agents will have to perform.I think I will plan to hit the border at 0100 to avoid the traffic jam."
6558598,That Minnesota guy,2021-05-07 09:22:00,8293,Plan to hit it in 2022 and you will be fine.
6558602,Bobby Winds,2021-05-07 09:25:00,10817,"Years ago I was at my nephews wedding reception in Niagara on the Lake, Ont and had some of their local wine. Very good but I really didn't care for the ""Ice Wine"" as it was way too sweet for my taste. All the women loved it..........so I'm sure TMG would like it too.......LOL"
6558612,Wallychowder,2021-05-07 09:38:00,1567,Forget the wine .....I'll have a Labatts !!!
6558616,That Minnesota guy,2021-05-07 09:39:00,8293,Thought you never went to Canada or was this before they kicked you out?
6558618,v-bay gord,2021-05-07 09:44:00,3168,"Sorry, should have been more specific....""Canadian Whine""."
6558620,Bobby Winds,2021-05-07 09:45:00,10817,"TMG, you need to sharpen up those reading skills. I have said many times I have been to canada 100's of times so yes this was before they kicked me out for going the posted speed limit. When did they go to Km/h instead of MPH . . . LOL........that would be good info at the border.......LOL"
6558646,Eckohlt,2021-05-07 10:32:00,3685,Plenty negativity
6558652,3M TA3,2021-05-07 10:38:00,2846,No picking on your spelling but it's Labatt.
6557862,Wallychowder,2021-05-05 09:42:00,1567,"Well, thats enough information for me !...........I'm canceling !"
6557884,Flip Silverlake,2021-05-05 10:33:00,645,I wouldn't be putting any money down for year either.
6557974,rosh1,2021-05-05 13:38:00,275,No said property owners and loved one. It's a start.
6557994,Eckohlt,2021-05-05 14:08:00,3685,"The fish love us,we feed them"
6558006,Ricky Spanish,2021-05-05 14:55:00,1298,"Everything I bring with me will be my own property, I promise. Open up."
6558062,Eckohlt,2021-05-05 18:19:00,3685,Don't forget your fishing gear!
6558136,Obabikon,2021-05-06 06:37:00,2370,lotsoffish1... please don't. All that does is get the thread deleted.
6558142,Obabikon,2021-05-06 06:44:00,2370,"https://www.ctvnews.ca/politics/tour...avel-1.5415294 Everyone that wants to be vaccinated will be vaccinated by September, so we're really talking about after that, what can be done and we'll always follow the public health advice, Joly said. I would love to believe that there's a chance. Minister Joly is not the person making the decision, but she certainly is close enough to the inner circle that she should know their real goals. I don't think there's much of a chance before September."
6558168,lotsoffish1,2021-05-06 08:14:00,49,Yeah you are right i should know better
6558214,spoonchucker,2021-05-06 10:13:00,82,https://www.wgrz.com/article/news/he...a-f694971429c5
6557618,Wallychowder,2021-05-04 17:46:00,1567,"If he cant get across in IF, instead of turning around and heading right back home, could you put him up for the night ?"
6557622,Eckohlt,2021-05-04 17:58:00,3685,"You will be the absolute first person I contact,then the wife"
6557626,prov1800,2021-05-04 18:44:00,5010,Good luck Rod.Not many places open that late just a couple.
6557628,Eckohlt,2021-05-04 19:04:00,3685,"Just trying to stay positive for border opening sometime this season,unlike my other Minnesota counter part,Big negativity"
6557632,prov1800,2021-05-04 19:16:00,5010,I might see you yet late in the dead.I know you would enjoy what ever mother nature woukd throw at you.Haha.Hope it happens for you.
6557714,RichA$1970,2021-05-05 03:54:00,1159,Have contacted a resort in Ontario for oct fishing they said bring it on come on up[/QUOTE]Pencil me in again Eck. I meet have to meet you in Rochester or Ignace as I look at the aerial map and doubt my car could make the last 15 miles on their road and my road marching days are past me.
6557720,Eckohlt,2021-05-05 04:36:00,3685,"I hope it happens for everyone,Mother Nature can throw everything's she's got as long as it's not killer waves and lightning bolts,it's time to get the businesses jump started with some cash flow,enough is enough,down the hole were all going to go but let's get some fishing done first"
6557728,prov1800,2021-05-05 05:34:00,5010,Late season especially October is not for everyone.Pretty quite except for some muskie guys.
6557784,v-bay gord,2021-05-05 07:11:00,3168,Here's more voodoo to fuel the border speculations...https://www.msn.com/en-ca/news/canad...en/ar-BB1gnm4k
6557854,Eckohlt,2021-05-05 09:35:00,3685,If it's a go we can work it out not a prob
