375029,BillM,2009-08-21 21:35:00,17367,"  lol, nice man!  You notice the coasters are alot more silver then your resident stream trout?"
375041,Guest ThisPlaceSucks,2009-08-21 22:12:00,0,  absolutely!!! the picture unfortunately was taken on my cellphone and doesn't show how silvery it was... almost like a laker!
375215,HTHM,2009-08-22 11:25:00,4082,"Educate me please....what is the difference between a brook trout and a coaster? Is coaster a slang name for a type of trout? If it is a char, does it turn a brilliant red as well? Beautiful looking fish!"
375216,Spiel,2009-08-22 11:29:00,9065,"Coaster / Brook Trout, same fish HTHM. Coaster"
375231,Fish Farmer,2009-08-22 12:28:00,2234,"And here I thought you guys were talking about someone from the East Coast. I've been called a Coaster, sometimes werser"
375242,solopaddler,2009-08-22 13:00:00,8605,Beauty fish. Would you happen to know Pete Addison? I know he worked on the assessment program as well.
375292,Guest ThisPlaceSucks,2009-08-22 17:57:00,0,  There's nobody by that name these days but I've only been around the office for 4 years. Cheers!
375418,Greencoachdog,2009-08-23 02:44:00,8163,"  Looks more like a bleached out ""Floater"" than a Coaster to me!!!    ... do you just know how to take and post one pic per trip?"
375452,Dara,2009-08-23 04:11:00,3052,  some people kids...boy oh boy  nice fish Dr.
375459,danc,2009-08-23 04:34:00,4677,This thread seems to be begging for a coaster photo. Here's one.  
375508,Guest ThisPlaceSucks,2009-08-23 14:34:00,0,that's a huge brookie danc... laid straight and with the tail piinched it looks like it would have gone 24.5... i'd like to actually get out fishing for them one day when i'm not working! is that a lamp scar or?
375591,Wes Bender,2009-08-23 19:49:00,105,"Holy cow, that is a horse Dan. HA! I can't even imagine the scrap it put up. Since we are posting coasters here are a few from yesterday. These were caught while stripping flies in the surf of Lake Superior.  21""   17""   18"" "
375655,Greencoachdog,2009-08-23 22:44:00,8163,  Now those fish look like they're actually alive!!!... beautiful colors!!!
375658,Guest ThisPlaceSucks,2009-08-23 22:51:00,0,don't you have a relative you should be impregnating?
375660,Guest ThisPlaceSucks,2009-08-23 22:54:00,0,or have you moved on to goats now?
375662,Greencoachdog,2009-08-23 23:01:00,8163,  I only have one living... and he's a Pencil Neck like you... so I'll be passing on that.    Goats is for plumbers from Virginia... they remember their birthdays and post them on the internet!
