921373,kickingfrog,2015-06-24 00:40:00,8333,The local paper has 3 different convictions for violations for Nipissing.   http://www.nugget.ca/2015/06/23/man-fined-for-illegal-fishing   http://www.nugget.ca/2015/06/22/two-men-charged-2000-in-fishing-fines   http://www.nugget.ca/2015/06/22/two-men-charged-2000-in-fishing-fines   MNR considering restocking.  http://www.nugget.ca/2015/06/23/mnr-considering-restocking-lake-nip
921382,G.mech,2015-06-24 01:05:00,830,"I really don't understand this government sometimes.  The LNSA has been successfully harvesting eggs and stocking walleye for decades with the blessing, guidance and supervision of the MNR at NO COST to the taxpayers.  This year at the last minute the MNR put unworkable restrictions on them which ended the stocking program and now the MNR wants to do stocking...  go figure."
921413,Rod Caster,2015-06-24 12:00:00,5784,"Public pressure on the MNR maybe?  Anyway, I trust that the lake will rebound with the current management practices. The lake took a beating, now we need everyone to hold hands and be patient.. it's a walleye factory and it just needs some breathing room and maybe a boost (stocking). The local FN seems a bit more inline with what the other stakeholders are saying, so that can only help."
921421,AKRISONER,2015-06-24 13:18:00,5558,"gotta love that on a lake where its highly public that the pickerel population is suffering, there are still idiots out there catching and keeping slot fish.  I guess morons will be morons, but to me the fines are way too low. I would hope a lifetime ban from fishing would also be included. 0 tolerance for these idiots. ""we didnt catch anything"" but somehow we have 15 filets.  This is why possession limits dont make much sense. There needs to be some kind of rule about the fish being frozen, dont tell me these morons didnt catch all of those fish that day as well."
921432,nuke,2015-06-24 14:43:00,60,"I'm not sure if the new slot size of greater than18"" is the way to go.  I would have thought that the previous slot of less that 15 3/4"" was more geared to protecting the present time mature spawning females? I would be curious to get a quick read of these studies. Maybe closing the lake for a few winter seasons would be better?  But, of course, that wouldn't interfere with other activities on the lake.........  Mike"
921442,Rod Caster,2015-06-24 15:32:00,5784,"I think the idea is that by going over 18"", people will catch/keep very few fish. Nearly equivalent to closing the lake."
921445,Sterling,2015-06-24 15:34:00,477,"I'm not sure if the new slot size of greater than18"" is the way to go.  I would have thought that the previous slot of less that 15 3/4"" was more geared to protecting the present time mature spawning females? I would be curious to get a quick read of these studies. Maybe closing the lake for a few winter seasons would be better?  But, of course, that wouldn't interfere with other activities on the lake.........  Mike  There is a complex science behind fisheries that few people understand. We can pretend that we understand spawning and fish populations, but at the end of the day the MNR has competent people behind these decisions. Yeah, they make stupid decisions once in a while, but they're also being critiqued for everything they do, all day every day."
921557,Sinker,2015-06-25 00:26:00,8692," Ha...you must work for the MNR.  I agree, there are a few competent people within the MNR, but they are nothing more than puppets."
921603,Sterling,2015-06-25 11:27:00,477,"Ha...you must work for the MNR.  I agree, there are a few competent people within the MNR, but they are nothing more than puppets.  Father in law works for the MNR. I can't comment on the public heads we see in the papers, but the guys behind the scenes are fishery encyclopedias.  As for me, I work in the mining industry, where we work to destroy the environment and ensure there is nothing left for future generations."
921621,Sinker,2015-06-25 13:18:00,8692,People who have spent their whole lives on the water over generations are fisheries encyclopedias. MNR staff are book smart. There is a huge difference.
921623,Sterling,2015-06-25 13:30:00,477,"People who have spent their whole lives on the water over generations are fisheries encyclopedias. MNR staff are book smart. There is a huge difference.  With all due respect, most people haven't a clue how fisheries work. Even those with generations of experience on the lakes (myself included). Fishing experience does not necessarily translate into understanding of fisheries and aquatic wildlife.  The MNR staff with decades of experience have a deeper understanding of how fisheries work than the public. That I can guarantee."
921629,G.mech,2015-06-25 13:55:00,830,"Well I'm no marine biologist but in my simple mind having the LNSA continue to stock 2 million fry & fingerlings each year was better than not stocking anything.  The MNR claims stocking doesn't help the walleye populations but that is totally contradictory to the history of the lake.  The yellow walleye that currently inhabit the lake were introduced from the south less than 100 years ago.  Prior to that, the native walleye that called Lake Nipissing home were a variety of the blue walleye that was basically wiped out after WW1 by commercial gill netters and anglers who were allowed to keep 35 fish per day.  If stocking doesn't work, how did the yellow walleye establish such a stronghold on the lake in the first place?  As far as who knows what about fisheries, I think there are arguments on both sides but something sure seems fishy with this whole management plan....."
921637,Sterling,2015-06-25 14:39:00,477,"Well I'm no marine biologist but in my simple mind having the LNSA continue to stock 2 million fry & fingerlings each year was better than not stocking anything.  The MNR claims stocking doesn't help the walleye populations but that is totally contradictory to the history of the lake.  The yellow walleye that currently inhabit the lake were introduced from the south less than 100 years ago.  Prior to that, the native walleye that called Lake Nipissing home were a variety of the blue walleye that was basically wiped out after WW1 by commercial gill netters and anglers who were allowed to keep 35 fish per day.  If stocking doesn't work, how did the yellow walleye establish such a stronghold on the lake in the first place?  As far as who knows what about fisheries, I think there are arguments on both sides but something sure seems fishy with this whole management plan.....  What the MNR actually said is this;     From what I understand, Lake Nipissing is potentially the most productive lake in Ontario (for walleye, that is). We can stock it all we want, but if anglers are pulling 30% of Walleyes out each year, the population will continue to decline. We might as well deliver fingerlings directly to peoples' doorstep or put them straight into nets.  Here's an excerpt from the management plan regarding stocking efforts and their effect on the walleye population;     I don't claim to fully understand or agree with any decisions being made. What I'm saying is that the ecology of the lake is complicated, and that these important decisions should be left to the people that spend inordinate amounts of time and effort studying the water bodies in question."
