971586,manjo39,2016-05-28 16:31:00,354,If your goal is long casts keep in mind smaller diameter will go farther.
971798,Old Ironmaker,2016-05-30 14:40:00,8243,"I spooled Suffix 832 on a reel this spring. It sure casts as well as anything I have used. I always, always tie a leader of 10 pound fluorocarbon on all my lines. Erie is crystal clear and it's a must. A chain swivel is a great way to tie any line to a leader."
971803,jedimaster,2016-05-30 15:22:00,3472,I tried some spiderire and samurai this year and was not impressed. I have switched back to power pro on my spinning reels.
971807,manitoubass2,2016-05-30 15:57:00,11391,I like suffix 832 as well but I prefer PP.  For braid I wont use anything else. Its not even worth trying the others anymore
971817,AKRISONER,2016-05-30 16:55:00,5558,spider wire is friggin garbage  its one of those things that ive tried and its friggin just as bad as people actually make it out to be.  the stuff burned off a bunch of plastic on my reels? and then it turned into multiple strand dental floss with then bird nested. Just hot garbage
971822,GBW,2016-05-30 17:40:00,8460,"spider wire is friggin garbage  its one of those things that ive tried and its friggin just as bad as people actually make it out to be.  the stuff burned off a bunch of plastic on my reels? and then it turned into multiple strand dental floss with then bird nested. Just hot garbage Never once have I had that issue with it and I have been using it since it came out.  my stock is now out of the line it once was so maybe they made a change in the past year or two?  I haven't bought it since the new ""package"" came out.  The stuff I had has worked flawless and I now wish I had more.  *went to check and found a #20 and #50 spools (full) left* **phew!!**"
971823,GBW,2016-05-30 17:43:00,8460,as for the casting part.  two rods (same rod and reel) both set up identical one with the older spiderwire and one with the new duracast and there was a 20' gap lacking on the duracast...
971824,Hooked,2016-05-30 17:45:00,891,Personally I have had best results with Suffix Performance Braid.  Casts awesome.
971168,captpierre,2016-05-26 01:06:00,2521,Looking for a new braid  line to cast jigs and smaller crankbaits. Been using 10 lb Crystal now for several years. I'm not getting the casting distance I could because the line isn't that smooth. Berkley says it's designed for spinning reels. With a light kink to it I think the smaller guides on my rods create too much friction. Any suggestions for an alternative braid?
971170,kickingfrog,2016-05-26 01:14:00,8333,I like nanofil (sp?).
971172,manitoubass2,2016-05-26 01:17:00,11391,10 lb powerpro or nanofil  Nanofil casts like a dream(really really far)  But its def. Not abrasion resistant.
971174,gaspumper,2016-05-26 01:21:00,393,"Take a look at power pro super slick,very quite going through the eyes and cast a mile."
971175,GBW,2016-05-26 01:33:00,8460,"I have a few different lines on a few rod's right now.  Spiderwire moss green in #10 or 15 has been GREAT for me for years tossing jig's!  Nanofil has also been GOOD for me since it came out but takes a lot of ""looks"" for weak spots if fishing thick weeks and or timber.  TufLine duracast, pass and will never buy it again...  I will only use it on my ice rod's now to not just waste the line I already have and the summer line and ice line is the SAME according to a dealer.  SuperSlick 8, still has not out cast the SpiderWire on the very same set up and this is my first season using it so I have not made up my mind on it. So if I was running to the store right now to grab a line for the weekend I'd stop my search after the SpwiderWire moss green...  But that's just me...  Good luck!"
971178,porkpie,2016-05-26 02:26:00,2521,"10lb nanofil. I use 10 or 12lb seauguar STS for leader and to help with abrasion.  I guarantee it will cast a country mile on a spinning reel.  I still use power pro as well, it's always been reliable!"
971184,GBW,2016-05-26 03:12:00,8460,"I still use power pro as well, it's always been reliable! How do you find the ""new super slick"" vs the old PP that's been around for ages?"
971185,porkpie,2016-05-26 03:15:00,2521,"I've never tried it.  Even branching out to nanofil was a big stretch for me, before that all I used was 6lb XT, and regular power pro for braid.  I tend to stick to what I know works, change is difficult LOL."
971188,manitoubass2,2016-05-26 03:24:00,11391,"I used one spool, no thanks.  The original is far better IMO"
