133437,irishfield,2007-11-14 03:21:00,26272,?? what channel to call on?
133439,Dondorfish,2007-11-14 03:23:00,1000,I usually monitor channel 72 - but will gladly change if need be.   Don
133526,BITEME,2007-11-14 12:41:00,1969,stay on 16 and if you need to chat tell person to go 72  Just my opinion  if you are in trouble you want that to go out on 16  EMERGENCIES  VHF 16 CELL PHONE   *16
133528,Roy,2007-11-14 12:48:00,13728,"Well said, Peter."
133529,lew,2007-11-14 12:49:00,12767,"  Peter, who do you get when you dial *16 on a cell, is it the OPP ??"
133531,BITEME,2007-11-14 13:02:00,1969, *16=Prescot Coast Gaurd(emergencies only)
133532,lew,2007-11-14 13:10:00,12767,"Thanks Pete, would *16 be good for water emergencies EVERYWHERE in Ontario ??"
133533,BITEME,2007-11-14 13:13:00,1969,"When your radio is on, always listen to Channel 16. This is the safety and calling channel. Use low power to call whenever practical. VHF radio range may be up to 80 miles in good conditions and everyone in that range can hear you! High power does not get more distance; it allows a strong signal so you have a better chance of being heard at a greater distance. Prearrange to call at a specific time on a working channel; you don't have to use Channels 16. To transmit, depress the microphone button, speak directly into the microphone without touching it, then release the button as soon as you have finished. Do not shout! Keep communication brief. VHF is for marine safety. If you like to chat, consider using a cellular telephone. Do not ask for a radio check on Channel 16. Call a specific radio station and move to a working channel to ask for a check. A signal of full strength and with full readability is known as a ""5 by 5"" signal. ""2 by 5"" is weak but very clear signal. The second number measures the readability of the signal. Bad (Unreadable) Poor (Readable now and then) Fair(Readable with great difficulty) Good (Readable with minor difficulty) Excellent (Perfectly readable) If you have children aboard, educate them not to use the marine radio except in emergencies. People's lives often depend on a clear channel. Post an emergency MAYDAY form for guests or children to call for help in an emergency. It is a criminal offence to call a false MAYDAY. If you are out of fuel but in no danger, anchor and call a marina or towing service. It is an offense to broadcast profanity. To identify the name of your vessel or its call-sign, use Phonetic Alphabet to say letters. For example, when you say a call-sign, instead of saying ""VX 1984"", you would say, ""Victor X-ray One Niner Aayt Fo-wer"". Term French Meaning Mayday m'aidez Danger to life Pan Pan en panne Danger to property Securite securité Danger to safety  Thanks to Jack Dale [email protected]  Acknowledge  Let me know that you have received and understood this message. Correction  An error has been made in this transmission. The correct version is... Go Ahead  Proceed with your message. Over  My transmission is ended and I expect a response from you. Out  This conversation is ended and no response is expected. Read Back  After I say OVER, repeat this message back to me exactly as received. Roger  I have received all of your last transmission. Received Number  Receipt of your message number ... is acknowledged. Stand By  Wait until you hear further from me. Verify  Check with the originator and send the correct version. Words Twice  Send [or sending] each word twice.    Marine VHF channel frequencies and usageChan Ship Tx    Ship Rx  Area   Use ---------------------------------------------------------- 01   156.050    160.650  IC     Ship/shore - telephone 02   156.100    160.700  IC     Ship/shore - telephone 03   156.150    160.750  IC     Ship/shore - telephone 04   156.200    160.800  I      Ship/shore - telephone 04A  156.200             C      CCG (Canadian Coast Guard) authorized stations 05   156.250    160.850  I      Ship/shore - telephone 06   156.300                    Intership - Safety 07   156.350    160.950         Ship/shore - telephone 07A  156.350                    Intership-Ship/shore - comm. 08   156.400                    Intership - comm. 09   156.450                    Intership-Ship/shore 10   156.500                    Intership-Ship/shore - comm. 11   156.550                    Vessel Traffic Management 12   156.600                    Vessel Traffic Management 13   156.650                    Bridge to bridge - 1 watt - Safety of Nav. 14   156.700                    Vessel Traffic Management 15              156.750         EPIRB Buoy 16   156.800                    Internat. Distress/Safety/Calling 17   156.850                    Pilotage - vessel docking/manoeuvers 18   156.900    161.500  I      Port Operation 18A  156.900                    Intership-Ship/shore - comm. 19   156.950    161.550  I      Port Operation 19A  156.950                    Port Operation 20   157.000                    Port Operation 21   157.050    161.650  I      Port Operation 21A  157.050             A      US Coast Guard - authorized stations 21B             161.650  C      CCG - Weather Broadcasts 22   157.100    161.700  I      Port Operation 22A  157.100             CA     USCG/CCG 23   157.150    161.750  IC     Ship/shore - telephone (Canada) 23A  157.150                    Port Operation (USCG) 24   157.200    161.800         Ship/shore - telephone 25   157.250    161.850         Ship/shore - telephone 26   157.300    161.900         Ship/shore - telephone 27   157.350    161.950         Ship/shore - telephone 28   157.400    162.000         Ship/shore - telephone  60   156.025    160.625  IC     Ship/shore - telephone 61   156.075    160.675  I      Ship/shore - telephone 61A  156.075             C      Intership-S/S - Can. Coast Guard Priv. 62   156.125    160.725  I      Ship/shore - telephone 62A  156.125             C      Intership-S/S - Can. Coast Guard Priv. 63   156.175    160.775  I      Ship/shore - telephone 63A  156.175             C      Intership-Ship/shore - comm. 64   156.225    160.825  IC     Ship/shore - telephone 65   156.275    160.875  I      Ship/shore - telephone 65A  156.275             CA     Port Operation (CCG Private) 66   156.325    160.925  I      Ship/shore - telephone, Port Operation 67   156.375                    Intership-Ship/shore 68   156.425                    Intership-Ship/shore - non-comm. 69   156.475                    Intership-Ship/shore 70   156.525                    Digital Selective Calling, Distress and Safety 71   156.575                    Vessel Traffic Management 72   156.625                    Intership 73   156.675                    Intership-Ship/shore 74   156.725                    Vessel Traffic Management 75				not used 76				not used 77   156.875                    Pilotage - vessel docking/manoeuvers 78   156.925    161.525         Port Operation 78A  156.925                    Intership-Ship/shore - comm. 79   156.975    161.575  I      Port Operation 79A  156.975                    Intership-Ship/shore - comm. 79B             161.575  C      Commercial Fishing - Receive only 80   157.025    161.625  I      Port Operation 80A  157.025                    Intership-Ship/shore - comm. 81   157.075    161.675  I      Port Operation 81A  157.075             A      Port Operation (USCG)(CCG anti-pollution) 82   157.125    161.725  I      Port Operation, s/s telephone 82A  157.125             A      Port Operation (USCG)(CCG) 83   157.175    161.775  I      Ship/shore - telephone (CCG) 83A  157.225             A      Intership, Port Operation (USCG) [CCG monitored] 84   157.225    161.825         Ship/shore - telephone 85   157.275    161.875         Ship/shore - telephone 86   157.325    161.925         Ship/shore - telephone 87   157.375    161.975         Ship/shore - telephone 88   157.425    162.025  IC     Ship/shore - telephone 88A  157.425             A      Intership  Weather Channels: Wx1     162.550 Wx2     162.400 Wx3     162.475 Wx4     161.650  same as VHF Ch. 21B - CCG West Coast Broadcasts Wx5     162.425 Wx6     162.500 Wx7     162.525 Wx8     162.450 Wx9     161.775  same as VHF Ch. 83B - CCG Great Lakes & East Broadcasts Wx10    163.275 Comm. - commercial CCG Channels, USCG Channels - for Canadian or U.S. Coast Guard authorized stations only. I - International only (non-US) C - Canadian usage A - American usage  VHF Radio Forecasts Eastern: Atlantic/Great Lakes channels 21B (161.65 MHz) and 83B (161.775 MHz)  Environment Canada broadcasts continuously over three dedicated VHF-FM bands: 162.400, 162.475, and 162.550 MHz  Environment Canada in the telephone blue pages lists taped forecast phone lines (i.e. Ontario lists Kingston 613-389-3252, Ottawa 613-998-3439)."
133534,BITEME,2007-11-14 13:14:00,1969,  16 is good anywhere in Canada and the US its just a matter of how close the nearest rescue unit is
133535,lew,2007-11-14 13:16:00,12767,"Thanks Pete, lotsa good stuff there"
133650,fishindevil,2007-11-14 20:06:00,6254,"Well like peter said,i always stay on 16 till you call another party then pick out of several channels to talk on ...so check the list and go from there,thanks peter,saves alot of typing...DO NOT HOLD CONVERSATIONS ON CHANNEL 16 AS PRESCOTT WILL GIVE YOU TROUBLE,ITS A CALL CHANNEL,AND EMERGENCY CHANNEL ONLY..."
