188466,Greencoachdog,2008-04-17 01:48:00,8163,  The other Mucksies are watchin and shivverin' in their boots glad it wasn't them Dan! 
188544,Jigger,2008-04-17 03:33:00,1237,"  Thanks for that, wallacio. Thats encouraging to know. I was wrong and I'll admit it."
188546,Musky or Specks,2008-04-17 03:43:00,2710,Dont worry Jigger your not alone it takes a big man to admit they are wrong. I dont know you from squat but my opinion(which in my egocentric world is a thing of high value) just went up a bunch of notches. Education is the key to all fisheries the more we clear up misconceptions the better.
188551,Guest Fishing For Life,2008-04-17 04:03:00,0,"Hi all,  I think my own experience is probably one of the most truthful opinions  i just started steelheading last Nov and i was afraid of terrible things I have heard about steelheaders. too name a few, have heard people cutting other people's lines b/c of over-drifting, b/c of out-of-sync castings with others, b/c some think they OWN the river/spot  have I seen those terrible behaviors on rivers? the answer is YES, but it is like less than 1% of the whole steelheaders  99% of steelheaders are nice, down-to-earth and very friendly when you treat them with respect by saying hello, or even asking for advises! some even let me have the better spots they were fishing at so that I get to have some fish! not to mention after seeing each other couple times we even make arrangements to fish together!  having learnt so much from those nice steelheaders, I also teach other new steelheaders who obvisouly dont know what they are doing and help them to get fish. man oh man, seeing them having fish on is way more satisfying than having my lines tight!  Special thanks to Mike, Jim, Rob, Robin, Josh and other steelheaders I have met so far and look forward to meeting you on the river!"
188579,brickNblock,2008-04-17 10:35:00,598, 
188599,wallacio,2008-04-17 12:13:00,475,"  No worries Jigger...I merely pointed this fact out in order to educate with conservation in mind.   Unfortunately to this day, it's still a very common misconception that our Ontario Steelhead are the result of a ""put and take"" fishery when in fact most of our rivers now depend on natural reproduction (entirely or in part), which of course requires an adequate number or fish to be present each year to spawn.    Some systems only see a year class of a precious few individuals (a few 100 or 1000) and when you pair that with extremely high harvest rates, it's easy to understand why the repeated killing of wild fish doesn't sit well with some of us (even when it's done within the allowable limits).  Personally, I'd like to see steelhead considered a ""sport fish"" and be managed as such, similar to the way Musky are.   It's time to move away from the attitude that they are merely fish for the pan (not that I'm against the harvest of fish from sustainable populations).   Ironically, this is the case in New York which relies almost exclusively on stocking programs.   There is a one fish limit for Steelhead and it's rare to see even a few anglers harvesting their allowance of one fish."
188616,steverowbotham,2008-04-17 12:54:00,1800,The steelhead fishery is self sustaining.  Chinooks are definitely put and take.
188633,ehg,2008-04-17 13:31:00,2666,"Rainbows/salmon were stocked originally in Great Lakes as 'put and take' fishery. Now some steelhead reproduce successfully, thats alright. They are a non- indegenous species (almost invasive reducing brook trout habitat).  No doubt most pinners/steelheaders tend to get a bit over-zealous, but that's another story.  ehg"
188643,Headhunter,2008-04-17 13:49:00,5703,"Pick your days, hop in yer boat and cruise the lake, just outside of the creek... you will have all the luck you want, no one on top of you and the fashion police will be on shore. Problem solved! HH"
188660,fish_finder,2008-04-17 15:04:00,370,I'm not too worried at all.  I'll let the steelhead bums catch all the chrome     I'll be after brookies and browns.  Maybe on the monday I'll get out for some steel once the mayhem has settled a little!!!
188694,Musky or Specks,2008-04-17 16:44:00,2710,Oh I think youd be suprized by the amount of naturally reproducing chinooks as well. I know tribs of the Notty were chinook Young of the Year outnumber Rainbow YOY 3/2.
188368,ccmtcanada,2008-04-16 23:49:00,7971,"Crowds are why most of our outings are at night....some don't mind crowds....some hate them....to each their own.  I fish to relax....and I'd rather catch less fish and be out there in seclusion and fish during non prime times, then have to worry about other's around me."
188369,danc,2008-04-16 23:52:00,4677, Best words that I've quoted on here ever.
188370,kemper,2008-04-16 23:53:00,2232,I MUCH prefer winter steelheading over late spring steelheading. I bet if we were to poll the steelheaders anyone that is halfway serious about it would much rather fish with the entire river to themselves in late winter/very early spring when the big boys are in and hungry. There is nothing that beats spending  a whole day on the river catching double digits in steel without seeing another soul.
188371,irishfield,2008-04-16 23:55:00,26272, You just do that so you can have your wife in the dark with no kids around....
188372,ccmtcanada,2008-04-16 23:57:00,7971, So it accomplishes TWO things then Wayne....LOL
188374,ccmtcanada,2008-04-17 00:01:00,7971," I don't consider myself a steelheader....I consider myself an angler who happens to target steelhead when nothing else is open for me to target.  But I agree with you Kemper...give me frozen guides, avoiding slush coming down the stream and seclusion to late spring...even if I don't catch huge numbers.  Anyhow, I have a boat now....so I'm looking forward to the new waters I can explore this summer."
188376,Musky or Specks,2008-04-17 00:02:00,2710,Just not (Ihope) at the same time.
188377,Gerritt,2008-04-17 00:04:00,6129,  why not... that would be the ultimate thrill would it not??  a piece of..... while fighting a fish..... Heaven!!!   you have just given me an idea.... now to find a women willing to cooperate.. LOL   G
188378,kemper,2008-04-17 00:06:00,2232,"I never thought I would say this but  BRING BACK MARCH!!!!!  Actually I noticed last year that I nailed fish all winter long untill about the first weekend in april then I did not catch a damn thing untill opener (13 for 20 before 8 am) and then NOTHING after that.  I hate low, clear water.   a trib searching i will go..."
188379,Musky or Specks,2008-04-17 00:08:00,2710,Um I hate to think what would happen when at the critical moment you got a hit. You might be sleeping on the couch for the rest of your life.
188380,Gerritt,2008-04-17 00:10:00,6129,  google earth is your friend!! use it to find the secret spot LOL  Good luck Kemper! keep us in the know  G
188382,solopaddler,2008-04-17 00:10:00,8605, Now if you could get her to hold up a small portable tv with a playoff game on at the same time you were enjoying the other 2 pastimes...now THAT would be the ultimate!
