624618,canadian_copper,2011-09-24 23:05:00,925,WAS JUST SURFIN AROUND ON KIJIJI AND COULD SWEAR I KNOW THIS GUY My link
624620,Terry,2011-09-24 23:11:00,14456,it's him
624623,Roy,2011-09-24 23:26:00,13728,But it's not Lew offering the charters though.
624624,Handlebarz,2011-09-24 23:26:00,3790,but its not from today I here he is skunking squid
624626,Gerritt,2011-09-24 23:36:00,6129,Lew... did you authorize you're picture to be published by Rick? Do you even know Rick?
624627,Terry,2011-09-24 23:40:00,14456,yeah but was Lew in the guides boat when he caught it I thought I would wait and see what Lew has to say
624628,Roy,2011-09-24 23:44:00,13728,"No, the boat that he's in was his....three boats ago."
624629,Gerritt,2011-09-24 23:45:00,6129,Awww.. well I sent a kind email... and I was nice about it... god knows I have seen Lew all over the bloody internet... the man seems to get around! LOL... seems chicks dig Esox slime... who would of figured? LOL! Now I know why I am STILL playing the field!... lack of slime!  G.
624630,Terry,2011-09-24 23:47:00,14456,"well then lets fry the ba,aaaaad boy"
624631,Gerritt,2011-09-24 23:47:00,6129,"Perhaps someone should give ""rick"" a call.... and we all know I am less then democratic when it comes to such things..... and find out what the heck is going on...7052925449"
624632,Roy,2011-09-24 23:55:00,13728,I think it would be wise to leave this alone and let Lew look after it. We know nothing.
624633,Rizzo,2011-09-24 23:58:00,4754,"Don't everyone get all worked up and start making emails and phone calls before getting all the facts. I mentionned to Lew about a year ago I came across his picture on this guys website and it didn't seem to bother him at that time. I'd say let Lew decide if it bothers him now. Was kind of a funny story actually involving copious amounts of Lew's blood in this guys boat (Lew got knicked by a big fish)if I remember the story correctly. Either way, the picture has been out there for some time so a couple more days until Lew sees this post won't be the end of the world."
624634,Rizzo,2011-09-24 23:59:00,4754,good advice Roy I'm a slow typer and you beat me to it
624937,lew,2011-09-26 09:17:00,12766,"Mornin boys, I've been away on a fishing trip to the St. Lawrence River for a few days and only got back last night and just came across this thread now.  I've had several PM's over the last few months about my picture being on that website but it's not a problem for me.  Rick used to be a member of this board a long time ago and him and I became friends and used to fish for muskies together quite often, but after he left the board we sorta drifted apart. I didn't know he was running a charter service now and also didn't know he used a picture of me, but like I said above, it's not a problem with me and I wish him well with the business.  That picture was taken the 1st day we ever met and I got that fish about 10 minutes into the trip. Rick had a white floor in his boat and I got my thumb slashed open by a tooth and made a real mess of the boat until we got the fish released and me bandaged up. You can see the blood on my left hand and I've still got the scar.  Not a good way to impress a new fishing partner  Anyways, thanks to all for your concerns."
