989051,FloatnFly,2016-12-19 04:21:00,1640,http://tires.tirerack.com/tires/Canadais your friend
989068,Dara,2016-12-19 14:00:00,3052,Changeover and storage is easy here. The dealer charges $20.00 to switch tires and $20.00 to store the ones you take off. I never need to touch a tire
989077,BillM,2016-12-19 15:27:00,17367,"If I was going to get an 'all weather' tire, it would be Nokian hands down.  Currently running Hakkapeliitta r2s on my 335d, traction is fantastic even with all that torque."
989080,DRIFTER_016,2016-12-19 16:15:00,10439,"If I was going to get an 'all weather' tire, it would be Nokian hands down.  Currently running Hakkapeliitta r2s on my 335d, traction is fantastic even with all that torque.  I'm not buying any tire I can't pronounce!!!!"
989170,Sinker,2016-12-20 19:56:00,8692,"I prefer dedicated winter tires. That said, I haven't tried these "" all weather"" tires, but I don't think they are as good as true winter tires.  I drive a lot, (80K/yr) and having the best tires I can get is worth it for me. I'm running dunlop sj6's on mine right now and they are great. They are a little noisy, but I kinda like to hear them hum. I don't even know there is snow on the road, even at high speed, and they stop really, really good. HUGE difference from my all season....night and day.  My all seasons last for years, and my winters last for years too, so I don't see any significant gain by going to ""all weather"" tires.  BTW, my tires are also 235/55/18 and were a little hard to find.  S."
989171,BillM,2016-12-20 19:57:00,17367,Bump that up to a 235/65 and you'd have a lot more choices.
989176,Old Ironmaker,2016-12-20 21:07:00,8243,"I tested the Hankooks last night when I came around the corner too fast on 6"" of packed ice, not a scheduled test. I would have been in the farmers field with a lesser tire.  Get this they are cleaning parking spots in the curb lane with a front end loader and a dump truck in Fisherville last night while Lakeshore Rd has 6 inches of pure ice on it mixed with clean sections and there are 3 foot drifts on Fisherville Rd 5 k's from the village. Idiots."
989219,Weeds,2016-12-21 18:17:00,782,I had a set Nokian WR's on my 4Runner some 10 years ago. I thought they were fantastic.
989224,Old Ironmaker,2016-12-21 20:56:00,8243,"All weather tires solve the dilemma of driving to Florida in winter. You need winter tires until you get to Tennessee at least but can't drive with them in Florida because you will wear them out in no time in that heat. All weather tires are the answer.  The best snow tires I ever had were Blizzaks on a rear wheel drive BMW. No longer in the budget, nor are BMW's."
989236,huzzsaba,2016-12-21 22:16:00,884,"Thanks to all who posted in this thread.  I guess in conclusion, those who have all weather tires Like them and recommend them and that is good to know.   I agree.  If I decided to drive down to florida with my winter tires on, I would need earplugs lol.  On another note, I heard of people running Pirelli Scorpions Ice& Snow throughout the year (summer included) without issue of them wearing out fast and no issues with them being noisy. Actually some have said they performed better in summer handling wise than their factory all seasons.  Tire rack ranks these very high and 4.5 out of 5.  There is even a review from a guy who runs these Pirellis in Florida and loves them!"
988964,huzzsaba,2016-12-18 16:57:00,884,"Just want to get some reviews from you folks on All weather tires if running them especially things like road noise.Again, Looking for reviews on All weather tires (which is a new category of tires) and NOT all seasons. All Weather tires are winter tires that can be used all year round.  I am looking for reviews for the following tires for my Volvo XC90 SUV with AWD.Nokian WRG2 (used since they are discontinued)Nokian WRG3Nordman WR (supposedly these are the old WRG2 rebranded)Toyo Celcius CUVYokohama Geolandar AT G015"
988967,glen,2016-12-18 17:12:00,2641,Sorry I don't have those brands. I use Hankook all weather.  Road noise low. Tire wear ok if driving less then 25k a year. Traction way better then All season. 8/10.  If you don't have to go on the hwy when it's real bad then these are great tires.
