284788,tapout,2008-12-28 17:42:00,166,"  ""aboot""?  GCD...are you taking a shot at us Canucks?     lol"
284803,Greencoachdog,2008-12-28 18:27:00,8163,"  I am doing research right here on this thread, seems that no one can answer the question definitly with exactly what group and exactly what regs!     Who?... me????"
284805,jwl,2008-12-28 18:33:00,1056,this is what ya do with the ones you can keep 
284807,Dano,2008-12-28 18:45:00,719," I wouldnt call asking a question on an open public forum research but....... ask Wayne about the winter lake trout season on Temagami for a simple example.  Edited to add: I'm sure if you dig a bit, you could find regs in your country that have more to do with lobbyists and certain agendas as opposed to real biology."
284809,Greencoachdog,2008-12-28 18:55:00,8163," Someone said, that someone said?   Sounds like another Conspiracy Theory."
284848,Guest steel'n'esox,2008-12-28 21:49:00,0,"Just because your socks and underwear that Santa brought dont fit, you should take it up with the guy in the big red suit, and not be so negative as he knows if you have been bad or good so if youse children dont play nicely next years clothes might not fit also?"
284900,Greencoachdog,2008-12-28 23:44:00,8163,"  i know it...  I'm so vile...... nevermind, I've already told that one.   .. but really, all special interest groups can do is ""ask"", petition, and lobby for reg changes... they don't make the regs!  Conservative regulations and the current breeding stock are the future of our fisheries!!! Not the little immature fish. If you take the current breeding stock out of a water body, you'll have year class lapses in size and that's not good.  If you have a slot limit on a lake that is protecting the prime breeders, there's going to be a bunch of small fish. That's why the MNR encourages the taking of the smaller fish!!!  I personally feel that people that oppose conservative fishing regulations may have just a touch of greed in them, if you can't catch enough of one species to feed you or your family... target a second species to go with them, and if that isn't enough... target a third species!!!"
284930,Northhunter,2008-12-29 00:40:00,214,"I hear where pike slayer's coming from as I'm going through it on Nipissing with walleye.  The fish in the slot are prime eating. I would prefer to keep 1 or 2 larger fish but can't unless I land something over 60cm (something I would probably prefer to release anyway - just me). Now if I want to eat walleye I have to keep fish under 40cm. There's exceptions, but generally fish just under the slot are less than a year from reproducing for the first time.  Keep 4 fish that are immature but have beat all the odds and are one step away from contributing to the the health of the population.  OR  Keep 1 or 2 fish that have already made a couple trips to the spawning grounds.  You're getting roughly the same amount of meat from either option, now which would you rather choose? One removes an awful lot of reproductive potential from the population (both do - but 3 or 4 fish that haven't spawned vs. 1 or 2 that have?) The other will get you a nice fine.  I know why the regs are the way they are. Is it a problem that I have issues with the above scenario?   Re; special interest groups, etc. Believe it, GCD. That kinda stuff does go on up here. We live here. We work here. We play here (us Canucks) - a few of us even know a thing or two about what goes on around us.  The ministry recently amalgamated/revised all the divisions. Their reasoning was to make everything simpler, easy to follow. But they are also broke and trying to cost cut. Changes were made in areas where the regs had been the same for years and worked, didn't need revision. But we got stuck with larger and fewer divisions. A lot of the fisheries within these larger division got painted with the same brush in terms of regs - it doesn't really make sense to a lot of guys like pike slayer, or myself for that matter. He's just voicing what he thinks. ""Marine Biologist"" or not."
284941,pike slayer,2008-12-29 01:00:00,1177,"thanks alot northhunter! you couldnt have said it any better. this is my exact thinking, you explained it way better then i ever could."
284946,Greencoachdog,2008-12-29 01:16:00,8163," I keep hearing this, but nobody can seem to name any of these groups or the regs they supposedly changed.. why is that?... especially if you know what's going on around you!    Did you happen to catch this part of my last post?"
284964,Northhunter,2008-12-29 01:51:00,214,"Try google Greencoach. I'm on holidays.  Off the top of my head... the Aurora trout season was closed because of a new species at risk act a few years ago. With the exception of 2 places where they reproduce naturally, they are stocked, and these stocked lakes are open on a rotation. 2 of 9 lakes for a short season every year. The season still got closed.  I did catch the last part of your post. Did you read mine? I'd prefer to keep fewer walleye. Limit your catch. The problem (and need for the slot) is there will be 800 huts on Nip Jan 1st full of guys who are mostly from out of town and don't because they are here once a year. A good number of the fish they keep would have spawned for the first time this spring."
