440983,JohnF,2010-03-07 14:43:00,3494, Wow. You call that bashing?  JF
440984,TJQ,2010-03-07 14:43:00,7806,Guys...  the guy is trolling for more than trout.....
440840,Eazy,2010-03-07 02:36:00,260,"I'm finding that the lowered limits on Lakers is very discouraging.........I mean who's going to load all their gear up, take a short journey into the remote wilderness just to come back with one legal nice sized fish??....Hardly worth it!......Try targeting different species some say?....We all know it's just a matter of time before these resources too are deemed ""depleted"" by someone sitting behind a computer screen that punches in some formula?....W'ell never be told that we can't fish, that would be politically incorrect, w'ell just be restricted to the point that everyone just decides that it's not worth it.......is it just me, or are the great outdoors that w'eve enjoyed for generations now ever so slowly being taken away from us?.........All comments appreciated!"
440851,462Liquid,2010-03-07 03:11:00,12,"you are 100% right! its just not worth it to load up the gear and use the gas and energy it takes, just to get one or two lakers. i wasnt too happy when they came out with that reg. as for trails and what not for biking, 4 wheeleing, dirtbiking, what ever you do, its all slowly being taken away and we gotta fight for it! they shoulda never set that reg out for lakers anyway. cause how many people do you really think are gunna follow that? like one guy i know. he went to achigan lake one weekend last month and caught way over their limit in lake trout so they decided to have a shore lunch and take the rest back to the camp which they were still about 3 fish over the limit (talking lake trout of course).  i found it EXTREMELY hard to bite my tounge about that one! i just cant stand some peoples attitudes towards the outdoors and mostly regarding the fishing aspect. the opp and mnr should crack down so then not so many people would get away with this. I myself am trying to persue a career with the MNR. if all else fails its heavy diesel mechanic time! hahaha.  anyhow thats my opinion on the situation with a little rant added."
440854,irishfield,2010-03-07 03:16:00,26272,"If it's what I can bring home that has me deciding what/where and how to fish a certain lake... I'd be a couch potato! Sorry, but that's the way it is. As for the poacher that 462 points out.. you can thank them for your slot situation. I'm sure they did the same thing last year.. and the year before as well. It has nothing to do with the current regs..."
440856,BillM,2010-03-07 03:19:00,17367,"  I thought fishing was about the sport, not the table fare."
440860,asdve23rveavwa,2010-03-07 03:25:00,2690,"Agreed, we were out on Simcoe today, kept two smaller lakers, let two larger ones go...I definitely enjoy eating fish, but, were all the limits zero, I would still be out fishing as much as I do today!!"
440874,462Liquid,2010-03-07 03:53:00,12,wow... look at that. startin to get bashed already for having a different opinion... isnt that just peachy?
440876,462Liquid,2010-03-07 03:56:00,12," and no irishfield, that isnt normally done by them. they did this because they were not aware of the new regs. and yes they should have been caught by mnr....  AND further more, you should realize the poachers that are in your area too? (not trying to offend.. and my appologies if you did take offence to what i said)"
440877,Twocoda,2010-03-07 03:56:00,4130,sumtin fishy going on here ....  maybe if we all sit and bash the MNR for its said Laker limit the RLTA can bring this thread into their next meeting .... they put limits for a reason ...when they lowered the rainbow limit to two on lake huron ...i didnt get mad at the MNR.... i got mad at the people that continued to take 5....  thanks to that limit and restocking....we still have fish to appreciate...  i think this thread is confrontational by design ....  here comes another flame
440878,jayess,2010-03-07 03:57:00,187,"  no bashing going on, mate. it seems people think that there's a difference between sport (passion) and eating, and i'd tend to agree.  if you are concerned about $ per meal, go to the grocery store. I think you will leave a much more satisfied customer."
440879,Eazy,2010-03-07 04:00:00,260, To me there's nothing more rewarding than coming home after a hard day on the water with a nice feed of fish for the family!
440881,462Liquid,2010-03-07 04:01:00,12,"lol well, thanks for the tip jayess. but when i go out i dont worry about cash. i worry about good times and thats exactly what i get. i will on occasion go for lake trout, but not so often anymore. it just doesnt seem worth it to me. and that should be a respected opinion... no?"
440882,irishfield,2010-03-07 04:01:00,26272,  I didn't take any offense to anything you said. It's pretty clear that in years previous they didn't care about regs either with you stating   So they ate some and were still 3 fish over the limit... what was the possession limit last year. I don't think anywhere near that many fish..  Of course there's poachers in my area. I don't fish with then.. nor would I consider them friends... and I wouldn' t bite my tongue if I had full knowledge of their SOP !
440883,462Liquid,2010-03-07 04:07:00,12, you got a very solid point. im not completely sure what they did in the past. maybe they are poachers? idk. i hardly consider this guy a friend. as i stated he is just more or less a guy i know and seldom talk to. and i am usually a pretty collected guy but when you hear of things like that its not hard to lose control espacially if you have a high respect for the outdoors.  which -may i ad- it sound like you do have that same respect.
440886,asdve23rveavwa,2010-03-07 04:12:00,2690,"No bashing at all, here...as far as the poaching, I do not condone any poaching of any kind!!"
440888,Twocoda,2010-03-07 04:16:00,4130,welcome to the board 462liquid...i too dont find lakers worth the effort of catching ...personnaly i speed up a mile per hour so i dont catch them ....so i spend my time targeting salmon and trout....  how about you ???what do you target ?
440891,462Liquid,2010-03-07 04:20:00,12," Hey, thanks for the welcome Twocoda!  umm, for me its mostly specks (from a creek rarely a lake), sometimes salmon, but generally walleye, whitefish, pike and bass. perch too."
