311050,snag,2009-02-26 04:03:00,1932,  Kudos
311058,fishhunter,2009-02-26 04:25:00,604,You Da man!!!!  wow only 20 years and its getting done lol
311109,Photoz,2009-02-26 13:41:00,792,"FINALLY! The job gets done, but will anybody care? I'm not certain, but I THINK that sign on the south side sure SEEMS pretty recent, I don't recall seeing it last summer . . .   I'm wondering if an  MNR even placed it there, perhaps it was just scavenged by a concerned citizen from elsewhere, how did a shiny new sign get so shop-worn so fast? If you're removing the one on the north side, perhaps you might consider taking the ragged-lookin' one from the south side, down, and putting up the readable one? And after years of problems . . . . .    I wonder if it will make ANY difference . . . .    perhaps foot-high lettering . . .   in 6 languages might convey the message? Now . . . .     the NEXT problem . . .     getting the message concerning the new (last year) limit of 2 trout? Kudos to you though, taking the time to help in fixing the problem! I hope it will discourage people from snaggin' in that bottleneck!      "
311216,fishhunter,2009-02-26 23:08:00,604,signs have been there for as long as I can remember. what day is it today lol
311267,Ron,2009-02-27 01:07:00,1683,"Photoz your are never happy man, that's too bad. Both of those signs were installed at the same time. They were installed back in the late 80's. They were installed over old signs which were installed back in the 70's."
311278,Guest steel'n'esox,2009-02-27 01:27:00,0,
311375,Photoz,2009-02-27 09:59:00,792,"Hm m m m  m  .  .  . .  strange? The first time I fished there, I was up under the bridge, because I didn't see a sign on the south side, but was aware of there being one BEHIND the trestle, although I hadn't read the dates on it. One of the local guys walked over and told me the boundary started at the abutment on the SOUTH side . . . .     I could easily lose my gear if the C. O. came along. He pointed out if I read my regulations, it was pretty clear. I took him at his word, and moved down, and from then on I fished down near the boat ramp. I have no clue HOW I could have missed the sign on the south side . . . ..    but it certainly appears you are correct about it having been there a long time? All the more reason that NO ONE (not even locals) should be fishing north of that sign on the south side! But . . . .    it appears you are going to take the time to make it clear enough to discourage even the dumbest of anglers fron poaching there . . . .   good job. (Unfortunately . . . .   if sign on the south side has been ignored for years, this ain't likely to make much difference, is it?)"
311400,Sinker,2009-02-27 12:47:00,8692,Should be good fishing under the bridge this weekend
311453,Photoz,2009-02-27 15:23:00,792," There's gotta be one in EVERY crowd, eh?"
311525,Guest steel'n'esox,2009-02-27 18:05:00,0,"Just so happens a good friend of mine designs bedsprings for sealy, yep should be a great weekend under the bridge, use flatfish in frog and skunk and perch finish Im running low on those colours. water was colored today use flor red and chartreuse all take those as well?"
310542,Photoz,2009-02-25 02:06:00,792,"Well, the post the other day concerning to Ganny got me thinkin' . . .   it's ALMOST rainbow time!! So o o  o   I took a meander out east to check the tribs . .   .     shoulda known . . .     at nearly -20 last night they're froze up tight . . .    even the yacht club harbour at Port Hope was frozen . .    only a small space over by 'the pipe' was open. The river was froze right across, almost to the lake, right from the foot of the rapids.    But as I looked north, there was something placed on the SOUTH side of the CNR trestle that I was sure I'd never seen before?    I zoomed in a bit further . . .    hm m m m  m . . . .    I wonder if the MNR had taken some suggestions to heart, and decided to make it VERY plain where the sanctuary boundary REALLY is?    Well, THIS appears pretty plain to me! Although for some reason, this sign looks kinda shopworn, it's still readable . . .    ""FISHING PROHIBITED, UPSTREAM FROM CNR BRIDGE FROM JANUARY 1 TO LAST FRIDAY IN APRIL""    When you are standing in front of this sign, it's now pretty hard to claim there's any confusion as to where the sanctuary starts.  BUT . . .    if you didn't check the regulations book (which you should) there was some confusion as to where the sanctuary started, with only the sign around the back of the trestle. If someone walked up from the south, there was no sign, in sight, anywhere, and a person from out of town would never have spotted it, even though ALL the locals & regulars knew the law. Perhaps this will discourage SOME of the illegal fishin' in the sanctuary . . .   .     ah h h h  h . . . .  .     who am I tryin' to kid?"
310623,Ron,2009-02-25 05:30:00,1683,"Now if you open your eyes a little further and walk another 30 or so feet up stream, you will see a sign on the NORTH side of the tracks saying the same thing. Unless of course someone intelligent has taken down the sign. Come on if you're gonna tell a story, tell the WHOLE story. Also isn't the new season the 4th Saturday in April now?"
310627,Sinker,2009-02-25 05:34:00,8692,"The thing is, the regs say south side of the bridge......its pretty clearly written in there. Regardless of what any sign says. A CO would have to sit there all day, every day to enforce it. Just because the sign is in the wrong spot doesn't make it ""right"" to fish there.......especially when you KNOW its part of the santuary.  I don't really care either way......I gave up on fishing those spots looooong ago. You guys can have attem!!  S."
310628,Ron,2009-02-25 05:38:00,1683,"I agree sinker,  I haven't fished the Ganny for years. I am just stating what I have been told by MNR officials, sure you are fishing in a sanctuary but because there is a sign on the upstream side, no charges would be laid as it would get thrown our of court because of it."
310629,buckster,2009-02-25 05:38:00,530,seems to me that the only ones to complain are the ones that dont get a spot under there to fish!  Let it go!  While you're at it why dont u give directions to all the the rest of the tribs..... nice pics...... NOT
