919601,wkrp,2015-06-11 21:05:00,656,My sincere condolences.
706524,trasker,2012-06-17 13:13:00,26,
706540,trasker,2012-06-17 14:06:00,26,"Yes, Daniel has a great love and respect for nature, particularly the beautiful and spiritual Temagami backcountry.  He loves to fish, ever since he was little.  Appriciate any help in trying to find him.  If anyone is familiar with this area, please pay special attention to what to look for and what to do if found.  Focus on Diamond Lake and Lady Evelyn near the liftover area, but also surrounding area.  Daniel was resourceful and could have gotten further than we believe.  For a complete read of the Ottertooth forum since Nov. 15, 2011, here's a link to the first page (over 10 pages have been archived with over 250 posts, use the previous/next link to view archived pages):  http://www.ottertooth.com/discus/show.cgi?tpc=3&post=15999#POST15999"
706553,rmarentette,2012-06-17 15:02:00,124," Hi Maureen, I just got a call from my son wishing me a Happy Fathers Day and I'm thankful for that. I can only imagine what you are going through. I can't help in the search but what I will do is keep Daniel and you and your family in my prayers. I hope other board members will do the same. God bless."
707249,moose,2012-06-19 14:57:00,266,I will be on diamond lake from June 23-29 I fish there every year and also moose hunt their I will keep my eyes open I actually lost a camera a little south of campsite Found I first gps that has waypoints will keep an eye out when I go to look for camera I have friends that just got back from diamond saturday didn't see anything except a few canoe trippers
753095,kickingfrog,2012-12-19 01:29:00,8333,The January 2013 Reader's Digest has an article about this still missing young man.
753109,trasker,2012-12-19 02:30:00,26,"  Hi kickingfrog, the article is a ""condensed"" version of the original article in Explore Magazine, fall edition.  Here's a link  http://explore-mag.c...d-a-missing-man   I should also mentioned that we had to start a new page on ottertooth, the original is now archived.  Here's a link to the news brief http://www.ottertoot...efs-133.htm#no3  along with a link to the latest forum page http://www.ottertoot...html?1351874553   We appreciate all the support and ask that those in the area remain on the lookout.  We will resume our search in the spring, unless something turns up before that, patience..."
753121,solopaddler,2012-12-19 03:21:00,8605,"This quote from the Explore article hit home: “His intention was to brave the elements and have the sort of experience that broke him or made him different,” says Poukhlov. “He wanted to bring some justification to his life—something different from working as a roofer or hanging out in bars.”  I lived a very similar lifestyle in my 20's and early 30's. Mostly working menial jobs to simply finance my next expedition into the bush. Often I'd leave for months at a time with no word to anyone what my route was. My longest excursion was 4 months, mid May to Mid Sept by myself.  After reading the Explore article I could only think my God that's me. Then thought my God how could I have ever subjected my parents to that torture? The thing is young men sometimes can have a selfish viewpoint on life. I know I sure did back then. It doesn't mean that I didn't care for and love my parents...  For what it's worth those solo trips were life changing. Eat when you're hungry, sleep when you're tired, and travel wherever you please. Food, clothing, shelter, transportation, everything one needs to live and survive happily is carried on your back. A true testament to how little one really needs to be happy. Eventually there is no lonliness only incredible peace as you truly become one with your environment. A confidence is instilled that if one can accomplish this, nothing is impossible.  There's not much doubt in my mind...regardless of what happened...that Daniel was doing what he loved.  My thoughts and prayers to you and yours Maureen."
753128,trasker,2012-12-19 04:02:00,26,
753129,trasker,2012-12-19 04:12:00,26,"Thanks Mike for your thoughts and prayers.  Like you, there are many who have ventured on their own to find their way.  We find solace in knowing Daniel is where he would want to be and was following his own journey his way.   It's still difficult, not knowing one way or the other if he is alive or with the spirits.  So, we will continue to search, hoping to get this troubling question answered..."
756513,trasker,2013-01-05 06:17:00,26,
