918858,Dan668,2015-06-07 00:07:00,1120,"Try cross,  i caught some really nice fish there last year. Sort of out of the way though."
918960,Nipfisher,2015-06-08 01:59:00,2449,"Lew, our trailer is in Sturgeon Falls and I was in the boat the last 2 days around Iron Island. I was surprised how much weed growth there is already. Surface temps are still around 64 in open water and 68 in our shallow marina. Weed beds should be established by the time you come for the opener."
918968,lew,2015-06-08 07:26:00,12766,"Thanks for the info Dan & Nipfisher, only about 12 days to go now....and I can't wait to get back up there."
918992,Rich Clemens,2015-06-08 13:53:00,3131,"Lew, our trailer is in Sturgeon Falls and I was in the boat the last 2 days around Iron Island. I was surprised how much weed growth there is already. Surface temps are still around 64 in open water and 68 in our shallow marina. Weed beds should be established by the time you come for the opener. Oh boy - That is great news.     Thanks Nipfisher.   I'll be up the same time Lew is, so I've been watching for updates."
918553,lew,2015-06-04 21:03:00,12766,"Hi guys, I'm heading up to the West Arm of Nipissing in a couple weeks for my annual musky trip and am wondering about water levels and weed growth.  Last year the weeds were far below normal height and in June were almost non existent in alot of my normal spots.  Anyone know if their growing better this year and are water levels around their normal depths ??  Appreciate whatever you've got."
918627,doubleheader,2015-06-05 12:07:00,497,"Hi Lew. Obviously I can't answer you but I was looking at my map last night, specifically the water around Mashkinonje  Island.  It occurred to me that there is a lot more water up that way than I have realized over the years. Looked like some decent weed bed depths too. I do remember drift fishing up there with my dad as a kid but I don't ever remember us fishing for musky up that way. When you stay up there do you fish there or head over to the west bay. Good luck on your upcoming trip."
918629,lew,2015-06-05 12:14:00,12766,"Morning Fred, I  do fish that area a bit but not really enough to even learn the decent spots.  99.9 % of my fishing is done where you and I go plus Aikenheads Bay and the Merganser area.  Hopefully we'll get out again in August."
918633,doubleheader,2015-06-05 13:00:00,497,"That would be nice, but of great import is that Diane bring her wine.   One of these days we will at least turn a fish Lew. I'm really looking forward to this year."
918636,Bernie,2015-06-05 13:09:00,3190,Hello Lew The water level is a little high right now. My docks are OK but some docks that have sagged over the years are underwater.There has been a lot of rain over the last month and it's raining heavy this morning again.Haven't paid much attention to weed growth but I'd say it's behind normal.
918638,lew,2015-06-05 13:16:00,12766,"Thanks for the info Bernie, I don't mind the water being up a bit but was sure hoping for some good weed growth this year. Last year was brutal for weeds and even into late August they were far below normal.  That would be nice, but of great import is that Diane bring her wine.  C'mon Fred, you know Diane, she's had the wine packed for 3 months already"
918642,Rich Clemens,2015-06-05 13:53:00,3131,Lew and Diane are awefully kind to those Pennsylvania folks.
918649,lew,2015-06-05 14:26:00,12766,"Lew and Diane are awefully kind to those Pennsylvania folks.  Well, Diane is anyways Rich  And anyhow, you Pennsylvania folks are all kinda nice too."
918653,Stef,2015-06-05 14:31:00,63,"I live on the West Arm.  As mentioned, water is on the high side for this time of year, weeds are down from normal and a bit lower than last year, which means basically no weeds yet but they should be started by the time you arrive..."
918655,lew,2015-06-05 14:36:00,12766,"I live on the West Arm.  As mentioned, water is on the high side for this time of year, weeds are down from normal and a bit lower than last year, which means basically no weeds yet but they should be started by the time you arrive...  Thanks for the info, but that's not what I was hoping for. Normally by the end of June the cabbage is getting up close to the surface  in many areas and last year it was waaay down from there.  Oh well, the West Arm is such a beautiful spot I could get skunked for the week but still honestly call it a fantastic fishing trip."
918657,Stef,2015-06-05 14:43:00,63,"Muskies are still here and hungry, try rock structures and lots of shoals out there...."
918658,lew,2015-06-05 14:47:00,12766,"Muskies are still here and hungry, try rock structures and lots of shoals out there....  Oh yeah, there's always a back up plan. LOL  That purty 50 incher in my avatar came off a rock point near Muscrat."
