855884,big guy,2014-05-30 04:44:00,414,"A big hunk of fuuudddgggeeee  Damn right, fudge and fishing, does it get any better than that"
855890,misfish,2014-05-30 09:43:00,29133,"Would be nice if they had like a coffee shop or something. Sit,read the flyer and decide on what ya want to buy.Outdoor vids playing on a wide screen. Better then a fudge thingamajig."
855998,Joeytier,2014-05-30 20:55:00,3990,You guys are worse than a bunch of women in a shoe store!!  Glad i don't live anywhere near that stuff.  Fishing keeps wallet plenty empty as is
856001,misfish,2014-05-30 21:09:00,29133,You guys are worse than a bunch of women in a shoe store!!  Glad i don't live anywhere near that stuff. Fishing keeps wallet plenty empty as is  LMAO
856018,porkpie,2014-05-30 23:32:00,2521,"My local mom and pop shop won't suffer, mind you it's almost a 2 hour drive for me.  I imagine it will hurt local retailers!  Beats driving to michigan though, and I do love cabelas!!!!!"
856584,Cosmos,2014-06-04 11:39:00,588,"According to outdoor Canada:  Anglers and hunters in Barrie and region looking for new gear now have a definite day to circle on their calendars. Cabela’s Canada announced this week that the official grand opening of its new Barrie, Ontario, store will take place on Thursday, July 10. A ribbon-cutting ceremony hosted by Cabela’s executives and special guests will begin at 10:45 A.M.  According to a news release, the opening day will kick off a weekend-long celebration highlighted by special appearances, family events, giveaways and more."
856585,fishindevil,2014-06-04 11:46:00,6254,awesome !!!! another place that will take over my wallet & bank account over haha.... i just hope all the hype is going to be worth it as cabelas have been my fav for years....
856630,misfish,2014-06-04 17:28:00,29133,"So whos going to be at the opening? Since Im only 2 minutes from the store,that would be a YES for me. Since Im the only one that believed they would come to Barrie,YES  I,ll be there. Remember those ford trucks for sale with the Cabelas on the box? There was your sign.  I should be getting a discount, just for that.    If your just driving around  I,ll see ya there.LOL"
856631,BillM,2014-06-04 17:41:00,17367,"I will be knee deep in lake trout, it will be opened when I get back.  Definitely plan on checking it out."
856636,fishnsled,2014-06-04 18:18:00,3520,I'll get there some day but not rushing to go for the opener.  Spent enough money this year on fishing gear....I think.
856643,misfish,2014-06-04 18:53:00,29133,"I'll get there some day but not rushing to go for the opener.  Spent enough money this year on fishing gear....I think.  Dont we all.  It will be nice for those nasty no fishing days, to go walk about."
856649,BillM,2014-06-04 19:15:00,17367,It's raining outside?!?!??!   I know where I could spend a few hours
856652,davey buoy,2014-06-04 19:40:00,5505,"Lakers and whities call,would be far to busy for me .Catch up with them the next week or so.I think they will be around for a while  ."
856658,DRIFTER_016,2014-06-04 19:55:00,10439,I won't be there.  I will be hitting the new Cabelas in Anchorage that opened in April & the new BPS that opened there last fall though.
846707,Roy,2014-04-09 18:29:00,13728,I'm not sure I should have read the last few posts they are making me feel yuckky.   Art Two teaspoons full of brain bleach and call me in the morning.
846714,fishnsled,2014-04-09 19:19:00,3520,Two teaspoons full of brain bleach and call me in the morning.  I put that STUFF on everything!!
846848,HTHM,2014-04-10 02:50:00,4082,"I would recommend two shots, of brain bleach. Much more effective."
849129,Henricus,2014-04-21 13:47:00,118,At the risk of reviving the more recent and disturbing path of this thread...has Cabelas announced an actual opening day yet?
849130,BillM,2014-04-21 13:53:00,17367,Don't think so.
849177,kickingfrog,2014-04-21 18:56:00,8333,FWIW? They are doing interviews this weekend.
849283,gaspumper,2014-04-22 01:49:00,393,They done some interviews 2 weeks ago also.
850352,kickingfrog,2014-04-26 23:21:00,8333,"Someone who was interviewed today said they would be told by May 16th and that their training would start on May24th. I would think that would mean a mid-late June opening, or certainly Canada Day."
853725,misfish,2014-05-14 19:51:00,29133,"Well the lights are on. I tried to walk up, but got stopped. LOL  I asked opening date. No comment."
853733,kickingfrog,2014-05-14 21:11:00,8333,I would have said the same thing to someone with a bruins hat.  My potential insider hasn't heard anything yet either.   I'm thinking near Canada Day.
853734,lookinforwalleye,2014-05-14 21:16:00,4399,My insider says early July for the grand opening.
853741,Fisherman,2014-05-14 21:56:00,7201,Maybe have to ask one that got hired last week.
853742,HTHM,2014-05-14 22:03:00,4082,"Well the lights are on. I tried to walk up, but got stopped. LOL  I asked opening date. No comment. You're doing it wrong, put on a white hardhat, clean work boots dressy shirt and khakis, and you will be able to walk right in....."
853743,woodenboater,2014-05-14 22:10:00,2277,and don't forget the clipboard
853745,misfish,2014-05-14 22:26:00,29133,"You're doing it wrong, put on a white hardhat, clean work boots dressy shirt and khakis, and you will be able to walk right in.....  LMAO  Thats exactly what I was thinking when I got there.  I thought we were friends"
855475,Hoppy,2014-05-27 21:16:00,95,July 10th 
855478,misfish,2014-05-27 21:22:00,29133,See you there Terry.
855484,Terry,2014-05-27 22:43:00,14456,ohhhhhhhhhhhhhhhhhhh yeah.............................
855493,Burtess,2014-05-27 23:26:00,901,Maybe we should do a GTG on July 10 at Cabelas?!?!?!  Burt
855497,lookinforwalleye,2014-05-27 23:54:00,4399,I will be there July 7th for the staff and friends night...can you say DISCOUNT!!!!!
855498,BillM,2014-05-27 23:55:00,17367,How do I get on this staff and friends night?
855524,kickingfrog,2014-05-28 01:05:00,8333,Apparently you cheer for da abs.
855678,Terry,2014-05-28 22:57:00,14456,"Cabela’s Canada Announces Opening Date of Barrie, Ontario Store Posted on 5/28/2014 12:23:35 PM SIDNEY, Neb. (May 27, 2014) – Cabela’s Canada will celebrate the official grand opening of its new Barrie, Ontario store at 11 a.m. Thursday, July 10. A ribbon-cutting ceremony hosted by Cabela’s executives and special guests will begin at 10:45 a.m.  Opening day will kick off a weekend-long celebration highlighted by special appearances, family events, giveaways and more.  The 70,000-square-foot store – Cabela’s first Ontario location – will be located near the intersection of Highway 400 and Mapleview Drive in the Park Place Shopping Centre. It is expected to employ approximately 200 full time and part time employees.  The building’s exterior will reflect Cabela’s popular store model with log construction, stonework, wood siding and metal roofing. A large glass storefront will allow customers to view much of the store’s interior as they approach the building.  The inside will feature the company’s next-generation layout designed to surround customers in an outdoor experience, including museum-quality wildlife displays and a large mountain replica. In addition to thousands of quality outdoor products, the store also will feature an indoor archery range and archery tech room, Bargain Cave and Fudge Shop."
855703,Nipfisher,2014-05-29 01:39:00,2449,Fudge????? Right on. I'm going for sure now.
