841723,Beans,2014-03-17 15:12:00,3339,I'm not sure if even her mother would mind that crew anymore Cliff...
855122,Big Cliff,2014-05-25 18:43:00,6899,"Just a thought! if I win I would take Beans! SERIOUSLY! I'll bet he tops most DD's, (last time I looked I'd have guesed at about a 48 EEE) he loves to fish, he isn't a bad cook, he is a great fisherman, he'd never complain about my snoring (he probably wouldn't even hear it) and I can't think of a person that would appreciate it more or that deserves it more!  I think that no mater who wins they should include Beans!"
855908,solopaddler,2014-05-30 12:30:00,8605,"The draw is on June 2nd, this is your last chance to enter a really great contest! Good luck to all, I'll be contacting the contest winner myself next week after the magazine informs them they've won."
856430,solopaddler,2014-06-03 02:27:00,8605,"Was informed earlier today by OOD that Jim Derro has won the fly in trip contest. Congrat's Jim!  Not sure if Jim is a member here or not, but regardless I'll be touching base with him soon.  Big thanks to OFC for allowing me to pin this, it was greatly appreciated!"
856519,aplumma,2014-06-03 22:32:00,6896,Nice job thank you for the contest from all of us at OFC.    Art
856526,solopaddler,2014-06-03 23:03:00,8605,"Nice job thank you for the contest from all of us at OFC.    Art   Hey I'm a part of OFC too.  According to OOD there were a lot of entries, over 5000 I believe. I'd be willing to bet the majority came from this board. I know they were very happy as well.  Here's hoping the trip is a successful one!  In the meantime I'm headed to White River early Thursday for another fly in, this one for lakers. Prepping for that one right now."
835664,Cudz,2014-02-11 03:53:00,2652,"My first question was .... ""Who is Mike Borger, and why would I want to go fishing with him?""  I don't consider myself new, care to fill me in?  Ignorant I'm sure, but honest none the less.  Can I take my Father or Son or Daughter? This is the best post on the thread. I would love to go but rule 8 is in the way.  Football schedule does not jive (not to mention my wife would lose her mind with my 3 kids lol)"
835665,solopaddler,2014-02-11 03:53:00,8605,"Quote from Misfish: Gezz bro, I can't help you out, I was in the work force at age 15 Good job the figures weren't any higher, had to take my socks off, good job I have all my toes and fingers. 10X2 =20-5=15 Make this homer feel good Mike, did I get-er right. My Quote tab doesn't work???   You got it Dave."
835671,bigugli,2014-02-11 04:26:00,6138,I'd be hard pressed to decide who to take for such an adventure. My son or my mother.  Mother loves to fish as much as I do. You'd also gain a few pounds if she starts cooking 
835672,solopaddler,2014-02-11 04:39:00,8605,Hey if you're supplying the cook you're welcome anytime Bruce. I'll do the dishes.
835673,ctdd2006,2014-02-11 04:42:00,531,....let's hope someone actually born in Chapleau and a member on the board wins!    Great contest.
835675,DRIFTER_016,2014-02-11 05:01:00,10439,Hey if you're supplying the cook you're welcome anytime Bruce. I'll do the dishes.  And if you're supplying the rum you're welcome anytime Mike.
835676,solopaddler,2014-02-11 05:15:00,8605, And if you're supplying the rum you're welcome anytime Mike.  Deal!!
837332,mcdougy,2014-02-20 03:17:00,274,Are you willing to eat cheese dreams in order to up the Pepsi amount?  How many hours would you be in the boat per day? Is a D.D. a good person to bring? Sounds like it has the possibility to be a good trip!
837334,solopaddler,2014-02-20 03:30:00,8605,Are you willing to eat cheese dreams in order to up the Pepsi amount? How many hours would you be in the boat per day? Is a D.D. a good person to bring? Sounds like it has the possibility to be a good trip!  What's a cheese dream? I think I understand upping the Pepsi amount.  Hours in boat? Depends on weather really.  Who's D.D.?  It's guaranteed to be a good trip!
837335,irishfield,2014-02-20 03:33:00,26272,A gal beyond D Mike..
837337,mcdougy,2014-02-20 03:42:00,274,"D.D. Is part of a different dream.  Cheese dream= bread,chez whiz,bacon n a oven. Not deutsch if yer wondering about the oven now."
837338,solopaddler,2014-02-20 03:49:00,8605,"A gal beyond D Mike..  That was my first thought.  D.D. Is part of a different dream. Cheese dream= bread,chez whiz,bacon n a oven. Not deutsch if yer wondering about the oven now.  Gotcha."
837361,John,2014-02-20 13:46:00,2956,A gal beyond D Mike.. 
840516,Roy,2014-03-10 12:02:00,13728,"Dang,,,,I need an Ontario address."
840530,solopaddler,2014-03-10 14:34:00,8605,"Dang,,,,I need an Ontario address.  Pffft...no you don't. You're welcome to join me anytime, dead serious."
840664,brw,2014-03-11 02:45:00,101,"Mike: I a self-designated honourary Ontarian. I have been coming north for 35 years, am a certified Neil and Gord fan (have seen both in concert numerous times), can fillet a walleye blindfolded, make my own harnesses, can name all the provinces and the PM, and am addicted to ketchup chips.  Does this count for anything?  Sincerely,  One groveling American...."
840666,solopaddler,2014-03-11 02:52:00,8605,"Mike: I a self-designated honourary Ontarian. I have been coming north for 35 years, am a certified Neil and Gord fan (have seen both in concert numerous times), can fillet a walleye blindfolded, make my own harnesses, can name all the provinces and the PM, and am addicted to ketchup chips.  Does this count for anything?  Sincerely,  One groveling American....   It counts for plenty in my eyes!"
840752,aplumma,2014-03-11 19:27:00,6896,Haa ha you missed the most important thing  poutine  the worlds nastiest stuff ever made North of the border.     Art
840767,solopaddler,2014-03-11 21:34:00,8605,Haa ha you missed the most important thing  poutine  the worlds nastiest stuff ever made North of the border.     Art  I was prodded into a low carb diet a while back and I would kill for some poutine right about now. No telling what I might do for a beer.
840769,misfish,2014-03-11 21:41:00,29133," If Im drawn,I could fix that.LOL  It,s the best thing to eat,if ya want to put weight on fast. Taste GOOD too.LOL"
840772,aplumma,2014-03-11 22:32:00,6896,Sorry you will not convince me that stuff is good. Joe ran into town and got us a tray and the first 3 bites were heaven and the 4th one just hit me wrong. The 5th one was my last.   Art
