855882,NANUK,2014-05-30 04:09:00,797,Eat coarse fish
855899,solopaddler,2014-05-30 11:59:00,8605,"Family first, regulations second.  Without getting into any details, the Sutton River pops to mind."
855902,spincast,2014-05-30 12:07:00,3279," Without getting into any details, the Sutton River pops to mind. were humans out of season when you and Bill were up there?"
855903,BillM,2014-05-30 12:13:00,17367,were humans out of season when you and Bill were up there?  Ask the polar bear
855905,lew,2014-05-30 12:20:00,12766," Ask the polar bear  Without doubt, that was the best fishing tale I've ever read on this board"
855910,solopaddler,2014-05-30 12:40:00,8605,Had nothing to do with the polar bear. It's a great story but not for public consumption.
855911,BillM,2014-05-30 12:42:00,17367,Is that blueberry you've got all over you?
855914,lew,2014-05-30 12:49:00,12766,"Had nothing to do with the polar bear. It's a great story but not for public consumption.  Doesn't matter Mike, it's just that every time someone around here says Polar Bear, I remember the trip you & Bill took LOL"
855920,BillM,2014-05-30 12:55:00,17367,"Lew, I just wish I pulled out my camera instead of the shotgun!  Would have made for some crazy pics... How many people can say they've been 50ft away from a wild polar bear before that wasn't in a zoo?   Definitely a once in a lifetime things you'll never forget."
855931,lew,2014-05-30 13:32:00,12766,"How many people can say they've been 50ft away from a wild polar bear before that wasn't in a zoo?  Probably not many folks even lived after being 50' from a polar bear Bill, definitely something you'll never forget."
855947,Headhunter,2014-05-30 14:17:00,5703,How did the Polar Bear taste? Waste not want not! LOL HH
855960,solopaddler,2014-05-30 14:51:00,8605,How did the Polar Bear taste? Waste not want not! LOL HH  If we'd have actually had to shoot the bear I'm sure we'd have found out.  Needless to say there is a story here and nobody will be hearing it LOL!
855962,Gerritt,2014-05-30 15:01:00,6129,You tease.
855983,manitoubass2,2014-05-30 17:35:00,11391,
855986,solopaddler,2014-05-30 17:56:00,8605,"remember the vid? Pretty sure it has something to do with mikes undies being soiled lol. Thats my guess Wrong, not even close."
855736,bushart,2014-05-29 11:59:00,2628,"The old laws regarding squatters rights/adverse possession on Crown land were repealed several years back. Under the old law you needed to occupy the patch of land for upward of 7 years before the courts would recognize entitlement. At any time during those 7 years,  you were subject to eviction for trespass and any home you built torn down. yeah---try leavin your camper parked on a crown site for over 30 days---you'll get the notice"
855737,bushart,2014-05-29 12:17:00,2628,"Funny you bring up our position not differing much from other wildlife Manitou...  Everyone likely remembers this work I did a while back (now sold)    Well that opened up a ""Global"" discussion with some fellow artists about the origin of the canvas so to speak--apparently I'm a tad cruel  Meh...some arteests--I think they eat too much tofu  Anyway I tried to put it into these terms to bring in another perspective  Scenario #1....pack of wolves take down a moose---everyone is accepting----nature at work ...correct?  Scenario #2....My buddy who is Chief of a FN Band in Northern Ontario---shoots an extra moose if possible to give to the town elders who can no longer hunt for themselves....charitable and kind....good stuff  Scenario #3.....Sexy painter guy shoots a moose-----shares some with his buddy---feeds his family for the year---no waste---even make artwork out of the antlers---no waste Should note legally)  Scenario #4....Moose gets tagged by a train or truck (which happens lots)---moose rots unused in the ditch---yet somehow is the cost of biz---reasoned to be acceptable   So the same moose getting killed can be viewed in several ways---to some acceptable to others not so much----matter of perspective"
855740,pairofgreenhorns,2014-05-29 12:49:00,133,"Some good responses in this thread, bushart makes a great point on difference of views, and great topic manitoubass2"
855746,dave524,2014-05-29 13:33:00,4508,"One of the only times it was cost effective to harvest my own fish or meat over just plain buying was as a teen snaring a few rabbits with two bit coil of brass snare  wire and potting a few more with a single shot .22 when long rifles were 49 cents a box in the bush behind my parent's house.  Since I've owned a drivers licence rarely has anything been cost effective, and that is even more true today with gas over 5 a gal rather than putting 2 bucks in that old 68 beetle for the weekend. Really is anyone really financially ahead in the long run unless maybe you have a woodlot or a body of water in your backyard and use really basic gear?"
855758,MrSimon,2014-05-29 15:04:00,217,"Many years ago I was taught to ignore the concept of ""rights"" and focus on what personal ""responsibilities"" I have.  I don't have the ""right"" to harvest game ..... I have the ""responsibility"" to be a good steward of the resources God gave us and to follow all the applicable rules and regulations put in place by the authorities.  I don't have the ""right"" to travel to Canada and fish .... I have the ""responsibility"" to be a well-behaved tourist who follows the rules and is a good representative of the U.S.  With all that said, certain responsibilities (such as feeding my family) will come above others (such as following game laws).  Frankly, I think the original question is silly ..... of course we would all illegally harvest game/fish in order to feed our starving children."
