443635,tb4me,2010-03-14 04:48:00,3295,hey how do I use google earth hybird? I thought it was a pay service?
443637,Dozer,2010-03-14 06:38:00,896,Coors and Heinenken?
443753,jackal68,2010-03-14 18:34:00,68, Thank you very much! I looked on google earth and seen it. Again thank you Rob
443754,jackal68,2010-03-14 18:35:00,68,was that cought in the ponds in waterford?
443781,vinnimon,2010-03-14 20:03:00,2593,"Not at all tb4me, not at all, or I really lucked out.The hybrid is awesome.If I remember right, go to googles earth and down load the advance/hybrid version.And when your pc notifies you of google earth updates,I update.The street sceens are neat as well. Here is a glimpse "
443782,vinnimon,2010-03-14 20:06:00,2593,I beleive its the one I lost twice on the same retreive  last august.
444013,ch312,2010-03-15 15:09:00,1590," took that beauty on a 1/2"" piece of worm while targeting finicky bluegill.  for those who havent fished waterford ponds before. this is not a typical catch and id assume that its one of very few bass in those waters that is that big. dont go there with high expectations of catching big bass or you will be disappointed. kinda like the 12.25"" perch i caught out of puslinch...likely the only one in there that size.  '"
444014,jackal68,2010-03-15 15:48:00,68,"Im just trying to find a ""decent local hole"" to teach my kids. Panfish is the place to start. I was raised (half of my life) in western Quebec and I cut my teeth on 42 inch pike at the age of 12. Back to teaching my kids. I dont want a place where im snagging sheephead and carp! its just a turnoff. I literally want to ""upchuck"" when I get those fish on."
444033,brifishrgy,2010-03-15 16:25:00,559,  your kids wont mind catching sheephead or carp .. spent many days at wilkes dam in Brantford when my son was young catching creek chubs and suckers .. now when we troll the grand for eyes and he hooks into a sheephead the smile is still there when he lands it .. as long as there is something biting they will have fun
444047,packrat,2010-03-15 17:43:00,93,"  You're sitting on top of one of the best local fishing holes around to teach your kids.  For gawds sake DONT take them to Wilkes dam tho---good location but not for kids.  As for Waterford ponds the main pond in front of the pavilion used to have lots of smallish gills for them to play with and if you move toward the back there is a ""point"" that sticks out into the lake that used to have some dinky perch.   I say ""used to"" cuz I havent fished there for years so ?????"
444070,brifishrgy,2010-03-15 19:42:00,559,"  Haven't been there for quite a while (2005) .. what has changed to make it not good for kids???????   2002   2005  used to be tons of chubs, rockbass, smallmouth and suckers"
