643268,northernpike56,2011-11-26 20:49:00,717,"My dad backed into an SUV a few years ago, and I think he just made a cash deal with the guy."
643335,GoneFishin,2011-11-27 02:26:00,349," Yes! This is why I am not just going to just forget about it! They do know where I live, I've phoned them 4 times now with no answer and I haven't left a message yet because, the writing was so small and hard to read, that it's a possibility I might be calling the wrong number......... Looks like I might be knocking on their door tomorrow."
643354,mercman,2011-11-27 04:09:00,7054,"Sigh........Just do it !!! If it was me, i'd be over there in a flash.I woulda been over there the same bloody day.Old car or new car, he hit your vehicule and left.He or his insurance owes you a repair . Simple, end of story. Good nite."
643355,danc,2011-11-27 04:21:00,4677,"Your neighbor owes you the money for the repair. Whether you get it repaired or not is up to you. If this had gone to court, the court would have given you a monetary reward. What you do with the money is your business."
643358,Rizzo,2011-11-27 04:47:00,4754,just back your beater into his vehicle and call it even
643371,GoneFishin,2011-11-27 07:58:00,349," Yah well if I do knock on her door and she tell's me she has no idea what I'm talking about then things won't go to smoothly. I just did a reverse search on the phone number... It's not her phone number by the looks of things. It's a lady who owns a pet care business in b-ville. I do see a dog walker every morning while getting into my truck. Hopefully it gets sorted out tomorrow, but looks like it could still be a hit and run...   That's good to know Dan, I could use the money more then a shiny new door."
643372,Billy Bob,2011-11-27 10:13:00,5865, Not the right thing to do....but FUNNY....LOL
643408,Woodsman,2011-11-27 14:59:00,1286,"If you note my post had many question marks. This whole thread has many questions to be answered. Everyone is so quick to blame the neighbor with no evidence which GoneFishn admits. No witnesses, no visible damage to their vehicle & a number left to call that doesn't match the neighbors? No court would award any damages based on the so called facts stated so far in the thread. Much more investigating needs to be done before blame can be accessed. Could it have been someone (matching the phone #) just using the neighbors driveway to turn around or a visitor? Was it the neighbor? Hell I don't know but no one else does either. Police should have been call at the time of noticing the damage."
643412,mercman,2011-11-27 15:12:00,7054,"Like i said.Report it, repair it, or not, up to you. Now go look at all the nice fishies being caught by all our buddies"
643417,NAW,2011-11-27 15:26:00,4022,"The exact same thing happened to my 1990 Corsica 5 years ago.  Neighbor's kids had a party.  Young girl still hungover from the night before.  Totaled my rear passenger side door.  Pushed my car 18"".  No note..  I grabbed my brother in-law, and we went over and knocked on the door.  Found out the girls name after some discussions about what went on last night, and the fact that I new these kids parents where in Florida for a week..  They coughed over her phone number, and she agreed to pay for the damage.  I got a quote from the most expensive place in town (Zenitec).  Then we met up, reviewed the quote, I told her I would do some of the work my self to make it a little cheaper.  She gave me $800 cash.  Transmission blew on the car 3 weeks later, so I put the money toward the down payment on a new VW golf.  If you can find out who actually did the damage, then I don't see any harm in going after them for the repair costs IMO.. Even if it's a beater."
643441,Billy Bob,2011-11-27 16:42:00,5865,A 1990 Chevy Corsica...you should of paid her as she did you a favor....  :rofl2:
643461,Big Cliff,2011-11-27 18:24:00,6899,"I had a big long post all ready to go but I'll keep it simple: I think the OP already knew how he would like to see this end, he was just looking for moral support.  A dent in the door of an old beater that doesn't affect it's operation just adds charactor (or $ in your pocket if you can blame someone)I guess it all just depends on how you look at it and how important money is to you.  No one knows for sure if it was the neighbour or someone else that put the dent there, speculation is just that! Until there is proof no one should be blamed and it sure isn't worth starting a fight over.  In my opinion, if it is so important that you find out who did it and get remuneration, just call the police and let them handle it, otherwise put it to rest and go have a cold one.  No wonder I'm broke all the time!"
