761166,ah_long,2013-01-21 08:08:00,354,"for low HP motors, why not go for the pirhana props instead?"
761171,bigbuck,2013-01-21 12:13:00,2449,"A stainless prop could help you. Usually you go up a pitch when going to stainless. That helps top speed. You will probably need to try out a couple of different props to see which works best for you. A good prop shop should be able to help. Stainless is great for lakes with sandy bottoms. I boated and fished Georgian Bay, Ive seen what happens to an aluminum prop when it hits a shoal, it gets shredded and the skeg gets mangled, thats usually it. A stainless prop doesnt break and transfers the impact right on up, wrecking the prop shaft causing thousands in damage. Terry, the hubs may help but ultimately the blades dont shear off easily and damage will occur. Lew, you got Real lucky. Ranger, i would try out a prop that is lower in pitch to get some bow lift, you will probably lose a bit of speed but it may work. it sounds like you have more than just prop issues. Has Lund been any help? What about Yamaha?"
761173,lew,2013-01-21 12:37:00,12766," I'm well aware of that Bruce, I've been driving boats for a very long time."
761174,aplumma,2013-01-21 12:40:00,6896,"Mike because the SS does not flex under take off load it gets a better holeshot , I went up 2 pitches from my aluminum prop and found no loss in my bottom end. this is on a 150 hp motor with a ranger ( heavy) boat.   Art"
761176,ecmilley,2013-01-21 13:05:00,2163,"http://www.mercurymarine.com/propellers/prop-selector/# i prefer stainless steel, better performance on my 150 motor, it all comes down to you can get a stainless prop tailered to your excact needs. i currently use a 4 bladed piranna prop that helps with hole shot and cornering duty it's a 24 pitch with some cupping on the blades and it allows me to run 60 mph @ 5100rpm i ould pick up some top end just swirching to a 3 bladed fury and maybe dropping to a 23 pitch as i can run the engine at 5800 with out issues"
761869,Sinker,2013-01-23 18:41:00,8692,"The way I grind up props, I couldn't afford to be replacing/repairing stainless, and I'm sure my prop shaft would be warped among other things.  Right now I'm trying out the 2 piece units, so I just. Replace the blades, and the hub stays. Also a nice way to change pitch for conditions/load.  I don't think I would see much gain on a 40hp with stainless anyways. 30mph is fast enough for me.  S."
761900,RangerGuy,2013-01-23 21:14:00,564,"hey bigbuck, I don't think I have any serious issues just set up issues.  I hit great rpms and speed at wot. 75hp yamaha tiller 6000rpm hits 38.5mph with full tank. With 2 dogs and 2 passengers I can get 36-38 depending on water conditions.  Just want to get the boat out of the water a little more for efficiency and handling.  "
761903,Terry,2013-01-23 21:17:00,14456,a merc high five will give you lots of stable lift
761916,SlowPoke,2013-01-23 21:41:00,2984,"Without looking up the specs, I'd say 6000 RPM is spinning a little quicker than necessary. I'd recommend going up a little in pitch (ex. 17 to 19) in an aluminium prop for starters and give some consideration to a 4 blade. A Vortex 4 blade can be had for about $120. Once you have your pitch & diameter dialed in you can then consider a stainless for better performance and keep the aluminium for a spare."
761950,glen,2013-01-23 23:29:00,2641,Mike check this out on your props. On my props the SS is about half as thick as the aluminium.  The leading edge is sharper too.  Get the right SS prop on there and it will do everything better.
762176,Tybo,2013-01-24 18:13:00,1373,"What slowpoke said. A 4 blade aluminium will almost give the same as a three blade SS in hole shot and top end,but not in cornering.There will be too much flex."
720553,mike rousseau,2012-08-06 13:51:00,4661,I have a stainless prop from a 50hp Honda....  Will it fit a 50hp Yamaha...?
720607,bigbuck,2012-08-06 18:41:00,2449,"Probably not. Check aftermarket props, if the x-ref #'s are the same you are in luck."
720614,davey buoy,2012-08-06 18:53:00,5505,"Worse comes to worse, take it to your local prop repair shop and trade it for what you need. The one I deal with is more than reasonable."
720680,Fish Farmer,2012-08-07 00:52:00,2234,"My spare prop for my 50 Honda is a Merc prop. Bought it from J&J Marine. That's all I can tell you Mike. The down side to a Stainless, is if you hit something, can cause more internal damage than a aluminum. You could call J&J and ask him 905 768 9188 Just a thought."
