711882,johnnyb,2012-07-05 12:56:00,3413,"Wow.   I never read that thread.  But now I have, and I'm impressed!"
711905,RangerGuy,2012-07-05 14:34:00,564,"WOW! Great Job!... You now have one of the toughest/best looking boats on the water  My last boat was a 1989 Ranger Fisherman Tiller.. So pretty much the same vintage.  I think I read somewhere you were concerned with the transom. DON'T BE! Here's why..  I was rear ended a couple weeks after buying my Ranger Fisherman. The goof hit me while I was stopped at a red light with a full size GM Pickup. Yes he was talking on a cell phone!  Anyways, he literally pushed me and the boat 1/2 way through the intersection. The hit took 2 blades off the prop, crushed my transom support bar and that's it.  I had no pressure cracks or anything in my transom , I had the boat & motor inspected at a marine repair shop just to be safe.  Great job man! Enjoy"
711923,kickingfrog,2012-07-05 15:08:00,8333,Not sure how I missed this either. Lots of hard work and persistence. Sweet ride that is a lot of fun.
711987,Oryx,2012-07-05 20:00:00,186,"All I can say is WOW, amazing job."
711993,bubbles,2012-07-05 20:29:00,591,"I missed this completely as well.  Great job, I love how negative people were and you proved them wring, I love a challenge and can completely appreciate the satisfaction of doing the job yourself.  Well Done!"
510966,SRT8 smoker craft,2010-10-11 02:52:00,1107, Judging from the olmost new motor hangin off the back I'd say pretty good.
510968,HTHM,2010-10-11 02:55:00,4082,"I can't speak to the motor as of yet, I had it out on the water, and it has not been rigged correctly, along with some other mistakes that will be dealt with. So I do not know how it runs out yet....."
510969,SRT8 smoker craft,2010-10-11 02:57:00,1107,DOH
510996,Handlebarz,2010-10-11 10:38:00,3790,great work on the resto that boat looks like you should have many great days out on the water with her. always nice to read reports like this and see other members helping out.  I have a question about your hammer how many people make fun of you for using that to build a wood casting deck? I know my buddies here laugh at me well at least they look at me like I am nuts when I pass my big hammer over when they ask for one. Its nice to see that I am not the only one why uses one for making things fit.
511088,HTHM,2010-10-11 20:50:00,4082,"The seats...These belonged to a guy on another board, and he gave them to me for this project. Before:     After:    The deck extension: "
511122,vinnimon,2010-10-12 00:04:00,2593,Very nice
511139,Garry2Rs,2010-10-12 00:47:00,1425,Nice work Albert! Can I drop mine off for the winter? You can renew it while I'm down south... HAHAHA!
511204,perchslayer666,2010-10-12 05:36:00,280,Wow! Looks incredible.
511263,JohnF,2010-10-12 15:28:00,3494,"DAYUM!!!!!!!!  Very nice. I'm not even going to try to tell you how impressed I am. Especially considering all the negative feedback you got at the beginning. I'm thinking that other than the motor it really didn't matter what shape everything was in, you would have gutted it anyway. Great result. I wish I'd contributed ssomething but mayhap you'll still let me on it.  JF"
511302,HTHM,2010-10-12 18:19:00,4082,"Heck, John if I'm gonna let Garry on it, then I guess I should let you on it too.....Gots ta play nice and all. Soon as you are feeling good enough, let me know."
511315,nancur373,2010-10-12 19:03:00,1211,Nice job.
511319,misfish,2010-10-12 19:11:00,29133,"Thats one hell of a reno. Sweet looking ride,and you got tunes to boot.  I might of missed it in this thread,but what you paid for the package and the total cost of the reno,would you get your money back if you decided to turn it over?  Again sweet ride."
511349,bigbuck,2010-10-12 20:36:00,2449,Congrats!! Looks like you've got yourself a really nice ride! NOW GO GET IT ALL STINKY AND SLIMY ALREADY!!!
511354,HTHM,2010-10-12 20:50:00,4082,"If I turned it over, it would not ride in the water near as well as it does now. The project was not done to make money, because if I add up the hours that I put into it, i would be lucky to realize $5/hour. What I did get, is the satisfaction of a job reasonably done. I would not be able to put a value on it, as I do not have the training to survey a boat. I will have to get that done for insurance though...."
511355,Chance,2010-10-12 20:50:00,420,Great reno indeed.Being as we are not to far from each other I am sure you wouldn't mind doing my rig would ya  By chance did the new motor come from James?
511360,TC1OZ,2010-10-12 21:01:00,987,"Sweet restoration! Looks like I missed this post too! I would of cheered you on either way! Who cares what you paid, its what you want and what you wanted to do!  "
511365,hirk,2010-10-12 21:19:00,571,"Looking good!!!!!When you 1st got it I didn't think I would ever be looking at such a nice finished product,you have done a great job Albert!!"
