711705,lew,2012-07-04 21:28:00,12766,I can vouch for the quality of both MikeP & Joey's baits.
711706,bare foot wader,2012-07-04 21:30:00,1354,"CT isn't always the best for selection (aside from Lindsay location) but I always check the fishing aisle for clearance stickers, seems to be inconsistent store to store and sometimes get some great deals...got some rapala DT for 5 bucks and max raps for 9.99 (usually 16-20 bucks)  IMO fishing spinnerbaits is like fishing plastics and getting tails bitten off...you're going to lose skirts and blades sometimes, just how it is, good thing is swivels, split rings, blades and skirts are cheap to replace,,,20 bucks will give you the basics to replace things for the season"
711715,Steve,2012-07-04 22:12:00,2075,here ya go.  trust me.  http://www.nicholslures.com/pulsator_metal_flake_spinnerbaits.htm
711718,davey buoy,2012-07-04 22:19:00,5505,Another thing that bothers me as why most manufactures choose not to twist the eye of the spinner bait. This would defineatly help with snap swivel sliding out every once and a while and having to reset it in the groove.
711736,BillM,2012-07-04 23:02:00,17367, Use the rubber tubing you do for your floats..  Works great at keeping the snap where it's supposed to.
711770,Steve,2012-07-05 00:14:00,2075,tie you line directly to the spinnerbait...  no slip.
711824,manitoubass2,2012-07-05 02:12:00,11391,
711830,manitoubass2,2012-07-05 02:17:00,11391,"I always tie direct. The time it takes if far less than correcting fouled lures, no doubt about it. Even if it has a loop instead of an bend, using a snap swivel lessens the action and control of the lure. Also, a snap will pick up debris. If you fish an r bend on a snap, even a slight wind or current will foul you almost every cast"
711834,Pikeslayer,2012-07-05 02:43:00,1443, My 2 best 'go to' SB's  are both made by Mike P (gifts from a fellow OFC'R). Seems I might need to acquire a couple of Joey's for comparison
711835,mercman,2012-07-05 02:56:00,7054," I hate knots...i put a tiny o-ring available at most hardware stores, over the R bend.It keeps the snap from fouling during a cast."
711838,fish_fishburn,2012-07-05 03:22:00,1311,pm sent joey
711841,spinnerdoc,2012-07-05 03:57:00,556,"Have you tried making them? I was into making spinners when i first started visiting OFC a few years back. I used heavier gauge wire, actually i used the leaders used for marlin or sail fish. The wire was awesome stainless and coated so it wasn't snapping that's for sure Blades you can go with different kinds and you can add beads as well and hooks you can get really good ones, basically you can get good components that won't be breaking on you.The beauty about it is you just need a pair long nose pliers and your ready to get crakin some wicked spinners. I have not made any for a long while but here are some from the past...these are the only pics i can dig up       "
711844,Cudz,2012-07-05 05:43:00,2652,"Not to hijack this thread but BillM, Frank can make you whatever spinnerbait you want. I love his spinnerbaits.  Northam spinnerbaits.  I believe they are now called big hit lures. http://www.northamfishing.com/  I have several 3/4 oz and 1 oz spinnerbaits from him.  He lives in Barrie and I go to his place once in a while.  If you want we can go and talk to him."
711851,singingdog,2012-07-05 10:04:00,1047,"IMHO, putting a twist eye on a spinnerbait frame takes away a lot of the vibration."
711862,BillM,2012-07-05 11:24:00,17367,"Chris, sounds like a plan man... How'd you make out lastnight?"
711963,DaveMc,2012-07-05 16:59:00,89,"CL Fishin Premium spinnerbaits!!!!! there is nothing else for me. have been fishing them exclusively for the last few years (was fishing some of the first prototypes a few years ago) they have out lasted everything else i have fished, they run better than anything else i have fished, and have caught me more fish than anything else i have fished."
712001,fish_fishburn,2012-07-05 20:51:00,1311,Thanks Dave gonna look into CL fishing.
