972580,Moosebunk,2016-06-06 13:19:00,3970,Beauty Brian!  And the Meeger makes some great lures.
972588,LeXXington,2016-06-06 14:56:00,1928,Nice
972597,akaShag,2016-06-06 18:02:00,2073,"The short rods were basically all anybody used in open water for splake, whities, browns, bows, you name it up on Georgian Bay back in the 80s.  Mind you, most were custom tied rods and slightly longer than your average ice rod.  And yes, jigged vertically, most often with roe.  It was my favourite fishing of the year!!!  And that was when I was spending lots of days in the various rivers and streams chasing steelhead.  As much as it was a blast to tie into a chromer on the long rods, it was just fabulous jigging the short rods for good numbers of often good sized fish.  My biggest whitie weighed 12.49 lb on a grocer store butcher scale.  I had weighed it with my spring scale in the boat and it was showing about 14 pounds, which was close to Terry Frook's record of 14.6 as I recall, so we hauled up the anchor and drove to a grocery store to weigh in my ""potential"" Ontario record.  Well, it was a full two pounds under the record.................and we did eat it.................and never even took a picture of it!  Good memories, and thanks Brian for that trip down memory lane!Doug"
972598,Rodbender,2016-06-06 18:13:00,1027,"The short rods were basically all anybody used in open water for splake, whities, browns, bows, you name it up on Georgian Bay back in the 80s.  Mind you, most were custom tied rods and slightly longer than your average ice rod.  And yes, jigged vertically, most often with roe.  It was my favourite fishing of the year!!!  And that was when I was spending lots of days in the various rivers and streams chasing steelhead.  As much as it was a blast to tie into a chromer on the long rods, it was just fabulous jigging the short rods for good numbers of often good sized fish.  My biggest whitie weighed 12.49 lb on a grocer store butcher scale.  I had weighed it with my spring scale in the boat and it was showing about 14 pounds, which was close to Terry Frook's record of 14.6 as I recall, so we hauled up the anchor and drove to a grocery store to weigh in my ""potential"" Ontario record.  Well, it was a full two pounds under the record.................and we did eat it.................and never even took a picture of it!  Good memories, and thanks Brian for that trip down memory lane!  Doug Yep we did that at the mouth of the Notty fun when you got a nice Bow on the short rods  my biggest Whitefish came from flat line trolling at the mouth of silver creek in Creigleith  it was 12.3 LBS weight at the small tackle and bait shop in the house In Singhampton"
972605,misfish,2016-06-06 20:09:00,29133,Ah the old days of the mouth of the notty. Now theres some great memories. Splake and whities.  Thanks gang
972369,misfish,2016-06-04 17:12:00,29133,"The start    It,s has been serving me well the past few weekends, getting me my whities. My confidence is through the roof with this bait now. I have heard and seen it will catch lakers as well. This, I had yet to conquor.  That was until, this morning. First lets get the whitie out of the way. Yup, nailed one the first 5 minutes. In the well it went for adinner for me bud and his mrs,s.    Back down goes the meegs. Theres a fish on the graph zipping around. Big marks from this one. I keep moving the jig up 3 ft or so, smash it back on the bottom and repeat. Then as Im lifting, the mark makes a beeline for the jig. Fish on. At first I thought it was a good whitie. Then it decided to make a run and another run and yet another run. Ok, not a whitie. A 15 minute battle, with a 46"" R-TYPE ice rod,loaded with 10 pound Nanofil and a 4 ft leader of P-Line floro clear, joined only by a uni to uni knot.  Get it to the boat,me bud nets it up. Inhaled the meegs    Can only amagine the battle if it had a whole tail. Not sure what happen to it.    My first on the meegs and biggest on a ice rod. A quick pic and back it went to the depths to rest and yet play with another angler some day.    Both fish onboard just before 6am. The rest of the morning we washed spoons. LOL  If the rain holds off, I,ll be out on the toon in the AM."
972370,manitoubass2,2016-06-04 17:17:00,11391,Nice! I gotta try those meegs up here
972371,misfish,2016-06-04 17:21:00,29133,"Nice! I gotta try those meegs up here   No, you need to try a uni to uni for braid and floro. LMAO  Thanks"
972372,Rodbender,2016-06-04 17:26:00,1027,Nice fish Brian wonder what happened to the tail of the Laker
972373,manitoubass2,2016-06-04 17:37:00,11391,"I do, just not very often.  Perhaps thats why I cant catch many whities lol"
972385,misfish,2016-06-04 19:07:00,29133,"Nice fish Brian wonder what happened to the tail of the Laker  It looked like it was freshly eat,n off. Not sure what would trying to chomp down on that."
