846081,chefboi17,2014-04-06 23:49:00,128,"I'm so down, it would be something else to hook into a steelhead on one of those setups lol"
846087,manitoubass2,2014-04-07 00:08:00,11391,I'm down but got no dollarama near me:( can one of you good folks from the south hook me up if we do this tourney? Looks like the funniest thing ever!
846095,HTHM,2014-04-07 00:27:00,4082,Perhaps we could make it part of Fishing for a Cure? I'll leave that choice to Dan.
846142,GBW,2014-04-07 02:23:00,8460,I'll hook you up Manitou if needed. from the looks of the thread coming back to life I need to go again soon
846148,Gallie,2014-04-07 03:29:00,1215,I think i could troll up a simcoe pike with one of those combos...
973249,shawnboyfishing,2016-06-11 15:50:00,1,Nothing wrong with dollarama lures. All you need to do is change the hooks and your good to go!
973250,manitoubass2,2016-06-11 16:01:00,11391,Thank ya sir!  Really wanna do this! Would be a blast!
973257,Rodbender,2016-06-11 19:49:00,1027,OMG this is a great Idea for a boys weekend a 4 hour tourney I just happen to have one comming up June 24 25 26 on Nosbonsing I'm gonna pitch this Idea to a few tonight
973263,Old Ironmaker,2016-06-11 21:36:00,8243,"Thanks for resurrecting this thread. How did you find it?  It's nice to see some names that were regulars here but have disappeared. I don't know of Dollarama still sells that crappola tackle. It's just as effective as my 17 buck Live Target crappolla. I have gotten some great deals at the Sally Ann in Dunnville on tackle. Nothing lately.  Maybe a tourney for tackle that are antique now. Daredevils, Original 5 of Diamonds. Rappala's that say $2.99 from Towers, I would never want to lose that baby as I took it out of Len Malloni's tackle box years ago and it was old then. Sadly he passed last year. I miss him big time."
973292,G.mech,2016-06-12 14:12:00,830,"OMG this is a great Idea for a boys weekend a 4 hour tourney I just happen to have one comming up June 24 25 26 on Nosbonsing I'm gonna pitch this Idea to a few tonight  We used to do a pike tourney up at the camp where each guy got a boat, a spinning reel spooled with 50 yds of 6 lb mono, 2 wire leaders, and 2 lures of their choice.  Most lbs of pike caught before you lost your gear won.  There were some monster pike there and you kind of had to avoid them.  It was fun trying to drive the boat and fight a fish who was about to spool you but you'd be surprised how many decent fish were landed."
376769,bigugli,2009-08-26 15:45:00,6138,"Finally got my D'rama special out for a workout and do some jigging.  The jigs worked fine. One willing victim:   Unfortunately, there are 2 very large smallies with jigs stuck in their yaps. The line was far too brittle to hold a larger fish. I saw both. Almost had the one in the net. The bamboo pole, wrapped in duct tape, held up quite well. The reel doesn't cast for snot."
376784,Jonny,2009-08-26 16:27:00,1380," I was wondering how you'd make out with your ""home-made"". After all that effort in trying to find stuff, and jury-rigging, you got yourself an entry. Good show!"
377043,Cudz,2009-08-27 06:32:00,2652,"This has to be my fave pic so far this year.  To most people it doesn't look like much, but if you own this set up (which I do) you will know how rediculous this is.  lol.  I love it!"
377051,Fish Farmer,2009-08-27 10:25:00,2234,"Cudz I hope it stands up today, Chasing Rainbows off 50 Pt. I think it will be the last time I see the rod.   Will post verdict  I didn't get out on lake O, to rough  , went to Erie, should have stayed home, no luck on the Walleye. Lost 1 at the boat."
377620,bigugli,2009-08-29 02:44:00,6138,"Worked the D'rama special hard again. Ths smallies and gills really like them micro jigs they sell. I was having a ball jigging with the big cane pole. Had more than a couple of strange looks from folks passing by. Who cares I was catching a lot of fish.   The biggest to be landed at 12 1/2""    Had another go at one of the big smallies, the old jig still stuck in the side of his face. I even though I had him beat but one last run and snap.   Here's tomorrow's dinner guests.  A good number more went back before my evening was done. Good thing I always have 2 or 3 rods with me when backpacking."
377623,bigugli,2009-08-29 02:46:00,6138,D'OH!
377662,Fish Farmer,2009-08-29 04:00:00,2234,"No more dollarama tackle for me  , I've just witnessed one of their rods break   Bigugli, you gave it a work out  . Plus a fry to boot."
378658,Cudz,2009-09-01 01:03:00,2652,"I finally have an entry but with a bit of a tragic story. I busted out the dollarama gear and I tried to cast a bit.  Anyone who owns one of these reels knows that they don't cast worth a crap and they reel in the line even worse.  At $2 per reel I feel somehow I got fleeced.  Anyway, bad reel aside, I decided to troll one my baits that kind of looks like a little big O.  It was doing well and I had a fish on but lost it.  A few minutes later I got another hit and manged to land a 12.99"" smallie.  I don't think this combo can actually handle much more than that unless in the hands of a fishing Magician (TJ).   My line was a mess and I ended up hand bombing the fish in for the last 10ft or so. After landing the fish I was eager to get my nait back in the water but it would not run true.  It kept surfacing behind the boat.  The eye which connects to the line had come loose and made the bait spiral.  I tried trolling my other lures but no luck.  I had good intentions to start jigging when an unfortunate accident ended my dollarama dream.  My reel broke apart. Here are my pics.  Two easy perch and I could have won this thing. the setup  The fish (note birds nest line)  The measurement  The carnage "
378682,MCTFisher9120,2009-09-01 01:47:00,3761," lol, the birds nest and the last pic made me chuckle....lol good job on the bass"
