979130,chessy,2016-08-11 02:00:00,610,with the emails that just were released she and her foundation have some explaining to do
979144,glen,2016-08-11 03:03:00,2641,Post a link please.
979160,scuro2,2016-08-11 11:18:00,904,"Incredibly 50 of the nation’s most senior Republican national security officials, many of them former top aides or cabinet members for President George W. Bush, have signed a letter saying they will not vote for Mr. Trump...""Donald Trump is not qualified to be President and Commander-in-Chief. Indeed, we are convinced that he would be a dangerous President and would put at risk our country’s national security and well-being. Most fundamentally, Mr. Trump lacks the character, values, and experience to be President. He weakens U.S. moral authority as the leader of the free world. He appears to lack basic knowledge about and belief in the U.S. Constitution, U.S. laws, and U.S. institutions, including religious tolerance, freedom of the press, and an independent judiciary. In addition, Mr. Trump has demonstrated repeatedly that he has little understanding of America’s vital national interests, its complex diplomatic challenges, its indispensable alliances, and the democratic values on which U.S. foreign policy must be based. At the same time, he persistently compliments our adversaries and threatens our allies and friends. Unlike previous Presidents who had limited experience in foreign affairs, Mr. Trump has shown no interest in educating himself. He continues to display an alarming ignorance of basic facts of contemporary international politics. Despite his lack of knowledge, Mr. Trump claims that he understands foreign affairs and “knows more about ISIS than the generals do.”  “Well, I respond by saying that I wasn’t using any of them and they would have loved to have been involved with the campaign,” Trump said. “And these were the people that have been there a long time,” he continued. “Washington establishment people that have been there for a long time. Look at the terrible job they’ve done. I hadn’t planned on using any of these people. They don’t feel relevant because of that and they form a group and they go out and try to get some publicity for themselves and they hope that somebody else other than Trump wins because that way they can get a job,” he added.  Yup, what 50 of his own parties top security members said means nothing because they have too much experience."
979222,John Bacon,2016-08-11 20:29:00,3277,Reached a new low!!!  https://www.theguardian.com/us-news/2016/aug/09/trump-gun-owners-clinton-judges-second-amendment  Maybe not a new low; but low that has been reached before...  http://conservativetribune.com/hill-trashes-trump/  http://conservativetribune.com/the-media-loves-joe-bidens-jokes/  http://fightingfortrump.com/hillary-once-suggested-obamas-assassination/
979227,manitoubass2,2016-08-11 20:58:00,11391,"Im all for chatting. But this thread leads me to one conclusion...  ""If ignorance is bliss""."
979228,Spiel,2016-08-11 21:01:00,9065,"The continuous bashing of people and nations in the political threads are getting to the point where it is hurting the site without any real benefit. We have decided to limit them severely in the future.  ​Note, there may likely be some amendments to the forums rules. Stay tuned."
979229,aplumma,2016-08-11 21:16:00,6896,Yup time for a meeting after reading this thread and others like it recently it is apparent that people have taken liberties that just are not making this site a place for everyone to be comfortable at.   Art
978882,lookinforwalleye,2016-08-08 12:54:00,4399,Is this really what you want to discuss on a fishing thread? It reads like a pack of trolls talking about something that you have no say in. I am really close to locking all political threads since they seem to bring out the worst in people on this forum. Here is fair warning 2 people on this thread are going to be on modQ if they continue trolling members and fanning the flames of debate.  Hopefully this is all I need to say  Be CIVIL post FACTS not dribble from the internet and agree to disagree before typing an insult.   Art   Only 2...
978891,AKRISONER,2016-08-08 14:09:00,5558,"like rats from a sinking ship!  http://www.nytimes.com/2016/08/07/us/politics/donald-trump-gop.html  this is not surprising. If you are a republican candidate your focus is on getting elected to congress. I would press republicans at this point to forget about trump and worry about what goes on in congress where the real decisions are made.   The point about how he is a business bully is one that I have never considered but makes total sense. You hire a subcontractor with smaller capital, refuse to pay them and then cut them a deal for a much smaller portion of the agreed upon amount. You then indicate that unless they accep that offer they will have to sue you which inheritably slows everything down and costs you a pile of lawyers fees.  and what keeps contractors working for you is that you threaten any whistleblowers and potential new contractors see having their project with the Trump Label as a huge selling point so you just keep making people jump through hoops and bully everyone. Incredible."
978903,scuro2,2016-08-08 17:06:00,904,"http://www.nytimes.com/2016/08/09/us/politics/donald-trump-economy-speech.html New Trump statement on several new economic policies: ""...an end to the estate tax, exclusion of child-care expenses from taxation, and a 15 percent cap on all business income tax. He is also promising to use executive powers to impose a moratorium on new agency regulations. On trade, Mr. Trump underscored his opposition to the Trans-Pacific Partnership trade deal. He also wants to renegotiate the North American Free Trade Agreement and label China a currency manipulator. And on energy policy, Mr. Trump said he would tear up the Paris Climate Agreement and halt the United States’ payments to United Nations global warming programs"".  Also promised recently was to double Hilary's 275 billion commitment to infrastructure spending and lower taxes. All in all these promises should put the US much further into debt."
978905,GBW,2016-08-08 17:27:00,8460,"I watch it with some amusement, and cant help but think whats really gonna change with either in power I wouldn't trust him with a bottle rocket let alone the power to launch a nuke!  Google image the ""Trump Tower in Toronto"" and have a look at the peak of the building.  I sure does look like the building is giving the city the finger!  Why, cause he wanted his building taller and was told how much it was going to cost to move all the towers from the one building to his so he cut it short but left a 'peak'"
978912,John Bacon,2016-08-08 19:00:00,3277,"I saw this on Facebook...""I hear that Donald Trump is watching the Olympics tonight. He's seeing how high the Mexican pole vaulters go."" - Gov. Gary Johnson"
979016,67ZL1,2016-08-10 04:28:00,51,I think a lot of Americans need to educate themselves on the Clinton's starting about 1978. A few documentaries out there that are several years old about Bill and Hiliary.
979029,lookinforwalleye,2016-08-10 12:53:00,4399,I think a lot of Americans need to educate themselves on the Clinton's starting about 1978. A few documentaries out there that are several years old about Bill and Hiliary.   Oh I think most Americans are fully aware of the Bill and Hilary show...
979031,SirCranksalot,2016-08-10 13:27:00,3291,Reached a new low!!!  https://www.theguardian.com/us-news/2016/aug/09/trump-gun-owners-clinton-judges-second-amendment
