558368,idapaul,2006-06-12 19:22:00,82,need to shoot them not hang them . save the hemp for smoking
558370,Guest,2006-06-12 19:24:00,0,"I agree. Now there are some protesting the ""treatment"" these 17 accused ""terrorists"" are receiving. I guess they are innocent till proven guilty but in the end they deserve a good ole fashion hanging."
558377,Jimmy Jig,2006-06-12 21:07:00,1905,"Well, there will not be any rope used in Canada or bullets...."
558566,FISHNBOWLJOE,2006-06-18 20:32:00,80,"Just got back yesterday from the Kenora area. We were checked on the way in. It looked like it was random, although I don't think it helped when the guy driving said ""Good morning mam"" to the guy at the checkpoint. No probs on the way back. A few simple questions and the border guard said have a safe trip back, and we were on our way. Joe"
558572,FISHNBOWLJOE,2006-06-18 20:32:00,80,"Just got back yesterday from the Kenora area. We were checked on the way in. It looked like it was random, although I don't think it helped when the guy driving said ""Good morning mam"" to the guy at the checkpoint. No probs on the way back. A few simple questions and the border guard said have a safe trip back, and we were on our way. Joe"
558217,Guest,2006-06-08 23:31:00,0,"Jigmann....I think you need to go back and read your responses. The poor guy asked a simple question and you jumped all over him. The idea of this forum is for us to share information. If you got nothing to share then move on. For all you know this could be the guys first time on the site. I just read a thread about Lund Vs Crestliner which is a much older song and dance than this one. No one got upset in fact there were several lengthy and postive responses. I'm sure it raised the blood pressure of some, but they must have just moved on. Brent"
558254,jigman 2003,2006-06-09 21:34:00,981,"I think you need to go back and read all of my responses too. I apologized to the guy and to the board several times. While I do not feel that my responses were out of line the rest of you apparently do. Again, I see no reason to ask a question regarding increased border checks unless you are concerned about them. That's just MHO. I guess I don't get one of those here any longer."
558311,Guest,2006-06-11 22:40:00,0,"Just got back yesterday. Everybody needed to show driver licenses both diretions. Same questions, both ways. We got to the border at 10:30 on Saturday for our return trip, past noon when we got through. I got real nervous waiting in line because my low fuel light came on. But as I expected, I had enough. But next year, I'm putting some gas in at Vermillion Bay before we head back. I saw one guy walking with a gas can, so I wasn't the only one. :^) Fritz"
558328,Guest,2006-06-11 22:40:00,0,"Just got back yesterday. Everybody needed to show driver licenses both diretions. Same questions, both ways. We got to the border at 10:30 on Saturday for our return trip, past noon when we got through. I got real nervous waiting in line because my low fuel light came on. But as I expected, I had enough. But next year, I'm putting some gas in at Vermillion Bay before we head back. I saw one guy walking with a gas can, so I wasn't the only one. :^) Fritz"
558336,MoWalleyeguy,2006-06-12 08:53:00,409,Legit question .... Ive been checked before. Took 45 minutes. Ive been through 7 times and checked once. Good luck and have a great trip!
558319,MoWalleyeguy,2006-06-12 08:53:00,409,Legit question .... Ive been checked before. Took 45 minutes. Ive been through 7 times and checked once. Good luck and have a great trip!
