955221,Sinker,2016-01-28 13:24:00,8692,Nicv bike. A buddy of mine just got one too. He also bent part of the plow. What did you break?  S.
955225,can u fish,2016-01-28 14:37:00,326,"Congrats Simon you will enjoy that 700 grizzly for many years to come as for a 2 up seat I would highly recommend a seat from Rototeck industries they are made in North America I put one on my 700 grizzly and I am very happy with it here is the model # if you are interested 99RK-010 check out there website they have other models to choose from www,rototeck.com  Cheers Mitch"
955245,wormdunker,2016-01-28 17:12:00,1711,"Manitou - 15 Grand with the tracks, 2 up seat & other options I see in the photo.  Jump on it!  The bare bike is $11,500.00 in Niagara, tracks are around $3500.00.  What's the cost of a bare bones 700 Grizz in your area?"
955248,manitoubass2,2016-01-28 17:21:00,11391," I still think ill hold off a few years and buy a gator with a set of tracks.  So much more possibilities+heat lol  Simon, what was your cost?"
955271,limeyangler,2016-01-28 21:37:00,5204,"Im not sure I never looked???  I still think ill hold off a few years and buy a gator with a set of tracks.  So much more possibilities+heat lol  Simon, what was your cost?   Yeah jump on it…the tracks are $5k, the bike $11500.  Mine came in at $13.5k out the door with a 60"" plow, heated grips/thumb and cover."
955272,limeyangler,2016-01-28 21:39:00,5204,"Congrats Simon you will enjoy that 700 grizzly for many years to come as for a 2 up seat I would highly recommend a seat from Rototeck industries they are made in North America I put one on my 700 grizzly and I am very happy with it here is the model # if you are interested 99RK-010 check out there website they have other models to choose from www,rototeck.com  Cheers Mitch   LOL…you read my mind…I was about to ask if anyone could recommend a 2 up seat…THANKS….checking it out right now!"
955281,icefisherman,2016-01-29 00:15:00,952,"  LOL…you read my mind…I was about to ask if anyone could recommend a 2 up seat…THANKS….checking it out right now!  Simon,  just bought one myself for my 700 Grizzly. Here is the link:  http://www.wesindustries.com/home/  Excellent quality, design and top notch customer service. Huge amount of room inside and very comfy to sit in. Even bought the spare 4.7L gas container that fits inside the seat.  Here are couple shots of mine:           You can do it online or call on the phone and speak to Luc Hamel - Sales & Marketing Manager. Great guy. Tell him I send you....he'll go out of his way to assist you.  P.S. Don't tell your wife I told you, but now you also need to get fender protectors and fender flares. Installed mine the other day... ;-)  Cheers, Ice Fisherman"
955282,Fisherman,2016-01-29 00:22:00,7201,"Promised you pics, here they are.  Remember the snatch block goes on the plow, the winch hook goes through that and up to the front carrier bar.   "
955284,mr blizzard,2016-01-29 00:33:00,1589,"Promised you pics, here they are.  Remember the snatch block goes on the plow, the winch hook goes through that and up to the front carrier bar.    Fisherman that a hoop of an idea, does that cloth strap just wrap around the inner tube and the hook or does the strap go around the lower steel bar as well, going to do that to ours thx"
955290,Fisherman,2016-01-29 00:53:00,7201,"No the black strap just goes around to hold the tire tube, a little easier to get the hook on and off if we have to dump the plow real quick."
955309,wormdunker,2016-01-29 03:02:00,1711,Thanx for the pix.  It shows your idea very well.  I like the inner tube idea.  Awesome!
955655,ch312,2016-02-01 14:44:00,1590,Been using the same method as Fisherman for 3 seasons with synthetic rope with minimal wear. Before switching to this I used a steel cable straight from winch to plow and broke the cable the first winter using it.
