592167,lew,2011-06-12 09:35:00,12766,"Atta boy Wayne, good to hear you finally got it out !!"
592168,blue pickeral,2011-06-12 09:52:00,267,"Glad you got that out....checking every so often for progress...  Is it common to get bad plugs that are brand new?  If a person didn't have a 'spark plug tester', is there another way to check plugs?"
592216,cuzza,2011-06-12 15:46:00,467,This stuff might do the job http://www.loctitefreezeandrelease.com/ it might seperate everything enough that the expansion of the EZ-out won`t matter. Alternatively - can you get a big Torx socket and hammer it in first then freeze it?  Sorry - for some reason I couldn't see pages 2 and 3
592267,duckdog,2011-06-12 21:26:00,162,inside pipe wrench? used them at work a few times for the same reason
592278,Spiel,2011-06-12 22:04:00,9065,It begs to be asked..... Lose any knuckle skin?
592282,irishfield,2011-06-12 22:21:00,26272,"LOL Chris... only one cut on my right hand!  Another long day... prior to working on getting the plug out, it would start on 2 cylinders. After all the welding on the exhaust yesterday I couldn't get it to start today and figured maybe the condensor finally packed it in as am definitely fighting a spark issue as well. Thought for giggles I'd do a compression test on the old beast... center cyl 95 psi.. front 32.. rear ZERO ! DANG.. did I burn a hole in the piston.. couldn't have as it was pumping air when I cranked it to blow any last crap out yesterday.  I looked in with a flash light today and saw what I though was melted aluminum... DAMN I did burn a hole in it, but no it can't be.. no way. Compression test again... ZERO..HMMMM. So I'm thinking.. maybe I did burn a small hole in the piston and just can't see it, so I put a 1/4 quart of oil in on top of the piston to see if it would drain thru into the case. It did not. So now I'm thinking the only way to get ZERO is a valve must be stuck open, so I vacuumed out the oil and took the rocker cover off and I find the exhaust push rod sitting beside the rocker arm. How did that happen??.... I guess while welding the exhaust enough slag went in the exhaust port and collected on an open valve face and this was what I saw reflecting off the piston top when I shawn the light in that looked like melted alum. So the valve stayed open.. and the push rod fell out of the rocker. Got it all fixed up and still had ZERO. Gave the valve a few wacks and it crumbled what ever was left in there and I suddenly had 95psi on that one toooo !!   More investigating and I found no clearance on the front exhaust rocker arm. Once I backed that off and gave it a little lash the front cylinder jumped from 32 to 95 as well !    Amazed that valve hasn't burnt right off... with it sitting open a tad for all these years. Exhaust all welded up, new muffler installed that I've had sitting in the shop for a decade and it purrs!  Only question remains is why I'm doing this just so my son can use it. It's never ran this good in all the time I've owned it (since 1995!). Oh yah, at 28 years old... I'm tired of excuses as to why he hasn't started his house build next door.....   Hard for a guy like me to understand, as I left home at 17 and was on his 3rd home by that age."
592290,Spiel,2011-06-12 22:33:00,9065,"LOL....Hindsight is perfect Wayne, as you know. Have you read my new sig line...."
592298,JeffBornFishin,2011-06-12 22:47:00,260,I knew you could git r done  Cotton balls...got no rope?   Just funnin'  Well done.  Nothing satisfies like fixing something no matter how long it takes
592379,Twocoda,2011-06-13 01:28:00,4130,Good Job ...but you do realize...HE could have rented a machine for the day to do his landscaping and YOU could have been fishing....but its nice to know you have a dozer ready to go should the next task arise...i had an old  Jager 150 CFM compressor in the same situation ....i ended up pulling the head AND heli-coil  Good Job!
592380,irishfield,2011-06-13 01:32:00,26272,"""DAY"".. LOL... he'll be on it for weeks and weeks.  I guess the bonus for me... if he doesn't kill it.... then it means I have my machine back on line with a skidder winch on the back for fall wood cutting, and I'm gonna start by taking oaks and maples from his property!!!!"
592396,Daplumma,2011-06-13 02:06:00,1961,"Get a portable log sawer thingey..sawmill! thats it,get one of them things and build a barn for the bull dozey thingy.. Joe"
592404,danc,2011-06-13 02:45:00,4677, Of course he did Chris. I saw him shed blood exiting his amphibious airplane when he bumped his head on the wing. Something he's done thousands of times before. I'm bringing a needle and thread next time I hook up with him.
592405,irishfield,2011-06-13 02:48:00,26272,
592407,danc,2011-06-13 02:53:00,4677, LOL Wayne. Good times my friend.
592409,Twocoda,2011-06-13 02:58:00,4130, Yep the times are a changin...i can remember when it was only kosher to play doctor with a member of the opposite sex
592410,irishfield,2011-06-13 03:00:00,26272,Can't wait to get there again... just no 4 foot waves to try to die in landing this round...    
592418,danc,2011-06-13 03:11:00,4677, I can't count how many Specks I've caught in the view of that shot Wayne. I booked a few days off around the full moon (no co-incidence there) the second week of September. Let me know if you're interested.
592419,irishfield,2011-06-13 03:15:00,26272,We'll see where we're at here Dan.. and keep it in mind! Bad time of year for X country.. will have to do it via Hearst/Geralton this time as I'm not sleeping on the Marathon terminal floor again....
