6363936,jkretch,2019-10-10 06:29:00,80,What's the ;latest? Heading up to Vermilion Bay tomorrow. Thanks.
6363956,eyecatcher1,2019-10-10 07:14:00,323,When I came home on 9/21 the first 6.9 miles of 502 from the south was gravel. I would hope that it is done by now.
6363960,prov1800,2019-10-10 07:16:00,5010,Looks like a wet one all week.
6348834,Bstar,2019-08-10 15:15:00,564,The south end work is just the culverts. They haven't started any resurfacing yet
6350616,x4flatfish,2019-08-16 11:06:00,319,Anyone been on 502 this week? Want to keep this thread going as I will be heading that way in a week. Thanks
6350794,MOfish,2019-08-17 04:52:00,39,We're headed up Today. I think we're going the 71 route. It's only 20 minutes longer according to Maps
6350798,Carnhzkr,2019-08-17 05:14:00,964,"Just drove north last evening. 502 is fine. Most of the culvert repairs are fine to drive over. There was one that I wish I'd have slowed down a bit for but the others were no biggie. There was no area of removed pavement as was the case two months ago. There was one spot where they're putting in a large culvert and it's a single lane with flag men, but other than that its in great shape."
6351344,law57,2019-08-19 18:37:00,1147,Came back (south) today - 8/19. The southern ~30 miles has many culvert 'hump/bumps'. I slowed for them - don't see any reason to launch the boat. Some weren't bad - some were worse. It appeared that they will begin paving the southern part of the road. One lane was devoid of pavement - I don't know if it was covered with gravel or removed. But t here was maybe 1/2 mile of single lane. No problem on a Monday afternoon. I made it the 502 trip in 2 1/4 hours. I stopped a few times to pee and to tune my MP3 player. I'm never in a hurry. It's a beautiful drive.
6352178,lazermule,2019-08-22 12:17:00,86,"I traveled it the same day. The farthest north culvert crossing is the worst, so you'll want to slow up for that one for sure. Monday morning they had already starting grinding pavement. The north was in good shape up near Dryden, but yest the southern 30 miles were a challenge.LM"
6355692,StonyRun10,2019-09-04 08:11:00,12,It's been over two weeks since there was a report on Hwy 502 conditions. Anybody been up that way more recently that might have an update?
6355700,x4flatfish,2019-09-04 08:42:00,319,"Came home last Saturday. They were not working on the road as it was a holiday weekend. The south end is still under construction. There was a several mile stretch where both lanes are gravel. If you go while they are working expect some delay as they pave 1 lane at a time making you wait for oncoming traffic. It is not terrible but just be aware and slow down for the culvert repairs where there are bump signs. Just drive cautiously and be aware of the all the other idiots around you, and trust me there are a lot them. Mostly Americans that can't take an extra 15 minutes to arrive safely at there destination. Be safe"
6355702,IaDave14,2019-09-04 08:43:00,99,Came back Sat 8/31 all construction is on the last 20-30 miles or so on the south end. Hit a patch of gravel maybe 1 mile long - both lanes were open.On the way up that stretch was one lane. There are also the culvert replacements that are gravel and the bumps weren't bad. No problem at all but we went thru when dry so no crap on the boat that I had to clean off.Who knows what to expect now they have to asphalt that patch of gravel sometime I would think.
6355800,TRapperJones,2019-09-04 15:26:00,36,Ditto..have to watch for bears on that road...bout tagged one with the bumper coming down the gravel stretch last Thursday afternoon
6344750,ia bhtr,2019-07-27 20:39:00,212,"Wife and I aren't going for a month yet , flip of the coin for us Baudette or I.F. , already made up my mind Baudette and 71 , I know that road is good from our trip last month"
6345382,Fred_G,2019-07-29 21:09:00,908,Drove up 502 yesterday. Other than the culvert issues at the lower end the only gravel was approximately 2 miles that looks ready to be paved. I expect that will be done by the end of this week. All of the equipment was there just waiting to be used.
6345546,38bill,2019-07-30 10:58:00,331,FYI: Came home from the VB area this past Sat. We go #71 to #11 and then cross at Baudette MN. There is some bridge work being done on the northern end of #71. Not really a problem but expect to see several temporary stop lights were it goes down to one lane. #11 going west from #71 also has a bridge or two under construction and several blocks of rough gravel on the east end of Rainy River. All in all not a big deal.
6345548,Guest,2019-07-30 10:59:00,0,"can you expand on the ""culvert issues at the lower end"" comment? Heading up 502 on Saturday, kind of wondering what I'm getting myself into... Thanks! -42"
6345550,'Taterguy,2019-07-30 11:10:00,33,"They replaced several culverts and the patches in the asphalt are a little rough. I think I counted maybe 32. All are marked with ""bump ahead"" signage and at the actual bump there is a universal ""bump"" symbol sign. Looks like saw teeth on the sign to me. We were in a van pulling a small trailer. Some were rougher than others but slow down and not a problem. This was 10 days ago. It is my guess that they are going to repave the lower end as well. Not sure if they'll do it yet this season or next."
6346334,Slim03,2019-08-01 15:01:00,159,Just came down it this morning. About 1/4 mile of gravel is all we had and looked like they would be done paving this week. South end lot of culverts and road is marked up and appears that they will be starting it soon.
6348808,Bstar,2019-08-10 14:00:00,564,We drove up today and the culvert and road construction aren't even worth mentioning. Just a couple of heavier bumps at the culverts on the south end. The north end is all but finished.
6348812,reddemon2,2019-08-10 14:16:00,255,Perfect heading up tmrw
6348820,Bstar,2019-08-10 14:30:00,564,I was pulling a small trailer with no issues. Have a good trip!
6348832,BornToFish,2019-08-10 15:12:00,1224,"Greetings, It appeared to me several weeks ago that the crew would start paving the south end of 502 when they finished with the stretch of road on the north end. How is the stretch of road on the south end of 502? Is that work finished or not yet started? My wife and I head up 502 Friday morning. Very kindest regards...."
6341114,NARDA 1,2019-07-15 16:51:00,636,According to Google Maps 71 is 50km longer. I have taken 71 the last several years. I think it is a better route.
6341248,pjshorthorn,2019-07-16 06:04:00,5654,"We took 71 up to Vermilion Bay back in June and it was in great shape. It is an easy and scenic drive with a few nice views of the eastern most end of LOTW. It is slightly longer than 502, but not enough for me to worry about. To me, the drive is a big part of the adventure and I would much rather look at the scenery vs.worrying about where the construction is and how rough it may be. You have Nestor Falls and Sioux Narrows as towns where you can make stops if necessary and there are a couple of roadside places you can also pull off for an emergency bio break if necessary ( no using the woods as there are fancy outhouses). We stopped in Sioux Narrows at Gill's for a few things. It has a bit of everything from groceries to a bait and tackle shop, gift shop area and breakfast sandwiches which looked to be fresh made each morning. A really nice place. They have fuel and outside washrooms as well. Have fun on your trip. PjShorthorn"
6341258,Pooch,2019-07-16 06:19:00,4618,"502 has me considering rock guards on my truck for the trip. Not sure they are worth the hassle though. If one has a really nice high end boat then for sure. Pulling a tin boat? Maybe, just to keep from mud'n up your boat. Putting your boat in the water and hoping to get it clean is futile. Trust me.Pooch"
6342048,bigwalleye1,2019-07-18 12:28:00,2632,"My timing sucked yesterday. third vehicle behind the water truck for the entire 20 klick dirt road portion of the 502. Thankfully, rain from Pelland to Deer River hosed off a lot of it."
6342828,reddemon2,2019-07-21 14:36:00,255,"Just went thru this morning, All new road just south of the 502/594 jct, Couple miles of bare gravel, I would imagine by Monday or Tuesday it will be all paved, After that it's just sections where the culverts were replaced. Talked to a flagger on our way up last week and he said the whole section of 502 is getting repaved."
