369884,BillM,2009-08-05 17:42:00,17367,  Lots of places do exactly that...
368813,Dara,2009-08-01 23:15:00,3052,"Single parent welfare aside. Child care is what you need to go to work to make money. If you don't make enough at work to pay a sitter, why should I pay your sitter. One parent can go to work, one can take care of the kids. This is why taxes keep going up. To give little sectors of society special perks. Education is a totally other matter. Yes, the population needs to be educated so the country can prosper. Mr Fishnwire, you got your education, now consider your taxes paying for that."
368870,Fishnwire,2009-08-02 02:37:00,983,"Dara, I think you missed my point a little bit.  I realize that children need to be educated and don't begrudge seeing my tax dollars go toward that end.  I thought I made that clear.  My point was that although one's natural reaction might be to feel that the cost of educating other's children might seem like an unfair burden to bear, if you think about it for a minute, any clear-thinking person can see that it's the best (and only) option.  I was suggesting that it could be argued child care is a simular scenario.  It's all fine and good for you to say "" single parents aside""...but what exactly do you mean by that?  Single parents make up a significant portion of the population, they have problems they'd like to see addressed and they're voting citiziens...it would sure make things easier for the whole system if we could simply cast them aside, but that's not the kind of thing Canadians do.  We're better than that.  I'm not suggesting we give low-income people free beer, I'm saying maybe they should have someplace safe and affordable for their young children to stay while they're at work.  You would really deny them that?  Even if you only care about your wallet, you can see it's cheaper to pay for day-care so someone can work than to pay them to stay home not working, not paying taxes and possibly getting other forms of government assistance."
368877,ch312,2009-08-02 03:15:00,1590, seriously?  i cant figure out why anyone even votes for those dirty...(use your imagination to end this sentence)
368879,Dara,2009-08-02 03:31:00,3052," Yes, low income single parents could use more help I do think welfare payments are too low right now. I would prefer that welfare rates are raised so that those single people can be there to raise their children rather than having the ""system"" raise them. Why have kids if you are just going to hand them over to a daycare place Child care being proposed won't be specifically for them. It will be for everybody regardless of income. If we keep going along the lines we are, pretty soon the government will be doing everything for us and we will just work for the services they provide. Maybe they can start a government lawn care service so that I can work saturdays too, you know, to make enough to pay the tax these services will cost"
368913,Fishnwire,2009-08-02 13:28:00,983,"  I'm confused.  You want the government to take active steps to get working people to quit their jobs so they can stay home on welfare?  How's that better for anyone?  Requiring day-care for the few years between when a new parent returns to work and when the child is old enough for kindergarten is hardly ""having the system raise them.""  It's a necessity for most working people.  Forget about single parents...do you think one parent staying home is a financial possibility for most Canadians?  Most parents would love nothing better than to stay home and spend every possible minute with their young children, but simply do not have that option.  You ask ""why have children if you're just going to hand them over to a daycare place?""  Are you kidding?  You think everybody who uses daycare is being a fundamentally poor parent?  Just because you wouldn't benefit from some form of state-assisted child-care, it doesn't mean that thousands of others wouldn't, or that those options shouldn't be explored.  The difference between day-care and lawn-care is that enough people are affected by day-care to make it an election issue.  That's why we're talking about it.  Because so many voters care.  Because children are affected.  I don't want the government ""doing everything for us"" either, but that's not what this is about.  It's about them attempting to address a problem facing a lot of Canadains...that's what the government is (supposed to be) there for.  No?  Like I said before, we're not talking about free beer to people who don't have jobs...it's a safe place for working people's kids to stay for a few hours each day while their parents are being productive, tax-paying members of society.  I still can't believe anyone would deny them that.  Dara I could be way off base here, but it sounds a little bit like you were able to get by without the need for assisted child-care, and maybe you feel that as such, everyone should be equally non-reliant.  Unfortunately, not everyone has the same advantages, or faces the same challenges as everyone else.  That's what sometimes makes a policy which is necessary to members of one group unpopular with members of another...but nonetheless, still in the best interest of the whole.  I have a feeling neither one of us is going to change the other's mind on this issue.  So we may have to just agree to disagree.  It's been enjoyable talking with you though, and look forward to further exchanges of ideas with you anytime.  Cheers and tight lines!"
368988,Dara,2009-08-02 19:35:00,3052,"Mostly I just feel that our government is suffocating us and wasting way too much money. Every time somebody comes up with another want, it raises taxes for everybody. If they want this, then program, then cancel something else. If they cancelled the gun registration they would have money for child care, or some anyway. but somebody out there wants gun control. What about all the laws we pay to make that are totally rediculous. Child helmet law for bicycles. You ever see this enforced? Do you have any idea how many millions of taxpayer dollars it cost to make that law. How bout the boating license. We all agree it is pretty much useless. That money could go to child care. Cancelling the spring bear hunt. How much did that cost. And for no reason other than election kickbacks. How about we figure out what we really need and get that, instead of getting everything some politician decides to make an election issue. All they do with election issues is promise what will get them in and then use that to pass a whole bunch of laws to further restrict us. I was at a wedding last week. There was free wine on the tables, and for some reason you can't sell any other alchol from the bar till the free stuff has been removed from the tables. Why, because they may loose 5 bucks in taxes. Its getting rediculous."
368996,Canuck2fan,2009-08-02 20:36:00,1444, I have the EXACT issue trying to figure out how people can do the same with them Ontario Conservative retreads in Ottawa. That having been said I still believe our democractic process is worth having to wonder about these things. LOL
369117,Chris,2009-08-03 11:10:00,405," The thing everyone will come to realize at some point in their life is that ALL politicians are working for big business and big business don't give a crap about anyone but themselves and their bottom line. Conservative....Liberal....NDP.....all one and the same. After their nasty and hateful debates they all go to the taxpayer funded restaurant at parliament hill together for lunch. They give you a choice to make you think you are making a difference. Anyone who still believes that politicians are there to help the people have been caught up in their grand scheme. Everyone used to laugh at Lundboy, but if you even read just a few of the links he provided you would start to see how the whole thing operates. BUT....it's easier not to take the time to read those links and to cry ""conspiracy theorist"".......and that's exactly how politicians/big business want you to react. They wouldn't wield as much power if we all weren't such a bunch of sheep."
369118,Roy,2009-08-03 11:39:00,13728,"You're right, Chris. People are intimidated by government. Most politicians left 350K per year jobs to take 100Kto ""serve the public"" wink wink, nudge nudge. Face it folks... we have an ultra socialist government, and I'm using the polite term here."
369140,Fishnwire,2009-08-03 14:40:00,983,"  I could not disagree more.  Our government is controlled by and interested primarily in the best interests of big business and the owing class.  I think most of us would accept that as fact.  Nothing could be further from the very definition of ""socialism.""  You're a smart guy Roy, I'm sure you know the difference between Socialism and Fascism.  I was surprised to see you make that comment.  Heck, compared to the lap-dogs for the ultra-wealthy we have right now, I'd welcome a splash of ""ultra-socialist"" in the mix.  How much worse could they do?  Someone who cares more about working people than taking contributions from big oil and the insurance companies would be a welcome change, as far as I'm concerned.  Unfortunately, regardless of polital stripes or best intentions, elections are generally won by who spends the most money at election time.  To get that kind of money, you simply have to accept contributions from the wealthy.  Of course you'll require their ""generosity"" come re-election time, so you make darn sure you keep them happy in the meantime.  Working people can't hope to get anything other than screwed."
