839199,TJQ,2014-03-01 19:29:00,7806,Welcome aboard!!
839329,Gerritt,2014-03-02 19:46:00,6129,"Welcome from just down the ""bore01"" from you. I live In Brighton and work in Belleville, I also drive to Kingston often to hit up Costco and to visit the best crappy tire I have ever been in.... I had no idea crappy tires had giant fish tanks at their gun counters until I visited the one in Kingston. It's a sweet location.  If your ever in quinte and I am free send me a pm  G."
839506,akaShag,2014-03-03 20:09:00,2073,"Thanks for the welcomes, folks.  Looks like a great site!Doug"
840880,akaShag,2014-03-12 19:01:00,2073,"OK I have been here a few weeks now and have learned a few things:1.  Most of the folks here are polite and respectful of each other's opinions.  2.  To see where number 1 is not necessarily true, follow threads about Conservation Officers and/or Lake Nipissing.  3.  My machine will not let me use the QUOTE button, nor can I make any ""hot link"" button work.  (yet...)  4.  When I enable html for a response, the spaces that I carefully insert for reading clarity disappear.  So far, so good, but I really do need to figure out some of these computer glitches.  Doug"
840895,aplumma,2014-03-12 20:29:00,6896,Doug please post what you are doing to quote as well as what operating system you are using. I would suggest you download Chrome and try to use the features it seems to be one of the easier glitch free programs. We are aware that IE is not friendly and as they change there versions it has been problematic at best. You can also start a thread in the Computer section and others will be happy to help you.   Art
840901,akaShag,2014-03-12 20:42:00,2073,"Thanks Art.  I am using Windows 7 Professional, and do not have these problems with quite a number of other Internet sites....  When I push the ""Quote"" button on  a post that I would like to quote, essentially nothing happens, and it does not show up in my reply box, neither on the first page nor on a ""more reply options"" page.  I can cut and paste by enabling html on the latter page, but then the text appears with no spaces.  And on a hot button, usually I get a little yellow star with an ""X"" in it (which leads me to think it is a pop-up blocker problem).  That one I think I can fix if I fart around with it long enough................  Ah, the heady challenges of an Internet Adventurer!  Doug"
840906,davey buoy,2014-03-12 20:49:00,5505,"Thanks Art.  I am using Windows 7 Professional, and do not have these problems with quite a number of other Internet sites....  When I push the ""Quote"" button on  a post that I would like to quote, essentially nothing happens, and it does not show up in my reply box, neither on the first page nor on a ""more reply options"" page.  I can cut and paste by enabling html on the latter page, but then the text appears with no spaces.  And on a hot button, usually I get a little yellow star with an ""X"" in it (which leads me to think it is a pop-up blocker problem).  That one I think I can fix if I fart around with it long enough................  Ah, the heady challenges of an Internet Adventurer!  Doug What browser Doug?,I use mozilla firefox with no issues."
840912,akaShag,2014-03-12 21:09:00,2073,"Internet Explorer (I think)  Not Firefox, for sure..........."
840913,davey buoy,2014-03-12 21:11:00,5505,"Internet Explorer (I think)  Not Firefox, for sure........... Best go firefox or chrome and you will be fine."
840914,akaShag,2014-03-12 21:13:00,2073,"aplumma also suggested Google Chrome.  I tried it twice, hated it, had any number of problems with it and cannot see myself going back to it.  But I am an old fart and not only technophobic but also a technonincompoop..................."
840915,davey buoy,2014-03-12 21:16:00,5505,"aplumma also suggested Google Chrome.  I tried it twice, hated it, had any number of problems with it and cannot see myself going back to it.  But I am an old fart and not only technophobic but also a technonincompoop................... Download mozilla firefox latest version.Does not have to be your default browser,but save it to desk top.That way you can use ie or mozilla firefox when you need to.Should not take to long.Give it a shot."
