1002491,Triton Guy,2017-05-07 00:37:00,8,Sweet ride!
1002504,buick14,2017-05-07 11:56:00,741,"I love the look of the new chevys and fords, but ended up picking the ugliest one out there - ram 1500 ecodiesel because of fuel mileage.  Well, that was a mistake ... live and learn I guess.  All you people with your sexy trucks I had a neighbour growing up who was a hardcore molson ex drinker who drove a blue Dodge Ram-he used to scare me with it and peel up and down the street.  His name was Chester .  Long story short, I had to try one for myself...."
1002509,camb,2017-05-07 14:19:00,3,I just picked up a new Silverado nice truck
1002548,limeyangler,2017-05-08 00:35:00,5204,Cool truck bruvva!
1002549,smithy97,2017-05-08 01:07:00,70,"My 2005 Silverado Z71 5.3L is still going strong, love that thing! Congrats on the new ride!"
1002551,manitoubass2,2017-05-08 01:39:00,11391,"Fun part was teaching the wife today. She's never drove a truck in her life, so that was pretty fun offroading, hill climbing and parking lessons lol  Thanks again guys!"
1003279,tomkat,2017-05-14 03:11:00,246,Ford Raptor kills everything no?
1003284,manitoubass2,2017-05-14 03:27:00,11391,"Nah, if I could afford it I'd buy a tundra"
1003318,Mister G,2017-05-14 14:49:00,1429,"Nah, if I could afford it I'd buy a tundra http://www.msn.com/en-us/autos/autos-trucks/million-mile-tundra-the-tear-down/ar-BBAXenb?OCID=msnHomepage"
1003327,manitoubass2,2017-05-14 15:40:00,11391,Good read!  Partially explains why it's so hard to find a used one.
1003347,Mister G,2017-05-14 17:13:00,1429,http://www.trucktrend.com/features/1602-the-million-mile-2007-toyota-tundra/
1003350,manitoubass2,2017-05-14 17:21:00,11391,"I too tested these in the oilfield.  Best truck ever. But, the one I want is 20 grand over the Silverado, which was our second choice.  It's actually the similar truck my dad wanted, but couldn't get approved for, so he got a fully loaded dodge 2500  He's pissed at me right now lol"
1003361,Mister G,2017-05-14 19:59:00,1429,20 G's more.............O U C H  ! ! !
1003364,Old Ironmaker,2017-05-14 20:12:00,8243,"My next door neighbour bought his new then 2011 F-150, similar to Wormdunkers. I was impressed even thought it was a Ferd. I went to see the dealer he bought his from for a price I liked it so well. Nice interior and a lot of bling, 22 Grand more than I paid 22 grand for some chromed plastic and plastic wood is crazy. GM gave me $3500.00 to retire my 88' Sierra with over 600KMs on it that was worth scrap price plus the newer battery, which they let me take out. Add that to %10,000.00 cash incentive and $2500.00 scratch and win and I'm under 30 grand than the 52 grand Ferd. And he has had nothing but problems including a scored cylinder that happened outside his warrantee date. He had a hell of a time keeping air in the tires because of the not round alloy wheels which he eventually had changed under warranty but Ford put on much cheaper steel wheels and zero cash allowance. Some silly stuff like the plastic wood popping off."
1002387,GBW,2017-05-05 18:27:00,8460,I just got home with the new 2017 Cruze Hatch 6-spd and man it's fun
1002388,manitoubass2,2017-05-05 18:32:00,11391,Sweet dood!!!! Gonna save some mula on gas too!
1002389,GBW,2017-05-05 18:38:00,8460,Sweet dood!!!! Gonna save some mula on gas too! Yes for sure but Ins does cost $400 more a year than the 2007 Ram 1500 cost.
1002390,GBW,2017-05-05 18:40:00,8460,"here it is...  even a custom plate, lol! "
1002392,manitoubass2,2017-05-05 18:41:00,11391," Im shocked, our insurance is ok. Im still jealous of Saskatchewan though lol  Not sure if it's still true but it's used to be like 400 a year, possibly less"
1002393,Mister G,2017-05-05 18:41:00,1429,"And just think, the oil fields ""might"" just keep that truck from rusting away.........LOL  Enjoy the new ride and no speeding for the first month....."
1002395,manitoubass2,2017-05-05 18:45:00,11391,"Hahaha. Don't work out there anymore. I'd never bring my vehicle in the crap we drove through.  Can't speed here either. Super trap on either side of emo because of all the American traffic. Youde be amazed how many people get nabbed going through a town of like 2500  Toronto trip soon though, hell with gas prices, im taking the truck instead of the suv"
1002396,manitoubass2,2017-05-05 18:46:00,11391,Nice!!!!
1002402,manitoubass2,2017-05-05 19:07:00,11391,  And she's home????
1002423,Old Ironmaker,2017-05-05 23:28:00,8243,"You sound like the guys at the Steel Plant that would never drive their good vehicles in there. OK to bring our frail human bodies in there but never our shiny cars and trucks, C'mon Man! If it's good enough foe me my Vette is fine.   That is one nice ride Rick, congrats. A coat of New Finish once every few or 3 years will keep it looking new forever. With the new clear coats out of the GM factories no wax required. Not for the unfortunate, for owners repairing daily (FORD) or the goat trucks. Imagine naming a line of tuff trucks Goats, bhaaaaaaaaaaaaaaaaa."
1002427,manitoubass2,2017-05-05 23:55:00,11391,"Lol, work trucks mAh man. Not even allowed your own vehicle(insurance related)"
1002430,ecmilley,2017-05-06 00:06:00,2163,"nice truck, much better than the liberty may it serve you well"
1002432,Mister G,2017-05-06 00:18:00,1429,"oh I do, just not for you It's hard when all you have is a parking spot at the local town trailer court, but hey at least you keep trying."
1002442,misfish,2017-05-06 01:35:00,29133,"Yes for sure but Ins does cost $400 more a year than the 2007 Ram 1500 cost.  When I went from the 2012 Avenger, to the 2014 1500, my issuance dropped $400. Interesting."
1002444,muskymatt,2017-05-06 01:46:00,2608,Gotta love a Chevy! My 5.3l Silverado is amazing. Congrats!!
1002448,Raf,2017-05-06 01:52:00,3495," When I went from the 2012 Avenger, to the 2014 1500, my issuance dropped $400. Interesting.  I'm no insurance agent, but these days I think they look more at how likely they'll have to pay out for parts to fix YOU not the vehicle in the event of an accident.  You're less likely to get hurt (or worse) in the RAM than in the Avenger.  Used to be the crappy little 4 bangers were cheapest to insure, not anymore."
1002452,leaf4,2017-05-06 01:57:00,2466,"Similar thing happened to the girlfriends dad, from what he was told if he was in an accident in his f150 vs the Elantra, it was likely the damage would be far worse on the compact car vs the truck"
