525909,Todd_NE,2002-12-19 09:56:00,1330,"Amen brother!Yup, got her... feel that head shake!"
525906,Guest,2002-12-19 17:02:00,0,"In response to how thick is the ice!Ice thichness on the Red is approximately fourteen to fifteen inches.In a nutshell, it's in great shape and safe to travel on.I wish I had a more positive or optimistic report on angling success, unfortunately I don't. The bite has been painfully slow, ever since we been experiencing this warm spell. Water quality (visibility) is extremely poor and in my opinion, this is the main reason as to why the bite isn't happening. When the temperature cools down and becomes more seasonal, the water quality should improve and so should angling success. (Living in this part of the world, I never thought I'd ever be hoping for colder weather conditions, go figure!)Fish Hard Forever!"
525907,Backwater Eddy,2002-12-21 04:57:00,3871,"I did read that deal on the ""Clean Water Act"" and what Mr Bush has in mind ""Cat""illac man.What a pile of greasy pelican poop that is....Eh!$&#&@# pure Madness!:(""Backwater Eddy""..><sUMo>"
525908,Backwater Eddy,2002-12-23 12:31:00,3871,"OK, For those who may think this ""Clean Water Act"" issue is just the chicken little ramblings of the liberal special interest groups, and ""Anti's"", you may wish to read this letter.http://www.fisheries.org/AFS-CWAletter.shtml(18 December 2002)The Honorable Christine Todd WhitmanAdministrator, U.S. Environmental Protection AgencyAriel Rios Building, Room 30001200 Pennsylvania Avenue, N.W.Washington, D.C. 20460 The Honorable George DunlopActing Principal Deputy Assistant Secretary of the Army for Civil Works108 Army PentagonWashington, DC 20310 The Honorable James L. ConnaughtonChairman, White House Council on Environmental Quality730 Jackson Place, N.W.Washington, DC 20503 Dear Administrator Whitman, Acting Deputy Assistant Secretary Dunlop, and Chairman Connaughton:I am writing on behalf of the American Fisheries Society (AFS), the oldest and largest (9,000+ members) professional society representing fisheries scientists and managers. AFS is concerned about the Administration's decision to draft new regulations under the Clean Water Act (CWA), redefining the waterways covered by the Act. Specifically, the new rulemaking process would determine whether certain waters, including tributaries, intermittent and ephemeral streams, and wetlands adjacent thereto, and other isolated wetlands, should remain under the jurisdiction of the CWA. We urge the Administration not to proceed with rulemaking that would limit the scope of the Clean Water Act. Isolated wetlands, ephemeral streams, and tributaries are an integral part of our nation's watersheds, and thus affect the health of all waters of the United States. Because non-navigable tributaries and their adjacent wetlands drain into larger bodies of water and groundwater sources, their degradation can negatively affect traditional navigable waters. Removing protections for non-navigable tributaries of navigable waters would also jeopardize many important wetlands that comprise significant fish and wildlife habitat, supporting a diversity of flora and fauna, in addition to providing enhanced water quality, flood attenuation, and groundwater recharge.Crafting recovery plans for various fish species listed under the Endangered Species Act, e.g., Pacific salmon, is already complicated by the complex life history and the variations in life history (even within a single species) that finds juveniles of many species occupying small, often intermittent, streams during their critical fresh water rearing period. Without some consistent rules governing such habitats, especially as these tributaries cross state lines, the task will be made increasingly difficult. Many fish species including salmon are truly creatures of the watershed. Failure to consider rules governing all aquatic features and their relationship to aquatic processes  and thus to watershed integrity  does not bode well for recovery.We have seen remarkable recovery in USA waters following passage of the CWA; and there is growing interest on the part of USEPA, States, Tribes, and Watershed Councils to better monitor, assess, report, and restore our waters. Removing CWA protections from some subset of our waters will set back these efforts substantially. It will further exaggerate existing discrepancies and inadequacies among state programs, instead of encouraging higher standards for all. The lack on inter-state coordination would militate against efficient and effective management strategies, would prompt conflict between downstream and upstream states, and would hurt state economies. In addition, it will turn us back to pre-CWA days when there were 50 or more differing and inconsistent standards across the USA, creating enormous financial subsidies and penalties for discharging municipalities, industries, and land uses. Reducing federal jurisdiction over waterways of the U.S. would leave protections to state water programs, which, in many cases, are limited in regard to isolated wetlands, ephemeral and intermittent streams, and tributaries. In the past, states relied on the federal regulations in Section 404 of the Clean Water Act, and consequently developed no laws of their own to protect these wetlands and waterways. If the scope of the CWA is limited through the new rulemaking process, there will be few state regulations in place to prevent pollution and loss of wetlands from agriculture, commercial and residential development, resource extraction, and other activities.The Administration based the need for a new rule-making process on the court case Solid Waste Agency of Northern Cook County vs. U.S. Army Corps of Engineers (SWANCC). The Supreme Court's decision in this case narrowed the Clean Water Act's wetland protections by invalidating the use of the migratory bird rule as a basis for the Corps of Engineers and the Environmental Protection Agency to assert CWA authority over isolated, intra-state non-navigable waters. AFS agrees that guidance is required for the Environmental Protection Agency (EPA) and the Army Corps of Engineers (Corps) to interpret and implement the SWANCC decision, but we believe that reducing CWA jurisdiction is unjustified. AFS urges EPA and the Corps to communicate with state natural resource and regulatory agencies before moving forward with the new rule-making process. We need strong policy guidance on both regulatory and non-regulatory ways of protecting isolated wetlands and non-navigable tributaries, not a reduction in the strength and scope of the CWA.Thank you for considering the comments of AFS, representing over 9,000 professional fishery scientists and managers. Sincerely,Gus Rassam, Executive Director, American Fisheries SocietyCC: Senate Committees on Agricultural Nutrition and Forestry; Commerce, Science and Transportation; Energy and Natural Resources; Environment and Public Works. House Committees on Agriculture; Energy and Commerce; Resources; and Science.------------------Ed ""Backwater Eddy"" Carlson...><sUMo>Backwater Guiding"
525910,Guest,2002-12-23 12:43:00,0,"From an American and former commercial fisherman. Netting on the Red or for that matter any body of water needs to be eliminated or strictly controller; the latter being the least desirable option. One only needs to look at the decline of the fish populations in Minnesota and to a greater extent Wisonsin to realize that. Having fished in Canada I will say that all in all you folks have done a great job. The last remaining thing is to work out a more palatable agreement with the various indian tribes.Best regards and Merry Xmas,Chuck"
525896,Guest,2002-12-13 08:59:00,0,"Hey cat""illac man Hows's the fishing these day's"
525897,Guest,2002-12-13 10:29:00,0,">Hey cat""illac man Hows's the fishing these day's Overall, action for 'eyes has been on the slow side.We've had some decent sessions, with a few good fish, but like I said, it's much slower than what it's capable of. There could be many reasons as to why it's been slow. One would have to take into account, that they are members of the aboriginal community, who are gill-netting in the Red! Were not sure exactly how many fish they're harvesting at this time, but it's a queations that needs to addressed, immediately!! Simply put, if their nets aren't catching many fish, then it would be safe to assume that the munbers of fish is low. On the other hand, if the nets are producing numbers, well I think that speaks for itself, doesn't it! If the latter is the case, then I will publicly state, that the time has arrived for ""change""! The last time I did a reality check, I was convinced that we were living in the 21st century. So if this is indeed the case, then why do we allow practises, such as gill netting take place, in one of the top trophy producing fisheries in the history of angling. Something's definately wrong with this policy and it desperately need be addressed."
525898,Guest,2002-12-13 10:38:00,0,Where are they setting up their net's?
525899,Backwater Eddy,2002-12-13 11:31:00,3871,I whole heartedly agree!The netting of game-fish in a trophy fishery such as the Red River is crazy and monetarily foolish for the province of Manitoba and ALL it's residents. The small personal gain by a few netters may easily damage the system as a whole. It may very well produce long term damage to the system and the regions tourism industry in general.I would urge concerned individuals let the powers that be in Manatoba know how they feel about such practises in a loud and clear voice.
525900,Guest,2002-12-13 21:09:00,0,"The netting activity taking place approximately 4 miles north of the big bridge.Just to update those that are interested, I had a lengthy conversation with our fisheries branch today. Their response was positive, with respects to my suggestion about monitoring these netswhile they're being lifted. That's the only way we can accuratelyaccess the damage being committed by this senseless act.Like I stated earlier, if the nets are producing large numbers of fish and the anglers are finding the going slow, what does that tell us! On the other hand, if the nets aren't producing many fish, then were dealing with a much bigger picture. That is why it is obsolutely imperative, that this information be obtained."
525901,Backwater Eddy,2002-12-17 12:24:00,3871,"Any new word on the nets, or the bite?Ed ""Backwater Eddy"" Carlson...><sUMo>Backwater Guiding"
