848877,Basskicker,2014-04-19 21:06:00,421,"154.9 on the highway in Marathon,ON....unreal!!!"
848880,jedimaster,2014-04-19 21:20:00,3472,I got gas yesterday in Minden for 111.6 bancroft was also 111.6
848881,misfish,2014-04-19 21:22:00,29133,"Since I got rid of the P/U,I stopped whining. Seen it coming.Ya,I, miss the advantages,but dont mis the burning in my pocket.  whine all you want to those in charge. . Good luck with that. What are we going to do? Burn everything down to the ground like other countries to make our point? Oh theres a smart thing to do.LOL  Still going strong with my $62 fill up last Thursday morning. Fished and traveled everyday til today. Meaford and back 2X,many stops in between. Up to wab this morning,drove through Rama,back into town and off to hwy 9/27 for a pick up. Over to Bradford to check on the fishing. Stop in at 3 spots heading home. Might have to top up for the next week of work.  Not bad for $62 EH.  Ya,tired of fighting these guys."
848882,jedimaster,2014-04-19 21:23:00,3472,
848969,woodenboater,2014-04-20 14:36:00,2277,"and I thought 125.9 for regular was a bargain along Gasoline Alley. Of course, was 139.9 in GTA so can't complain"
848981,iFish4real,2014-04-20 15:20:00,386,"well...if we're so upset here about the gas prices, what should ppl in Europe do ? gas is there around 1.5euro = 2.3 can dollars  diesel is the answer  engine gives you lots of torque for pulling your toys and with a turbo attached to it gives you good speed too, and all that on low consumption... Also the real price of diesel should be significantly below the gasoline cause is cheaper to produce...the way it used to be up until a few years ago until monster oil companies figured that they're loosing big money cause turbo diesel engine technologie has rapidly advanced and ppl tend to buy diesel cars being so much more economical and still performant...  ask yourself a question...why all American and Asian car manufacturers sell diesel engine cars all over the world except North America ??? ...to me, the only logical asnwer is political...the idiots in Texas said NOOOO  :D"
848987,woodenboater,2014-04-20 15:31:00,2277,Well the auto manufacturers have deemed diesel in SUV vehicles as a 'luxury market' item ffs. Would love to stick it to them for not giving us affordable diesel truck/SUV options. Wife and I want a diesel Jeep but not at their prices and most people I know say VW or Benz are better diesel options over domestics.
848988,iFish4real,2014-04-20 15:37:00,386,"VWs are at pretty reasonable prices, especially used, thet's why I've been driving one for the last 10ys  .Benzs and BMWs are lots more expensive... But even though I'm not a big fan of American cars, I drove a Ford TDI in Germany and was impressed by it so...they do have the technology, only they don't sell it here"
849013,mike rousseau,2014-04-20 17:34:00,4661,Our Rez is usually $0.30 or more cheaper....  Even with bridge tolls calculated in when I fill my f150 and a spare tank for the wife's car I save $30-$40... And it's a 30 minute round trip including customs...  If it wasn't for the Rez id probably sell my truck...
849017,misfish,2014-04-20 18:00:00,29133,"  Mike,I was almost leaning towards going back to one. This one here,but the $51,000 price tag made me pucker.LOL What is Ford thinking? way to many features these days. I want a basic single cab 4x4. Stick if possible.  I hope the rumor is true,that they are going to be bringing back the Ranger (well from what I was told by the dealer,F100)   "
849027,Joeytier,2014-04-20 18:30:00,3990,"Ford's single cab STX v6 4x4 half ton is cheap, more powerful and better on fuel than the 4.0L Rangers."
849398,Sinker,2014-04-22 18:24:00,8692,"I'd love to be able to buy a brand new truck with no ""crap"" on it. Just a plain jane, rubber floor, roll down windows, AM/FM radio, 4x4, 5 spd. I don't need any of the junk all the new trucks have.  I've been looking for a vehicle for months now, and there is NOTHING out there that I want, or trust. It sucks.  I blame it on yuppie citiots that want to look cool driving a truck.  S."
849400,BillM,2014-04-22 18:29:00,17367,My buddy ordered a GMC extended cab almost exactly like that.. No floor mats (just rubber) base model LT with 4x4.
849401,Sinker,2014-04-22 18:30:00,8692,"I don't want a GMC though.....LOL.....been there, done that, never again!  S."
849403,BillM,2014-04-22 18:41:00,17367,Get a Baja
849404,lew,2014-04-22 18:41:00,12766,"I blame it on yuppie citiots that want to look cool driving a truck.  S.  My 2013 pick-up is just about fully loaded up with all the toys available and listed at $60,000 Shane.  I buy a new vehicle every 3 years or so, as I've done for many years  and their always nice ones.  I'm not a yuppie citiot and I don't look cool no matter what I'm driving, but myself, along with thousands of other guys, just happen to like the  extra comforts on a truck we worked long and hard to be able to afford.  Doesn't make us bad guys."
849405,mattybculp,2014-04-22 18:43:00,388,"Lew, If you can make it into curve lake, I have never found it to be anything less than a 10 cent/L savings. It may be worth it. I Live in Keene and even though Hiawatha is not as great as curve lake its still about an average of 7 cents/L cheaper than the closest station in town."
849406,lew,2014-04-22 18:45:00,12766,"Yeah, I'm only a few miles from there and get over that way quite often."
849408,Sinker,2014-04-22 18:52:00,8692,"I'm not saying your a yuppie citiot lew, I'm just not happy that you can't buy a bare bones truck any more.  Some people dont want all those goodies.  S."
849409,Sinker,2014-04-22 18:53:00,8692,"LOL....yeah, right!  No more subies for this guy!  S."
849418,bushart,2014-04-22 19:25:00,2628,If I can't have my truck---means I can't tow my boat---means fishin is finito  will break my brothers hearts
849426,lew,2014-04-22 19:48:00,12766,"I'm not saying your a yuppie citiot lew, I'm just not happy that you can't buy a bare bones truck any more.  Some people dont want all those goodies.  S.  I hear you Shane, but I spose these days the majority of folks don't want bare bones anymore and want at least a few basics like automatics, power doors and windows and air conditioning. Probably not much market for a basic truck anymore and not worth it for the truck manufactures to build them."
849493,aplumma,2014-04-23 00:03:00,6896,"The truck companies built what the public will buy. Ask your dealer if he can order commercial truck setups most contractors buy ""strippers"" for the work crews.   Art"
849495,Joeytier,2014-04-23 00:06:00,3990,
849510,glen,2014-04-23 00:26:00,2641,Remember the ford enforcer.   Nice basic truck for a good price.
848304,knightfisher,2014-04-16 18:56:00,237,"My cherokee is a gasoholic. These increases sometimes affect distances I will travel to fish.   Noon news is saying-----higher prices are being falsely created by refinery shutdowns in US--to decrease supply  And we all know the theory bout supply and demand   Corporations know we may grumble about prices, but will still buy. They probably have a good laugh around the board table as weekends approach."
848412,BassMan11,2014-04-17 11:29:00,583,The Easter weekend is here. Up another cent from yesterday to 1.389. It might be cheaper for me to drive from Kanata to Ogdensburg fill up and than come back on a regular basis. I know if I was closer to the U.S. not 1 cent of Canadian gas would be going in my tank.
848413,BillM,2014-04-17 11:44:00,17367,"You guys driving gassers have nothing to complain about, I've been paying $1.49 for diesel pretty much all winter."
848440,Sinker,2014-04-17 13:57:00,8692,"Yeah, but you get double the mileage LOL  S."
848443,BillM,2014-04-17 14:07:00,17367,"Yeah, but you get double the mileage LOL  S.  In my Jetta yeah, the Duramax not so much, lol!"
848555,Rod Caster,2014-04-18 01:40:00,5784,$1.24 - $1.29 in North Bay today. Lineups.
848557,Tayzak15,2014-04-18 01:45:00,318,1.459 in timmins tonight
848561,DRIFTER_016,2014-04-18 03:32:00,10439,"This is what I brought back last time I was in the US. Cost for the bunch $140US. Cost for the same in Yellowknife, $960CAD!!!!!  "
848568,aplumma,2014-04-18 11:48:00,6896,Wow I am surprised at the price difference is it the taxes that make it so different ?  The healthcare system up North seems to drive the tax/cost of things that can have a negative  effect on peoples health up. I know that the cost of tobacco really jumped up down here in the US tax wise using that as an excuse.   Art
848574,Burtess,2014-04-18 12:25:00,901,"Ok....... so I will post again without the ""bad word"" lol...  Buffalo gas on Wedesday $3.879 / Gal, converts to $1.128 CAD / L along with a 1.75 L bottle of Canada Club @ $21 CAD ($60 at LCBO).  I think that's better????  Burt   You done good Burt thanks for the help Art"
848575,Fish Farmer,2014-04-18 12:33:00,2234,I paid $1.16 L yesterday on the rez
848580,lew,2014-04-18 12:58:00,12766,"I paid $1.16 L yesterday on the rez  I'm only about 8 miles from a reserve up this way  Dave, maybe I should start buying over there."
848583,bushart,2014-04-18 13:09:00,2628,"Tanked up yesterday in Bancroft at an ""Esso""------1.11.9  No idea how they sell it so much cheaper without taking a loss----or is everyone else just really put'n the screws to us??  Sidenote:...they shut down refineries in the US to deplete supply----which states the obvious----they have too much  So why push so hard for Keystone XL to bring bitumen into Texas-?---gonna fill their swimming pools??  Shareholders really want to know"
848587,lew,2014-04-18 13:27:00,12766,"Tanked up yesterday in Bancroft at an ""Esso""------1.11.9  No idea how they sell it so much cheaper without taking a loss----or is everyone else just really put'n the screws to us??  Seems as if Bancroft is always far cheaper than anyone else."
848588,bushart,2014-04-18 13:31:00,2628,Maybe the town subsidizes this to bring people in to spend $$---no idea?/  I do know lots of people travel quite far to tank up there plus gas cans  Also it helps other Bancroft Biz's---Cuz If I'm there anyway---I pick up Groceries----hit some stores---go out to eat etc
848693,aplumma,2014-04-18 23:33:00,6896,If this is a plot to gouge Canada it is failing miserable our prices are going up really fast as well.   Art
