772939,livinisfishin,2013-03-10 13:37:00,661,Bet that got your blood flowin! Nicely done!
772975,Old Ironmaker,2013-03-10 18:04:00,8243,"I invite all you hunters out to Haldimand county for some varmint riddin'. We have been here since 96' and no one including life long residents has seen as many Coyotes and bushwolves than this winter. Someone said they are being driven out of their habitat by the construction of the wind turbines. I don't know the reason but they seem to be everywhere this year, and they are bold to say the least. Last Sunday night I saw at least 4 routing through garbage bags set out on the lakeshore for pick up. When I drove up to them they didn't seem to care at all. Hunger is a huge motivator. I didn't think they would scavenge, guess I'm wrong.  Come on out. Someone told me there is a bounty on them here, haven't hunted since after my 4th knee operation and am not up on the latest regs."
772976,Old Ironmaker,2013-03-10 18:06:00,8243,"By the way great job restoring your weapon, great job, congrats."
773047,Rustic-Fisher,2013-03-11 00:18:00,826,"Nice work, keep at em !!! I've had a few encounters now with the dogs and yotes."
773125,NAW,2013-03-11 12:40:00,4022,"Thanks for the comments everyone.  It sure was great to take that old broken down gun, and make it usable again."
773143,TJQ,2013-03-11 14:52:00,7806,Now thats something to be proud of!
773202,ch312,2013-03-11 20:49:00,1590," predator management through hunting and trapping are some of the most effective methods of controlling populations. you can thank those hunters and trappers who ""shoot stuff for fun"" for keeping coyote (and many other animals) populations in check which in turn helps the local deer, turkey, waterfowl, and small game. that said, why bother opening a thread titled ""coyote gun restoration"" if you're against the shooting of yotes?   NAW, it must have been very satisfying using that firearm to take this coyote. Very nicely done!"
773218,NAW,2013-03-11 21:57:00,4022,Thanks ch312!  I will be spending a few hours working on the pelt tonight.  To make things even better.  My neighbour introduced me to a group of local coyote hunters this weekend.  I guess these guys are the real deal.  I am very excited to learn from them.  Maybe take this to the next level.  The one hunter in te group that I talke to has shot 7 coyotes in my neighbourhood this winter.  It hasn't come close to putting a dent in the local population.
773219,NAW,2013-03-11 21:57:00,4022,Thanks ch312!  I will be spending a few hours working on the pelt tonight.  To make things even better.  My neighbour introduced me to a group of local coyote hunters this weekend.  I guess these guys are the real deal.  I am very excited to learn from them.  Maybe take this to the next level.  The one hunter in te group that I talke to has shot 7 coyotes in my neighbourhood this winter.  It hasn't come close to putting a dent in the local population.
750907,DRIFTER_016,2012-12-11 00:41:00,10439, I've heard it's a great cormorant load too.
750932,NAW,2012-12-11 02:27:00,4022,Wups... Thought it was a crow officer...
750981,Billy Bob,2012-12-11 12:09:00,5865,"I mostly use my .22-250 Rem, better know around here as ""Chuck Mate"" for woodchuck hunting in the spring if the crappie/perch fishing is slow. And she's so pretty too...take a look..   BTW last week I picked up my wife from a work Christmas party in the city of Buffalo and almost hit a coyote on Broadway right near the eastern boarder of Buffalo and Cheektowaga...son of a B ran right in front of my car...dog went NUTS in the car..."
750983,Billy Bob,2012-12-11 12:32:00,5865, Around here they look a LOT like Black Ducks....  ...right Sinker.....
751023,dave524,2012-12-11 17:39:00,4508," That reg has been on the books since I was first licenced back in 65. In the mid 70's I taught the safe gun handling for the MNR Hunter Safety, it was explained to me as to stop the usage of WWII mil surplus stuff in southern Ontario with milsurp full metal jacket bullets as they are very prone to ricochet. Most of the battle rifles of WWII were over .270."
751024,NAW,2012-12-11 17:47:00,4022,That sounds possible.  But the .223 (5.56 x 45mm) is a very popular standard nato round these days.  I guess maybe not back in the day when the law was created.
751079,bigbuck,2012-12-11 20:32:00,2449,"That actually makes sense. I agree with Nick, the 223 is around with a fair bit of steel Cored surplus around. They riccoshet like crazy. I think it is about time to get rid of that obsolete reg or modify it. It should specify the types of ammo allowed to be shot in the given areas."
751110,Billy Bob,2012-12-11 21:57:00,5865, That's what NYS does...no full metal bullets allowed for hunting..
751127,bigbuck,2012-12-11 22:48:00,2449,Same here. Only soft point ammunition. Military FMJ is for target shooting only.
751137,ch312,2012-12-11 23:14:00,1590,"very nice work. time to get some blood on that stock now   this is the most common reason i hear. as with sunday hunting, i guess it's time for hunters to voice our opinions to get thing's changed?  my yote gun, a stevens 200 in 22-250 topped with a 5-15x40 bushnell legend. it was only $300 new without the scope, but the little 1"" groups it shoots with cheap winchester ammo makes me forget about that.      first blood.    :whistling:   "
751171,NAW,2012-12-12 01:00:00,4022, Your not kidding.  Very nice looking gun!    No kidding.  $300 for both eh.  Was that used?  Did the 22-250 make that hole in the yote?  That's quit the gash!  Thanks for posting the pics of you guns guys!  I noticed your both using bi-pods.  That will be my first x-mass money purchase.  That and a good pair of Binos.  Any suggestions for either of the two items?
751229,Billy Bob,2012-12-12 11:06:00,5865,HARRIS Bi-Pod all the way....try Ebay for one...mine is over 30 years old...works like the day I purchased it...as far as binoculars...well that's a tough one...you can spend from $50 to $1500 on a good pair...my advice is get the best SMALLEST pair you can afford..  And my guess is that yote was shot with a .22-250 40 grain hollow point...but that side that is being shown is the EXIT hole...maybe ch312 can confirm.  Bob
751477,ch312,2012-12-13 02:31:00,1590," the stevens 200 jumped to $360 from $299 about 3 years ago. but, cabelas has them on sale for $299 right now and i highly recommend getting one. they really are THE best bang for your buck if you're looking for a low priced bolt action. i used that gun to shoot that yote at 50-60 yards offhand with 45gr winchester white box hollow points. aimed for the heart and i think i got it. cheap gun + cheap scope + cheap ammo = 1"" groups   i don't use gun mounted bipods as i'm 6'1 and even the tallest harris (IMO the best brand, be sure to get a swivel model) is too short for me while sitting. plus, they add too much weight to the gun for long carries and/or shooting offhand. i made the shooting sticks in my pic out of some old arrows and they're the best i've used so far and saved me over $100.  as for bino's, i use vortex crossfire 10x42 which are a tad on the big side for tracking deer, but they're manageable when used with a bino harness. vortex are newer, but their bino's are crystal clear and i preferred them over comparable models when i was shopping for them. i'd stick with 8-10 power..."
751487,BillM,2012-12-13 03:18:00,17367,I just picked up a Savage Axis XP Camo .270 today from Epp's.  Now I just gotta sight it in and go from there!
751527,bigbuck,2012-12-13 13:09:00,2449,"Wow, all this rifle talk has me hankering to punch some holes in paper. Bill, enjoy your new piece, may it bring a lot of meat to your table. Those Savages are supposed to be very accurate right out of the box. Let us know how she groups once you've sighted 'er in. Great deer gun and a backup piece for moose."
751537,NAW,2012-12-13 13:50:00,4022,"Nice purchase Bill!  I'm going to be sighting in the .222 this weekend on Saturday.  And thanks for the detailed info Ch312.  I like the idea of making a bi-pod my self.  I think I have some old arrows kicking around, Might try to make something.  If I get her shooting straight this weekend, I'll be sure to post some pics!"
772880,NAW,2013-03-10 02:37:00,4022,"GOT ONE!!!!!!!!!!!  Pics to come soon.  175 yards.  One shot, dropped like a pile of bricks!!!"
772881,kickingfrog,2013-03-10 02:39:00,8333,I'm sure that was satisfying.
772882,richyb,2013-03-10 02:41:00,774,wicked..
772883,Christopheraaron,2013-03-10 02:43:00,3525,Nice! I'll take that tail off of you
772898,chris.brock,2013-03-10 03:28:00,4053," yeah, I hear ya, shooting stuff for fun isn't really my style either"
772911,NAW,2013-03-10 04:59:00,4022,"It has been a very busy winter in my home.  There hasn't been much time to get out hunting for coyotes.  But I promised my neighbor that I would try to take a few coyotes off his property this winter.  It's a mixed feeling for me, because I love dogs.  I serve on a K9 SAR unit, and own a dog.  But after seeing what the cyclical pattern of the Coyotes are doing to the local area.  I thought I would help out my neighbor.  We where set up and calling for about 20 minutes.  These coyotes ignored our calls and where heading for the barn.  I was able to stop the coyote quartering toward me slightly, at a distance of 175 yards.  The .222 was resting on my home made bi-pod.  This was the first shot I have ever taken on a coyote.  The gun snapped, and the coyote dropped instantly.       A clean, healthy coyote.  I am meeting with a good friend,and local trapper tomorrow. He's going to give me a lesson on how to process a coyote."
