270202,trapshooter,2008-11-21 18:21:00,1234,"Wow, great hunting John!!  Congrats on a fine season so far."
270203,anders,2008-11-21 18:21:00,1168,Nice job John.  THs is all in Alberta i take it?   Whats the deal for moose up there for residents?  How does the system work?
270210,JohnAB,2008-11-21 18:36:00,178,"Thanks.  For moose up here, with a bow a lot of zones are open to bull moose and some with anterless moose as well with an over the counter tag for both residents and residents of Canada as long as they hunt with a resident of Alberta. Have had a couple of guys out here from Ontario chasing elk with me during the bow season. In most zones for rifle hunting, you enter a draw and you usually have to wait 2 or 3 years to get drawn but in the more northern zones it is way undersuscribed so you can phone in after the draw and get a bull moose tag for November no problem every year if you want to head north.  Non residents of Alberta can apply for a moose tag as well as long as they apply and hunt with a resident of Alberta. Always open to this idea if anyone wants to. Heck make a deal, moose hunting for a fishing trip for muskies or large mouth bass! LOL Have a deadly spot for bull moose during the rut in a bow zone near where I work."
270328,Leecher,2008-11-21 22:47:00,7832, Great report and pics JohnAB Congratulation to Nathan friends for his first bull   and to you for this impressive bull and great shooting  Keep them reports coming guys.... looking real good Leechman
271529,walleyejigger,2008-11-25 00:01:00,876,"finally got with the times and got a photobucket account, here's the video i mentioned previously  this was my first mrning of DEER hunting this year, WMU 47  darn it now i got to figure out how to link it, woo hoo did it  "
271541,Leecher,2008-11-25 00:23:00,7832,Cool video walleyejigger     Do they ever make noise coming through the bush.... must of gotten your hart pumping for a while  That happen to me last year.... a cow and two younger ones playing around near my tree stand for about 20 minutes.... that year I saw 7 moose during deer hunting and not one deer  Were you able to tag a deer this year?  Thanks for sharing
271545,walleyejigger,2008-11-25 00:30:00,876,"i got a 5 pt. buck out of that tree stand right on the edge of the little opening u see  about half way in the video, about 30yds. with a 30/06 the bugger didn't have a chance  i always see more moose than deer while deer hunting, and the moose season there is only 1 week"
271552,canadadude,2008-11-25 00:36:00,769,"Sweet year my friend congrats to you and  the group, personally I havn't hunted in 4 yrs although I still keep my liscence and such up to date those pics have got my blood boiling, living here in niagara it's a tough go for hunters unless you have friends with property all my old hunting spots are golf courses or houses now. It's realy sweet to see others still enjoying the great fall sport of getting some meat for the table, those moose are perfect eaters again congrats on having a great season"
282380,maple_leaf_drifter,2008-12-21 17:31:00,8,  well i finally got my first deer!! after 3 years of hard work and lots of hours in the bush. i shot this 9 pointer last night at 17yards with my compound. also my buddy mike (centerpin drift) shot a nice young 10 pointer about  km away from me on oppisite side of our hunting property.
282395,Leecher,2008-12-21 18:01:00,7832, Congratulations to both of you maple_leaf_drifter for harvesting such great deers  Massive rack on both of them
282396,Mattones,2008-12-21 18:01:00,587,Nice hunts so far guys. Hope to have my first buck before the 31st.
282397,richyb,2008-12-21 18:07:00,774,Sweet bucks guys ... gotta like a double header !!!!! I caved and shot a doe this year ... all my bucks must have went your direction haha.
282428,ch312,2008-12-21 19:17:00,1590,"spot and stalked this doe. shot her at 12 yards with my exomax crossbow. watched her fall about 50 yards from where she was hit.    i dont think ill ever find myself sitting in a treestand ever again now that i know how much fun it is stalking my prey  not the most preferable shot, but her and the other doe were getting very ancy and started doing the side to side head bob they do trying to figure out what i was. there was zero cover between us so i let her have it. aimed a little high to miss the heavy bone. broadhead was just poking through her opposite side. got both lungs with no gut shot...very lucky for the quartering towards me angle.  "
282433,Leecher,2008-12-21 19:31:00,7832, Great looking doe ch312    Congratulations    and great shot too  Keep'm coming guys.... looking real good Leechman
282445,BassAsin,2008-12-21 20:01:00,806,"60 yds through hardwoods first time shooting a deer with a scope  i'm the open/peep sight kinda guy but the firing pin on my old 30-30 marlin was broke, i found this out when i tried a head shot on a fawn at 1 yard yes 1  the barrel was almost touching its head! we had a competition at camp on ""closest betwen the eyes shot"" and after day 4 i took home the money! regardless it didnt change the fact that i still dont like the scope foggy rainy wheather and a long walk pushing bush forced me to shoot at a spike buck through a foggy scope and 2 clean misses!!!  and the miss was all the scopes fault had nothing to do with the pine tree in the way and the 40mph walker hound on his A$$... so heres a pic and if u zoom in a bit u can see where she was hit. after two days of hanging she weighed in at 99lbs dressed   and thanks to everyone else for sharing some photos good to see a few nice deer were taken with what all look like clean kills!  Matt. "
282462,Whitespinnerbait,2008-12-21 20:50:00,2038,  Awesome pic of the double header Deer.......Congrats to both of you guys
