657896,woodenboater,2012-01-18 23:06:00,2277, ^^^  Can't agree with this more.   
657929,GBW,2012-01-19 00:55:00,8460,but I wasn't fishing then....  I just never thought of a jig tied to a topwater lure before...
657933,John Bacon,2012-01-19 01:04:00,3277,Three or four Chinooks on one of these would be interesting. I may this on Lake Ontario this June.
657934,mike rousseau,2012-01-19 01:06:00,4661,  Yup... Hang a small weightless soft plastic off of a popper and hang on...  Or use a 3 way swivel with a original floater rapala and a deep diver
657993,Billy Bob,2012-01-19 09:27:00,5865," I have found a 3 way with a 6' lead for a deep diver (Bomber A) and then a 4' lead with a matching color flutter spoon works very good.....Never any tangles....I have also used a Rapala with a 5-6' lead off the back hook trailing a ice fly. And of course with down riggers you can get real exotic with cheaters and sliders, etc....."
657994,Billy Bob,2012-01-19 09:29:00,5865," Well then, you have some catching up to do.....GET FISHING"
658042,Harrison,2012-01-19 13:42:00,2202," Killer for smallmouth Bill.  Especially behind a zara spook or other walk the dog style bait.  Usually a light rigged tube(I usually just rip a hole in the side of the tube, makes it sink) or senko is the deal. Depending on the day we have removed the back hook on the topwater to reduce foul ups because the fish were eating the plastic everytime anyways.  There is other things I do for largies in the thick stuff with double bait set up.  I remember one T on Scugog where the trailer bait was the only one the fish ate.  Dock talk of the day was how the topwater bite sucked, but was great for us. That was one of the last T's I fished.  Looking forward to 2012 after a little hiatus.  As for the A rig, the only water I can think it will shine would be Simcoe, Lake O or Erie.  I think there is to much weed to fish the smaller ponds with it. Would get tiresome very quick. Unless all you fished was channel beds.  But who knows, someone will probably figure out how to use it somewhere on them."
658052,Harrison,2012-01-19 14:05:00,2202," Imagine if all 4 headed towards NY, you better have your passport on ya."
658067,superdad,2012-01-19 14:44:00,353,Saw this on WFN site about BASS Masters.  http://www.worldfishingnetwork.com/users/wfn/blog/alabama-rigs-prohibited-at-bassmaster-classic-179529.aspx  This clearly states they are banned.  David  aka  Superdad
657578,tschirk,2012-01-18 01:07:00,261,Just banned from Bass Masters: http://thealabamarig.com/
657581,Roy,2012-01-18 01:13:00,13728,"You got sucked in...that's a ad, not a news item. The 'Alabama rig' as they call it is legal everywhere it just depends on the number of hooks it has. It's a spreader such as one would use ice fishing."
657582,John Bacon,2012-01-18 01:13:00,3277,It looks like it has more than four lures on it. A version with no more than four hooks should be legal.
657584,tschirk,2012-01-18 01:24:00,261, Sucked in??  See this: http://www.factsoffishing.com/blog/news/no-alabama-rigs-at-the-bassmaster-classic/
657586,Harrison,2012-01-18 01:26:00,2202,Roy is right.  The umbrella rig has been around for years. If there are 4 lures it is legal in Ontario.  There is a Canadian/Ontario 4 lure version coming soon.
657590,Roy,2012-01-18 01:37:00,13728, That has nothing to do with legalities...it just means that lures manufacturers who sponsor those events don't allow them...it cuts into their profits y'know? You don't even have to buy them. Go to a dollar store and buy a dozen miniature kitchen whisks. Need I say more?
