1071557,bow slayer,2021-03-27 22:48:00,1074,16ft starcraft starfire owned it 13 years has been flawless 70hp johnson 4 stroke   
1071564,Crimsongulf,2021-03-28 02:19:00,294,Much better explanation than I gave.
1071637,Dara,2021-03-31 03:27:00,3052,Sounds like a good plan And if you didn't get quite enough letting a bit of air out of the tires would help I guess. I have been wanting to do a bit of paint on my trailer and this would work. Thanks
1071638,Dara,2021-03-31 03:27:00,3052,Sounds like a good plan And if you didn't get quite enough letting a bit of air out of the tires would help I guess. I have been wanting to do a bit of paint on my trailer and this would work. Thanks
1071643,cisco,2021-03-31 08:53:00,597,Your welcome. Many ways to tweek if needed. Done several very big fiberglass cruisers this way. Eg. is to trailer jack up the front after supporting the stern as described and then support the front under the trailer with blocks Now lower the jack so trailer jacks wheel is off the ground the height you want to increase and put some wood on the ground under the jacks wheel so jack can then be used again to lift your rig higher as needed.
1063438,Rustic-Fisher,2020-06-19 21:27:00,826,"2017 etec , not sure about the pitch though ."
1063443,Birdy1962,2020-06-20 12:07:00,1,
1071355,Crimsongulf,2021-03-18 23:57:00,294,I am getting this over in Crawfordville FL this weekend to be the Napanee boat.  I have always liked a stick steer.  
1071364,ckewley,2021-03-19 09:07:00,699,"Last year was a total bust for me nothing saw the water but this year will be different!  This little rig has seen quite a bit of water just not in the last few years, extremely stable in the water. With the 2.5 she moves pretty good as well  However, ever since I got my Canoe the other boat sees mostly a storage rack. I will be moving this spring/summer to a place with lots of water around so getting both boats out will not be a problem, really looking forward to it!!!!"
1071373,Crimsongulf,2021-03-19 17:23:00,294,"Man, you could slay speckled trout and redfish down here with that top boat because you could get in some real skinny water with it."
1071393,GBW,2021-03-20 01:08:00,8460,"I got this last year and has all new floors, carpet, 4 new seats, trailer axel and 3 new wheels/rims and tires, winch, winch strap and more.  My plans have changed sadly...  She's going up for sale after all that work.   "
1071434,410001661,2021-03-22 16:43:00,127,Here is my 2017 Renegade 168DC.  Bought it almost a year ago to replace my 2009 Sylvan Explorer 1600 40Hp EFI.  Last summer was tough to outfit the boat with COVID and the shortages of pretty much everything.  But it is done! - iPilot kit for trolling motor - 2 bank on-board battery charger - 6 x rod holders - 2 trolling rods and a dipsey rod - New life jackets (others went with the boat) - Bow casting seat and post - Bow mounted fish finder - swim platform/ladder - new water skis and a tube for the kids.  
1071443,pics,2021-03-23 00:36:00,1268,Love this little Sylvan.. It has a Helix 7 and motorguide xi5.. I still need a few items like a stereo and Canon track system 
1071446,410001661,2021-03-23 12:03:00,127,"I am not fond of stero's in boats.......seems like they have a life span of about 4-5 years before they crap out.  Look at a portable speaker - on your phone you can get any radio station you want, pod casts, and stream music (just make sure your boat has a spot to charge your phone)  https://ca.jbl.com/JBL+FLIP+5-.html?mrkgadid=1&mrkgcl=1221&mrkgen=gtext&mrkgbflag=1&mrkgcat=product&utm_content=Flip_5&utm_term=jbl_flip_5_Exact&utm_campaign=Con|Text|Products&utm_source=Google&utm_medium=cpc&acctid=21700000001720558&dskeywordid=43700052744279472&lid=43700052744279472&ds_s_kwgid=58700005782304790&device=c&network=g&matchtype=e&locationid=9000858&creative=386755912742&targetid=kwd-300322914898&campaignid=1560552610&adgroupid=80671802804&kxconfid=unnmhyek8&gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQivynnQdyKEeP-eYS9jmQ5lunMXwQUDGeoN8KyTwEZOBJJlkIPzBatcaAnnkEALw_wcB&gclsrc=aw.ds"
1071456,porkpie,2021-03-23 17:57:00,2521,Yeah I just have a portable speaker.  My radio is cooked in the boat.
1071459,Crimsongulf,2021-03-23 20:36:00,294,"Well, picked it up Sunday and put a couple of hours on it yesterday, it is a nice little skiff and will scoot pretty good.  I got 36 mph on GPS.  As usual for me, she is far from new (2005) but seems to be in good shape, moisture readings are good and she has been fresh water only till yesterday.  I need to clean some wiring up and have ordered a water pump kit, plugs, new trailer hubs, etc.  I have the two old tinners at the cottage but both are old with old motors and I was going for dependability.  I just have to make sure that she is good for a 1300 mile haul and once she makes it to Napanee she will be there for the forseable future."
1071460,pics,2021-03-23 22:30:00,1268,I'm looking at a cheap system. We tried the portable speaker last year but I don't download music so we have to stream ...
1071465,Terry,2021-03-23 23:52:00,14456,I have SiriusXM radio and a Bluetooth speaker in my boat and it goes in my sxs for the winter
1071470,AKRISONER,2021-03-24 12:43:00,5558,JBL charge 4 - I highly recommend it. Waterproof sounds amazing and can use its own bank to charge other items with its battery. Like your phone
1071523,BillM,2021-03-26 21:48:00,17367,Pulled it out of the shop and spent Wednesday on Lake Ontario.    
1071537,boombap,2021-03-27 16:22:00,310,Nice boats guys Figured I’d ask this here before making a new topic. Ive recently discovered a good amount of water getting into my old deep v aluminum. It’s a riveted/welded hull. I put some water in it last week and the only spot I could find that was leaking was where it was missing a rivet. I replaced it with blind pop rivets and 5200. My issue now is that there’s a line of rivets where the boat sits on the bunks. When I had water in it the bunks were bone dry so I’m assuming they’re not leaking. Is there an easy way to lift the boat off the bunks to have a look?
1071538,Crimsongulf,2021-03-27 16:42:00,294,Do you have a picture of it sitting on the trailer?  I have used a floor jack and blocks to get it up then put jack stands under the boat.  I have also gone shade tree and used come alongs on a big tree limb to lift one off the trailer.
1071539,boombap,2021-03-27 16:52:00,310,Here’s a couple.. I thought about using a come-a-long and a strap and tying it off to the beam in the garage but ehhh that kinda worries me.  
1071542,Crimsongulf,2021-03-27 17:14:00,294,I would go with the come along.  The joists look strong and the boat doesn't appear to be heavy..  I did that in my basement garage using 1/2 inch poly.  I sealed some leaks on the old 14 tinner at the cottage with Gluvit.
1071546,boombap,2021-03-27 17:39:00,310,Maybe I’ll give it a shot In theory.. if the boat sat with water in it for 45 mins and the bunks were dry then the rivets are probably fine.. yeah?
1071548,Crimsongulf,2021-03-27 17:49:00,294,I would think so unless  there is a small leak that the bunks pressing up stopped..  I used the gluvit because it was leaking where the transom and hull join on the starboard side.  I didn't want to do a teardown so I tilted it up a bit and let the gluvit run down into the seam.  It has been three or four years and is still dry. 
1071549,boombap,2021-03-27 19:07:00,310,Gluvit is great stuff.. used it on a old build years ago. 5200 is also great.
1071550,Crimsongulf,2021-03-27 19:22:00,294,Just make sure whatever you put 5200 on you never want to ever move it again.  Don't ask me how I know that.
1071552,BillM,2021-03-27 19:44:00,17367,"If you want to remove it later, 3M 4200 will work just fine."
1071553,cisco,2021-03-27 20:29:00,597,"Easy. Boat guys all do this to work on their hull. Just use the trailer jack to lower the front as much as possible. Now pile supports like cement blocks with wood under each back corner as close to the hull as possible. Now just jack up the front and the rear now rests on the supports and you can easily put supports like blocks with wood to cushion, under the front sides but IMHO best to use a long beam like a 4 X 4. Can do it so the trailer can be driven out from underneath to allow almost complete access to do your work. But of course ensure you use sturdy supports and cushion things so the hull doesn't get scratched on, say, cement blocks."
1060598,kickingfrog,2020-04-22 22:56:00,8333,I think that might be clear water with a brown sand bottom.
1062098,tomkat,2020-05-21 02:16:00,246,
1062099,tomkat,2020-05-21 02:17:00,246,My 1991 Ranger 680t 
1062110,AKRISONER,2020-05-21 11:54:00,5558,"Taking the boat out of storage this year I found that a mouse had made residence in the compartment under my seats. That called for a full vacuum and wash of the entire boat. Then the boat launches were closed, which meant even more cleaning and waxing to pass the time. I realized I didn’t have a photo of the boat with the new seats in it. its nice to know that if you take care of a even a 22 year old boat they can look nearly new.  "
1062111,Cosmos,2020-05-21 12:29:00,588,This is my boat. Bought it last year. Had to drive twice to Kapuskasing to get her. i am very happy with it - my wife and daughters love it. 
1062112,lew,2020-05-21 12:38:00,12766,"Those Princecrafts are nice boats Cosmos, I've had a couple friends with them and never an issue and all very happy with them."
1062113,Cosmos,2020-05-21 12:42:00,588,"Thank you sir, This is last year picture taken same day i brought it home. This year i made already few things to get to big water - tracks, downriggers, fishfinder on the bow."
1062123,DRIFTER_016,2020-05-21 20:16:00,10439,My buddy lived in his 36' Hatteras on J dock in Pt. Credit for years. Had a lot of good times on that boat.
1062124,misfish,2020-05-21 20:37:00,29133,You will need a 1st mate to help guide my friend.  Nice ride bud.
1062129,lew,2020-05-21 21:25:00,12766,Anyone in particular you had in mind Brian ?  LOL
