189401,DanTheMan,2008-04-19 01:45:00,257,"  Ya,"
189407,MoriaRiverMan,2008-04-19 01:52:00,314,Not my website guys.......  its one i belong to for offroading............and thanks to all my friends on there i still have a dry house!!
189410,fatherof3,2008-04-19 02:01:00,1769,good to hear your house is ok.
189411,MoriaRiverMan,2008-04-19 02:03:00,314,all the great people from that website saved my house and 5 others!!!  The world needs more people like them!!!
185107,Sinker,2008-04-10 23:23:00,8692,"Your municipality would like to hear from you if your at risk of flooding. If nobody says anything, they won't do anything.  Are there others in your area that are in the same situation as you are? If they're holding back water to do work on a dam, I'd be asking lots of questions. This is the wrong time of year to be working on dams!!! Unless of course it was damaged by high flows. There's gonna be some big problems this weekend with flooding.  I feel for ya man, its gotta suck watching that water rise like that!! And your right, there isn't a thing you can do, even pumping won't help you.....if the water reaches the right elevation, your flooded............... all you can do is move your things and try to keep them on higher ground.  Sinker"
185126,MoriaRiverMan,2008-04-10 23:48:00,314,Well its still moving up .........has slowed today but i fear the rain may cause a issue.  were going to move the stuff we would be upset to lose tommorow night............the rest the insurance company can fight with the egg heads that are behind the control of the dams.  several people on my road may flood or may already have.....  moved all the stuff around in the garage tonight incase it fills up tommorow...........The rain is suppose to start tonight.......  i had a nice flood a few years back when the power outage happen...........  so most stuff is already at high ground or in garbage from that.  i should have called insurance on that one...........but im such a pay my own way guy sometimes.............stupid i guess  This i will call.........  not sure what kinda damage will happen if water reaches outlets ..........lol  bran new washer and dryer wont like it either...........nor the few month old carpet...........  Im not going to stress out over it .........it will be what it will be no matter who i call or what i do..........  they observe the river steady and already know its water levels im sure.  Maybe if my house floods.............Ill park my hummer at dam with the biggest sign i can make saying  THANKS FOR FLOODING MY HOUSE AND RAISING MY INSURANCE RATES EGG HEADS!  :)
185147,Riparian,2008-04-11 00:19:00,269,I think you should listen to Sinker and call the conservation authority...
185237,spooner_jr,2008-04-11 02:22:00,193,"Most homeowner policies exclude flooding, so you may want to check before you move the ""plasma"" to the basement."
185426,MoriaRiverMan,2008-04-11 14:32:00,314,woke up this morning to water in basement  Not much but its starting........   Heading home at noon to start getting prepared..............  Will also get on the phone and see if anyone will listen.
185850,MoriaRiverMan,2008-04-12 03:07:00,314,Well  did the calls today...............got the letter..........  going to FLOOD!!!!  takes 10 people to do about 50% of the sand bagging required for my house.............errrrrrrrrr  all help need.............  i think im in serious trouble here.........   no help and lots of work   insurance wont cover either..........just sweet  grandfather has about 48hrs to live aswell.............nice  sorry im new.............but ............  my cards just fell apart.........
185854,MoriaRiverMan,2008-04-12 03:10:00,314,just wana give up...........  so frustrated right now.......  calling for 3.5 feet verticle raise...........that will almost hit my main floor......
185857,Sinker,2008-04-12 03:15:00,8692,"Sorry to hear that man! I'm sure the community will pull together, and you'll all get through it.  Can you get the sand and bags?"
185880,MoriaRiverMan,2008-04-12 04:01:00,314,They are only help people that are disabled......  im on my own......  fire department was already here.........  im beat......  will take about 30 plus people to bag my house..........  they are going to drop sand off in morning........  this isnt cool
185893,HTHM,2008-04-12 04:32:00,4082,"I feel for you man, if I could I would come tonight to help you out. We just went through a flood in our basement, due to a pipe burst, if you can rent a number of LARGE dehumidifiers and air movers for when the waters recede. Take out 2 feet of drywall and lift out the underpad of the carpet."
185905,fatherof3,2008-04-12 05:25:00,1769,"sorry to hear,had been hoping for the best for you."
