522096,Rod Caster,2010-11-21 23:15:00,5784, Plenty of rainforest in canada... take a look in BC. Get your chains and find  big tree to save.
522097,Billy Bob,2010-11-21 23:15:00,5865, So if we follow you're logic we should also protect the common rats...
522103,Dave Bailey,2010-11-21 23:22:00,1641," No, they are an introduced species."
522144,Guest Johnny Bass,2010-11-22 01:20:00,0," Well B.C. is a bit too far for me. Its like if they had a cormorant problem, its up to the locals, not me to stop it. Here in Ontario, I am local. And cormorants are a local nuisance."
522146,mercman,2010-11-22 01:33:00,7054,seagulls prey on cormorant eggs and young.Ive noticed a drop in seagull population locally.I wonder if this is happening elsewhere and whether there is a tie here.  
522150,Guest Johnny Bass,2010-11-22 01:54:00,0," Chipmunks are eco friendly and so are snakes. They consume rodents. Cormorants are destroying trees and gorging on fish fry.  What the heck is it with all these people wanting to protect cormorants, I dont know!"
522155,mercman,2010-11-22 02:22:00,7054,"http://www.on.ec.gc.ca/wildlife/factsheets/fs_cormorants-e.html  Bob posted this on page 1 of this thread.Did anyone actually read it.It states that cormorant populations in the great lakes has been declining steadily in recent years. Here is an excerpt. ""In recent years, the explosive growth of the cormorant population has definitely slowed. The largest colony on the Great Lakes, at Little Galloo Island in Lake Ontario, showed a 31% decrease in numbers of breeding pairs between 1992 and 1994. In 1994, the cormorant population of Lake Ontario decreased by 6%. This was the first such decline in over 15 years. In 1992, Newcastle Disease Virus killed up to 30% of the young cormorants in several colonies. These population declines and disease outbreaks are signs that other factors are starting to have an impact on the population. Thus it seems unlikely that the cormorant population will continue to grow as it has during the 1980s and early 1990s.  According to fisheries biologists, stocks of the smaller prey fish have been decreasing dramatically in recent years. This decrease in the cormorants' food supply is probably already contributing to their decline on Lake Ontario.""  Its a long read but if you are going to argue for the death of a species, then read a little on it first.  "
522178,Grimace,2010-11-22 03:33:00,2020,Chipmunks are eco friendly is my new favorite line.   An Eco system is based on the fact that the animals would be Eco neutral.  Fluctuations should not be met with knee jerk reactions.  It will all even out in the end.  Or it might not.  99.9 percent of all animals that have inhabited this earth are now extinct.   Evolution is carrying us on it's back. Roll with it.
522193,pikehunter,2010-11-22 10:30:00,1659,I want to comment on that...instead I'll keep my trap shut so as I don't offend the one who posted it.  But I will say that if the gov. introduces an all you can kill limit on cormies I'll be the first in line for a gun permit and a hunting licence.  Death to the black winged flying devils!!
521324,Dave Bailey,2010-11-18 23:50:00,1641," As far as I know seals are not eating Atlantic cod, their primary food source is Arctic cod, which are not fished commercially. And if seals were the problem, why were the Grand Banks full of cod when Europeans first arrived, and nobody was bashing them over the heads then? One thing that seems apparent is that the present policy of culling seals and hoping that the cod stocks recover hasn't worked. Maybe the seals are eating something that competes with Atlantic cod for food or spawning beds, and giving the seals free rein to eat the competitor(s) might help the stocks recover. I would propose stopping the cull for a 10 year period, if the cod stocks recover, fine. If they don't we scratch our heads. If they plummet then we can blame the seals again and re-instate the hunt. As it is now we don't know. I think it's time to do some science."
521383,Terry,2010-11-19 01:54:00,14456,"I think too many people have the P3TA attitude, bad people bad people love the animal hate the people  but we at taking over more and more of the planet.....it's that or neuter most guys...not  so we mush control the numbers of animals we are displacing....look at the problems with all the deer and all the bears....we need to control their numbers   same with the comorants, control is the thing we must do as responsible and keep their numbers down....  seagulls...ever go to McDonalds now we really need to control them"
