1000723,moxie,2017-04-17 20:53:00,1566,Cant believe thlis is still being chewed on. Slow news day I guess.
1000746,SirCranksalot,2017-04-17 22:04:00,3291,"Cant believe thlis is still being chewed on. Slow news day I guess. Yeah, really I posted it as a joke. Surprised it turned into a discussion. I didn't think there were 2 sides to discuss!!! No matter what you think of the guy's character, it's obvious that the so-called 'overbooking' resolution was very badly handled. The flight was actually not 'overbooked'---UA decided that they need 4 seats to get employees to the destination. Did they really need to board everybody before they figured that out. Morons!!!"
1000761,npt1,2017-04-18 00:08:00,220,I would like to know where was the Captain of the aircraft when all this was going on!! He has final say on any issue that arises. Just my .02 worth.
1000588,SirCranksalot,2017-04-16 22:39:00,3291,
1000590,OhioFisherman,2017-04-16 22:57:00,6623,I'm waiting for Chris Rock's instructional video for airline passengers.
1000619,grimsbylander,2017-04-17 01:15:00,3016,SNL included United in a couple skits as well...they can find humour in anything.
1000620,PUMP KNOWS,2017-04-17 01:18:00,937,https://www.youtube.com/watch?v=HV28_ENzFog
1000628,dave524,2017-04-17 01:40:00,4508,"I don't get the hate for United they called airport police to deal with the situation, which happens far too often on most airlines, security who are not employed by United went overboard. Not any different than if I called the police to remove a trespasser from my property and the responding officers go beserk and beat on the trespasser if he doesn't leave, would I as the owner of the property and the one who called the authorities get crucified in the media for the actions of these officer? Hope not, I don't see any difference in the two scenarios."
1000640,John Bacon,2017-04-17 03:13:00,3277,"Now United offers both Red Eye and Black Eye flights.  I don't get the hate for United they called airport police to deal with the situation, which happens far too often on most airlines, security who are not employed by United went overboard. Not any different than if I called the police to remove a trespasser from my property and the responding officers go beserk and beat on the trespasser if he doesn't leave, would I as the owner of the property and the one who called the authorities get crucified in the media for the actions of these officer? Hope not, I don't see any difference in the two scenarios.  He shouldn't have been asked to leave the plane in the first place.  United was too cheap to offer a decent incentive to get volunteers.  United has usually offered much lower incentives than other airlines.  They have since increased the limits that staff are allowed to offer; so they may have this problem in the future.Here is a little satire on the issue.  The funny part is reading the comments and realizing that there are people who actually believe that this really happened.  http://thedailystooge.com/airline-straps-man-to-roof/"
1000641,Old Ironmaker,2017-04-17 03:22:00,8243,United is responsible for each and every passenger that boards their aircraft. What did they expect a Cop to do when they told them to remove the Doc? Ask nicer.  Fly the friendly skies of United. On the tarmac not so friendly.
1000655,dave524,2017-04-17 11:34:00,4508,"This is going to be his biggest payday yet, I believe he intentionally escalated the situation , the resulting media frenzy played out better than expected, probably dreaming of a big lawsuit as they dragged him down the aisle. Not to mention he had his medical license suspended for a sex for prescriptions conviction and just recently got it back. Sorry, but I personally think this guy is a con man and shyster and the media are a bunch of fools for falling for this.  https://www.pokernews.com/news/2017/04/in-the-spotlight-david-dao-poker-results-searched-flight-27675.htm"
1000656,leaf4,2017-04-17 12:02:00,2466,Apparently they removed a bride and groom on the way to their wedding over the weekend... Some dude was in their seats sprawled across them all on an empty plane. Rather than disturb him they just went into some of the empty seats that were deemed economy+ when all they had were economy lol big deal... Apparently the airline has stated they were being disorderly and wouldn't follow instructions which I find absurd... Why would someone put their flight on the way to their wedding in jeopardy  http://www.khou.com/mb/news/local/bride-and-groom-booted-off-united-flight-in-houston/431644313
1000660,Terry,2017-04-17 12:16:00,14456,"I dont care if he is a con man or a murderer , he did not create the situation United had no justification in dragging him out there is no way in hell i would give up my seat, I would have been dragged out too,I hope he gets 100s of millions out of the settlement"
1000666,John Bacon,2017-04-17 12:51:00,3277,"This is going to be his biggest payday yet, I believe he intentionally escalated the situation , the resulting media frenzy played out better than expected, probably dreaming of a big lawsuit as they dragged him down the aisle. Not to mention he had his medical license suspended for a sex for prescriptions conviction and just recently got it back. Sorry, but I personally think this guy is a con man and shyster and the media are a bunch of fools for falling for this.  https://www.pokernews.com/news/2017/04/in-the-spotlight-david-dao-poker-results-searched-flight-27675.htm  His past is irrelavent.  He never should have been asked to give up his seat in the first place.  United was too cheap to offer a decent incentive for people to volunteer; now they are paying the price for it."
1000669,dave524,2017-04-17 13:23:00,4508," His past is irrelavent.  He never should have been asked to give up his seat in the first place.  United was too cheap to offer a decent incentive for people to volunteer; now they are paying the price for it.  I agree whole heartedly that he shouldn't have been asked to give up his seat,but my understanding is that this goes on all the time with most airlines and I don't agree with it. But for me, his past is relavent , when you are playing this for a six, no, seven figure payout with the media feeding frenzy on United just what would be your decent incentive for a volunteer ?? Next time the media picks a poster boy for what I think is a valid issue, maybe they should pick one with out a history that makes you question their motives and how much they contributed to what transpired."
1000670,DanD,2017-04-17 13:24:00,2223, His past is irrelavent.  He never should have been asked to give up his seat in the first place.  United was too cheap to offer a decent incentive for people to volunteer; now they are paying the price for it.  I agree as well. There's no way he could have planed this; he may have seen an opportunity and took full advantage of it though.  Dan.
1000674,SirCranksalot,2017-04-17 14:21:00,3291," I agree whole heartedly that he shouldn't have been asked to give up his seat,but my understanding is that this goes on all the time with most airlines and I don't agree with it. But for me, his past is relavent , when you are playing this for a six, no, seven figure payout with the media feeding frenzy on United just what would be your decent incentive for a volunteer ?? Next time the media picks a poster boy for what I think is a valid issue, maybe they should pick one with out a history that makes you question their motives and how much they contributed to what transpired. You mean a guy would voluntarily suffer a concussion and have his front teeth smashed just for the $? Given that both he and his wife are doctors suggests that they were Ok already with $. That's a classic 'blame the victim' argument if I've ever seen one!  IMO, those United bustards should pay, and pay, and pay again. Looks good on them!!"
1000675,John Bacon,2017-04-17 14:27:00,3277," I agree whole heartedly that he shouldn't have been asked to give up his seat,but my understanding is that this goes on all the time with most airlines and I don't agree with it. But for me, his past is relavent , when you are playing this for a six, no, seven figure payout with the media feeding frenzy on United just what would be your decent incentive for a volunteer ?? Next time the media picks a poster boy for what I think is a valid issue, maybe they should pick one with out a history that makes you question their motives and how much they contributed to what transpired. Actually, asking someone to give up their seat after they have boarded the plane is very rare.  It may not have even been legal for the airline to bump him at this point.  Generally if you are going to be bumped from the flight; it happens before boarding.  I don't think the media really has much choice on who will be the poster boy for this issue.  What are they going to do?  Wait until someone with a less embarrassing past gets dragged off of a plane?  I am not really sure what you are getting at with the amount required for a volunteer.  There wouldn't be a media frenzy if they had a volunteer.  They didn't need Dao to volunteer; just someone on the plane.  United has some of the lowest average payouts for volunteers in the industry.  Most airlines would offer at least $1,350 before they bumped someone.  One airline stated that they have gone as high as $9,000.  If they had offered a little more, I am sure that someone who could afford to be a day late would have accepted their offer.  While Dao may be making the most of the situation.  He could hardly have planned this."
1000692,John Bacon,2017-04-17 16:37:00,3277,"Apparently they removed a bride and groom on the way to their wedding over the weekend... Some dude was in their seats sprawled across them all on an empty plane. Rather than disturb him they just went into some of the empty seats that were deemed economy+ when all they had were economy lol big deal... Apparently the airline has stated they were being disorderly and wouldn't follow instructions which I find absurd... Why would someone put their flight on the way to their wedding in jeopardy  http://www.khou.com/mb/news/local/bride-and-groom-booted-off-united-flight-in-houston/431644313  Re: ""Why would someone put their flight on the way to their wedding in jeopardy""  On the other hand, why would United Airlines fabricate a story about what really happened when they are already suffering from bad publicity from the Dr incident.  In this case, I find United's version of the events to be more believable.  I wonder if any witnesses will post their account of what happened on social media."
1000694,OhioFisherman,2017-04-17 17:07:00,6623,http://www.news5cleveland.com/news/national/united-airlines-boots-bride-groom-headed-to-their-wedding
