615322,Jds63,2011-08-25 02:03:00,1365,"torrential rain , heavy wind and lightning right now in the Shwa, power gone up and down 3 times"
615326,woodenboater,2011-08-25 02:09:00,2277," Hope not, I grew up there waaay back when the Leafs could actually win and some astronomers are already camped in Mount Forest for a start party this weekend. They had severe weather a couple of years ago as well.  Hope everyone comes out unscathed tonight.   WB"
615327,hammercarp,2011-08-25 02:26:00,964,So far in the east end of Hamilton it's been a big light show but not much else. Hopefully that's all.
615330,ehg,2011-08-25 02:45:00,2666,Ya constant thunder/lightening last two hours here in Toronto but not much else. Kinda like having strobe light in windows
615332,danbouck,2011-08-25 02:50:00,4380," Long story short... Yes, i was TRYING to get away from it. Never seen anything like it before. A wall of water out of nowhere and more wind than i have ever seen. If it wasn't a tornado than i couldn't even imagine one"
615333,Handlebarz,2011-08-25 03:04:00,3790,Been nothing but lightning here in Chatham since 9pm or earlier now they just said take cover so I had to check OFC LOL we are watching BB13 and hope that the roof stays on the house. the thunder just got the dog off the couch so he is making his rounds of the house to be sure things are OK. Hope everyone makes it through this storm system tonight.
615337,Handlebarz,2011-08-25 03:18:00,3790,for anyone who has not used sail flow check this link out and look how the  WIND is coming across lake Erie  https://www.sailflow.com/windandwhere.iws?regionID=96&regionProductID=3&timeoffset=0
615338,Joey,2011-08-25 03:32:00,9122,"Wow, that's crazy Mike  Well it has not stopped thunder and lightening since about 8 p.m. here in Richmond Hill.  Still going on with some good rumbly thunders.  I got some great video from my mom's 10th floor balcony tonight, just uploading to Youtube.  I'll post them later when they're done.  Heck of a storm, not much wind here though!"
615403,kickingfrog,2011-08-25 13:55:00,8333,"Lots of people without power, but maybe not much else.  http://www.theglobeandmail.com/news/national/ontario/wild-storm-knocks-out-power-for-25500-ontarians/article2141271/"
615418,Joey,2011-08-25 14:45:00,9122,"Okay, been trying to download last night and this morning.  Ran out of time before work but got 3 downloaded.  This one is the best of the downloads so far.  Really shows the power of the thunder and lightening.  "
615515,Joey,2011-08-25 17:52:00,9122,"Okay, here is one more video I uploaded at lunch.  It's not very long.  It's funny tho, I tell my mom the power just went out up the hill and she says, the power may be out here soon, how are you on going down 10 flights of stairs     Then she says maybe we should go in and after that a lightening bolt goes between the balcony we are on and the building close to us.  Yep, time to go in  "
615558,DRIFTER_016,2011-08-25 19:20:00,10439,  Here's a better article on the storms last night.  Storm Info
615709,ehg,2011-08-26 01:51:00,2666,"According to that link one (F-1) confirmed tornado so far. Happened around Burlington. More reports to be investigated.  That was the most incredible display of lightening here in T.O. ever. At least 3 hrs of constant, close strikes."
615717,ccmtcanada,2011-08-26 02:05:00,7971,Joey...great videos!  Strike between the two buildings?  Yikes!  I heard on the news they reported 500 strikes of lightning every 2 minutes.  Was unbelievable.  A few were right above me and the thunder scared the crap out of me as it shook the house and rattled window panes.  The ceiling light in my room was off...but glowed softly for about 20 seconds...I bolted and ran until it stopped lol!
615725,Joey,2011-08-26 02:19:00,9122,  Okay that's just freaky Cliff
615728,irishfield,2011-08-26 02:26:00,26272,I bought some bad stuff like that once!
615743,ccmtcanada,2011-08-26 03:36:00,7971,Lol Wayne...I'd have felt better if I had bought some bad stuff....  Joey...maybe my house is haunted...I shouldn't jump to conclusions that it had anything to do with the storm!!!
615842,Nipfisher,2011-08-26 15:34:00,2449,"More info on the confirmed tornado.  Environment Canada has confirmed that a tornado touched down near Cambridge, Ont., on Wednesday night as wild weather swept across southern Ontario.  An F1 tornado with winds between 120 km/h and 170 km/h was confirmed southeast of Cambridge, located about 90 kilometres west of Toronto.  Environment Canada said the tornado touched down just after 9 p.m. ET at Little's Corners and tracked 15 kilometres southeast to Westover.  The path of the tornado was up to 300 metres wide at times.  An agency investigator was sent to the Burlington area to check whether damage there was caused by a tornado, but that event has been classified as a downburst.  There were also reports of possible tornadoes and funnel clouds in parts of eastern Lambton County, Middlesex County, Huron-Perth and Bruce counties.  "
615246,irishfield,2011-08-24 22:29:00,26272,Severe wind shift from out of the South to out of the West...hot.. humid and raining on and off... with sunny breaks between uglyness.
615247,mercman,2011-08-24 22:29:00,7054,"Whatever is affecting you guys, its starting here also. Its been very windy all day, and around 3, the clouds moved in. Thunder storms and heavy rain are predicted here later tonite."
615252,fishing n autograph,2011-08-24 22:34:00,2540,"Wind has picked up annd you can smell the change in the weather, the air is heavier here in kw.....and the wife just has to go shopping lol"
615257,misfish,2011-08-24 22:42:00,29133,"When you can smell the change,it,s coming.  My knees hurt like hell."
615260,lew,2011-08-24 23:02:00,12766," My backs hurting too Brian, but it's probably cause I stacked a cord of hardwood today"
615262,misfish,2011-08-24 23:15:00,29133," Sorry lew,but when it gets like this,my knees realy hurt and can hardly walk sometimes. Guess I slid into ,toomany puck stop  shots.  First cracker just made it,s presents. It,s a coming."
615265,Spiel,2011-08-24 23:39:00,9065,"All is well in the Hammer, clear skies but quite windy. No need for the central air."
615266,ccmtcanada,2011-08-24 23:40:00,7971," LOL Lew...I remember that picture!!  Ehg has it...mammatus clouds...some call them bulbous because of their shape.  Batten down the hatches folks!!  Upgraded to Tornado warning in Stratford, Mitchell, Southern Perth county, Goderich, Bluewater, Southern Huron County, Listowel - Milverton - Northern Perth County, Wingham - Blyth - Northern Huron County, Watford - Pinery Park - Eastern Lambton County, trathroy - Komoka - Western Middlesex County, London - Parkhill - Eastern Middlesex County,Hanover - Dundalk - Southern Grey County,Saugeen Shores - Kincardine - Southern Bruce County "
615267,misfish,2011-08-24 23:45:00,29133,"Im watching the tracker. It,s not  good."
615268,irishfield,2011-08-24 23:45:00,26272,Just got dark and ugly here and now pouring.. the leading edge has arrived!
615272,misfish,2011-08-24 23:52:00,29133,
615273,Roy,2011-08-24 23:55:00,13728,It got black here too all of a sudden but that seems to happen every night. I'm sure everything'll be all right in the morning.
615276,Nipfisher,2011-08-24 23:59:00,2449,Started raining here around 4:30 and has come down good a few times. Lots of thunder but so far Lady Nipissing has kept it to the South of us. My brother was driving South about 2 hours ago and hit some douzy downpours at South River
615281,fishing n autograph,2011-08-25 00:23:00,2540,"A nice light show going right now, low thunder and light rain, its not coming down heavy"
615282,ccmtcanada,2011-08-25 00:27:00,7971,Durham region under sever thunderstorm warning now...wind was picking up here...calm now.
615283,misfish,2011-08-25 00:28:00,29133,   
615286,fishing n autograph,2011-08-25 00:42:00,2540,"All hell just broke here, I haven't seen lightning like this in years"
615290,Jigger,2011-08-25 00:58:00,1237,"Wow, my wife just saw ball lightning. I caught the flash out of the corner of my eye. Bright red very different from the rest of the light show..."
615292,ccmtcanada,2011-08-25 01:01:00,7971,Non stop lightning and thunder in Whitby...here it comes!  Thunderstorm warning and tornado watch...
615297,ketchenany,2011-08-25 01:07:00,3229,"  Wait a bit  just spoke my CT daughter in Brooklin and it's coming just wait, started up again in Woodbridge, seems to be cells moving east.  Keep well.  A"
615303,Jigger,2011-08-25 01:14:00,1237,Nice night on the porch so far! Hope everyone in SWO is ok. Thats a heck of a cell!!
615304,Cudz,2011-08-25 01:29:00,2652,"lol!!!  On a more serious note, I heard a Tornado may have touched down in Shelburne"
615305,irishfield,2011-08-25 01:31:00,26272,The squall line currently stretches from Statford to Peterborough.. pretty much hugging the North side of the 401 all the way. Everything looks to have disappated further North. Another line from Buffalo along the south shore of L Ontario
615309,fishing n autograph,2011-08-25 01:35:00,2540,Storm is now in hamilton area....I have been told a tornado was seen near brantford heading towards hamilton
615313,ketchenany,2011-08-25 01:50:00,3229," I'm not happy , One daughter with grand child/wife in Newmarket. it ' going to be a long night."
615094,Headhunter,2011-08-24 15:45:00,5703,http://www.weatheroffice.gc.ca/warnings/son_e.html  Stay safe folks and beaware of your surroundings! HH
615098,fishing n autograph,2011-08-24 15:46:00,2540,you beat me to it!
615100,Headhunter,2011-08-24 15:47:00,5703,"NO, you beat me to it! It's all good as long as those who need to know, do! LOL HH"
