661007,pikehunter,2012-01-27 11:30:00,1659,    Well done !
661020,bushart,2012-01-27 12:31:00,2628,Merky!!...Merky!!...Merky!!  Mmmmmmeeeeeeeeerrrrrrccccciiiiii...!!  
661025,mercman,2012-01-27 12:53:00,7054,"Ok guys.....here's the secret. Customer service. Pure and simple. Most parts companies have a call center.When you call, some young person answers the phone and asks the model number, and what part you need.Most have never seen a part in thier lives, and have never sat and had conversations with repair techs.If you are looking for advise, they freeze and say ""Call a repair tech"" I started in the shipping recieving of a major parts company 30 years ago.Touching and catalogueing parts. I can picture in my mind where the part goes and what it does in relation to the other parts. I train my people the same way.Even my wife, who does my accounting, can take calls and do look ups and is respected by the technicians who i supply. I have a big pot of coffee in my showroom, and repair guys stop in numerous times during the day, and discuss thier calls with each other.I always take time to talk with all of them, and learn common fixs for things. Most times i dont even need a model number to find the part. I am training my young nephew to take over my bussiness eventually, and carry on with this style of customer service. Old school is always better, at least in my type of work. Thanks again guys. You will ALL get the same treatment when you need parts at my store   Paul"
661030,motion,2012-01-27 13:13:00,403,"Paul,  I was standing by a parts counter in Toronto waiting for a part when a guy came in off the street with what appeared to be a perfectly good (new) dryer belt cut (which he had bought from them the day before). He actually asked for a ""splicing kit"" to put it together. You see, he had to cut the belt because he didn't know how to put it around the drum of the dryer????   :rofl2:  Cheers."
661035,Billy Bob,2012-01-27 13:22:00,5865, Splicer kit....OK...let me go in the back and get one young fellow...  Here you go....  :rofl2:
661044,Skipper D,2012-01-27 13:52:00,1970,I was lucky to get this Quebec vershion on the net Skeeter
661046,motion,2012-01-27 14:05:00,403,:rofl2:
661047,SlowPoke,2012-01-27 14:10:00,2984," I like dealing with someone that knows their field. Recently I was considering replacing the cushions in my truck's bunk that make up a bed (think fold down camper style table) with a mattress. I called a truck dealer in Brampton and asked for a mattress and the counter guy was stumped; he needed my vehicle serial number to look up the part. I told him it didn't have a mattress from factory (many of the same model do but mine had the 'work station option'). He said he couldn't help me, I'd have to find a serial number from a truck that was equipped with a mattress from factory. Paul; I betting if you had mattresses in your inventory, you wouldn't need much help from the computer to find them! Kudos to you for helping your community and ours. Brian"
661050,bigbuck,2012-01-27 14:19:00,2449,"Kudos to you Paul!! The next time I have to play appliance repair guy, I'll be contacting YOU!"
661051,Skipper D,2012-01-27 14:23:00,1970,  Don't be surprized when it  becomes his new shipping lable .......................Thank you Paul for the fun ..... Ron
661079,mercman,2012-01-27 16:09:00,7054,"  Ronny, Ronny, Ronny.......Ole Perch pockets.........i have your number now.....     "
661088,Pikeslayer8,2012-01-27 16:45:00,336,"The ironic aspect of this thread is that Mercman probably has saved a few marriges in his time.  Its just that he does it without having applience parts involved.  If ya know what I mean.  Big fan of the work that you do behind the scenes, Paul."
661092,Billy Bob,2012-01-27 16:51:00,5865," Oh, God...PLEASE remove the part # of this from your inventory....LOL.."
661101,mercman,2012-01-27 17:11:00,7054,"  The life is more important.You cant save a marriage, if you cant save a life.There's is at least one in here who is getting close to a year now"
661129,Pikeslayer8,2012-01-27 18:26:00,336,  
661216,skeeter,2012-01-28 00:21:00,1907,"Why is your name mercman? It should be ""APPLIANCE MAN""!!!!!!"
661225,mercman,2012-01-28 00:37:00,7054,  Sorry Skeets .....that job has already been taken  
660853,motion,2012-01-27 00:11:00,403,"Well I want to thank Mercman (Paul) for his help this past week. I had my Maytag front loader stop spinning and was faced with the problem of sourcing a new motor and control. After a couple of emails and a quick call to Paul, we had it all figured out. I recieved my package today as promised and installed it with out issue (or extra parts!!) He even sent some of his ""famous""  screwdrivers to take up with me this weekend to our GTG.  For those of you that don't know, Paul owns his own appliance parts store in Montreal. It was a pleasure speaking to him and he was more than generous by offering the parts at his cost. What a guy!  Thanks to Paul, I am able to to get away this weekend to North Bay for our GTG on Lake Nippising. As they say, happy wife...............happy life. Oh, we have clean clothes again too!  Thanks a bunch Paul. You 'da man.  Cheers."
660859,Skipper D,2012-01-27 00:22:00,1970,Awsome...l Now Paul thats an art....lol
660860,Nipfisher,2012-01-27 00:24:00,2449,Yep Paul is a good guy. This community is awesome.
660869,mike rousseau,2012-01-27 00:41:00,4661,He just helped me out with parts for my washing machine...  Great friend to have... He's the kinda guy that would do anything for ya...
